Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1710108000.0 10001.0 NA 225 497 0 97 113 NA 436 782 0 190 223 NA 4021 3669 1054 743 978 NA 2442 3446 1107 844 1059
1710108000.0 10002.0 NA 219 500 0 97 119 NA 401 797 0 195 229 NA 4194 3585 988 670 874 NA 2199 3290 1054 763 914
1710108000.0 10009.0 NA 231 496 0 125 115 NA 473 802 0 270 229 NA 4330 3892 1083 795 960 NA 2352 3479 1177 877 1017
1710108000.0 10024.0 NA 235 515 0 127 120 NA 425 817 0 263 230 NA 4172 4210 1114 756 993 NA 2285 3554 1176 828 1034
1710108000.0 10024.5 NA 239 111 0 NA NA NA 455 278 0 NA NA NA 2940 1103 462 NA NA NA 1228 1183 513 NA NA
1710108000.0 101.0 150 NA NA NA NA NA 297 NA NA NA NA NA 648 NA NA NA NA NA 708 NA NA NA NA NA
1710108000.0 1010.0 NA 37 53 0 NA NA NA 141 149 0 NA NA NA 487 414 380 NA NA NA 626 465 431 NA NA
1710108000.0 102.0 153 NA NA NA NA NA 289 NA NA NA NA NA 629 NA NA NA NA NA 711 NA NA NA NA NA
1710108000.0 1020.0 NA 44 43 0 41 NA NA 155 129 0 152 NA NA 442 305 157 381 NA NA 584 359 193 484 NA
1710108000.0 1040.1 NA 70 35 0 NA NA NA 183 118 0 NA NA NA 804 303 290 NA NA NA 968 356 343 NA NA
1710108000.0 1041.0 NA 69 42 0 NA NA NA 180 127 0 NA NA NA 600 298 192 NA NA NA 726 351 238 NA NA
1710108000.0 1042.0 NA 93 41 0 NA NA NA 186 122 0 NA NA NA 1089 351 198 NA NA NA 1403 375 255 NA NA
1710108000.0 1043.0 NA 59 44 0 NA NA NA 172 136 0 NA NA NA 676 350 180 NA NA NA 669 395 220 NA NA
1710108000.0 1044.0 NA 53 67 0 NA NA NA 172 161 0 NA NA NA 633 451 176 NA NA NA 642 446 214 NA NA
1710108000.0 1045.0 NA 64 62 0 NA NA NA 169 153 0 NA NA NA 643 452 147 NA NA NA 616 436 186 NA NA
1710108000.0 1052.0 NA 160 111 0 NA NA NA 360 242 0 NA NA NA 1332 569 196 NA NA NA 1342 636 258 NA NA
1710108000.0 106.0 71 0 0 NA NA NA 194 0 0 NA NA NA 1451 281 2630 NA NA NA 1336 321 2681 NA NA NA
1710108000.0 10801.0 NA 222 493 0 97 122 NA 453 810 0 192 234 NA 4258 3668 991 647 915 NA 2215 3330 1059 729 955
1710108000.0 10806.0 NA 225 475 0 94 114 NA 441 789 0 184 208 NA 4223 3664 1049 722 948 NA 2284 3423 1123 801 1006
1710108000.0 10809.0 NA 218 486 0 125 123 NA 412 825 0 273 233 NA 3320 3839 1075 835 1057 NA 2161 3417 1148 917 1094
1710108000.0 10824.0 NA 231 499 0 126 126 NA 414 805 0 270 232 NA 4366 3988 1103 783 971 NA 2327 3457 1162 853 998
1710108000.0 11634.7 NA 390 648 0 NA NA NA 552 869 0 NA NA NA 881 2137 547 NA NA NA 747 1924 658 NA NA
1710108000.0 11646.0 NA 334 604 0 110 NA NA 551 883 0 217 NA NA 2502 5714 1286 705 NA NA 1962 5034 1361 702 NA
1710108000.0 11723.17 NA 432 654 0 NA NA NA 561 886 0 NA NA NA 937 2326 568 NA NA NA 826 1993 710 NA NA
1710108000.0 123.3 299 NA NA NA NA NA 444 NA NA NA NA NA 1590 NA NA NA NA NA 1414 NA NA NA NA NA
1710108000.0 124.2 361 NA NA NA NA NA 543 NA NA NA NA NA 2040 NA NA NA NA NA 1650 NA NA NA NA NA
1710108000.0 1325.5161 NA 211 0 NA NA NA NA 356 0 NA NA NA NA 3591 426 NA NA NA NA 2515 473 NA NA NA
1710108000.0 135.1 546 0 148 NA NA NA 803 0 279 NA NA NA 2290 582 1336 NA NA NA 1789 635 1314 NA NA NA
1710108000.0 135.12 545 0 149 NA NA NA 817 0 265 NA NA NA 2124 573 1303 NA NA NA 1778 641 1270 NA NA NA
1710108000.0 135.8 472 NA NA NA NA NA 624 NA NA NA NA NA 589 NA NA NA NA NA 583 NA NA NA NA NA
1710108000.0 1356.0 105 162 385 0 163 NA 266 398 597 0 286 NA 6338 1138 3504 850 1241 NA 4240 788 3164 910 1095 NA
1710108000.0 136.746 NA 112 337 0 NA NA NA 233 571 0 NA NA NA 1798 21197 540 NA NA NA 1597 7786 594 NA NA
1710108000.0 136.7611 NA 202 0 NA NA NA NA 352 0 NA NA NA NA 3787 328 NA NA NA NA 2356 376 NA NA NA
1710108000.0 136.77211 NA 205 0 NA NA NA NA 371 0 NA NA NA NA 3660 374 NA NA NA NA 2387 434 NA NA NA
1710108000.0 136.7801 NA 153 0 NA NA NA NA 276 0 NA NA NA NA 1324 413 NA NA NA NA 1280 476 NA NA NA
1710108000.0 136.7802 NA 81 0 NA NA NA NA 185 0 NA NA NA NA 724 433 NA NA NA NA 822 523 NA NA NA
