Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1709503200.0 10.0 NA 198 372 0 NA NA NA NA NA 315 551 0 NA NA NA NA NA 1073 2450 367 NA NA NA NA NA 452 1736 418 NA NA NA NA
1709503200.0 1000.0 NA 357 233 0 102 NA NA NA NA 519 344 0 170 NA NA NA NA 1826 607 259 225 NA NA NA NA 1209 667 285 316 NA NA NA
1709503200.0 10001.0 NA 275 470 0 141 166 NA NA NA 422 645 0 213 256 NA NA NA 1050 1191 368 288 453 NA NA NA 476 1246 476 386 586 NA NA
1709503200.0 10003.0 NA 276 460 0 141 168 NA NA NA 420 660 0 217 253 NA NA NA 1057 1294 368 301 462 NA NA NA 465 1301 412 446 492 NA NA
1709503200.0 10004.0 NA 274 472 0 141 165 NA NA NA 414 664 0 214 251 NA NA NA 1048 1184 368 266 447 NA NA NA 451 1225 399 311 618 NA NA
1709503200.0 10005.0 NA 245 427 0 121 138 NA NA NA 416 650 0 208 262 NA NA NA 4920 6126 1811 1319 2039 NA NA NA 2084 5648 1881 1421 2071 NA NA
1709503200.0 10006.0 NA 274 452 0 140 160 NA NA NA 404 652 0 209 244 NA NA NA 1073 1213 384 291 425 NA NA NA 568 1209 437 372 539 NA NA
1709503200.0 10007.0 NA 254 422 0 132 133 NA NA NA 414 668 0 281 256 NA NA NA 4957 6292 1958 1326 1982 NA NA NA 2095 5759 2043 1424 2007 NA NA
1709503200.0 10008.0 NA 276 464 0 171 166 NA NA NA 414 652 0 275 252 NA NA NA 1046 1224 364 275 422 NA NA NA 433 1281 420 324 488 NA NA
1709503200.0 10009.0 NA 276 461 0 170 167 NA NA NA 413 659 0 280 250 NA NA NA 1060 1296 372 276 508 NA NA NA 460 1264 417 348 763 NA NA
1709503200.0 1001.2 NA 559 251 0 0 0 0 0 NA 793 350 0 0 0 0 0 NA 7857 712 92 103 108 135 125 NA 2691 547 181 214 239 203 163
1709503200.0 1002.3 NA 565 214 0 NA NA NA NA NA 740 344 0 NA NA NA NA NA 4889 549 249 NA NA NA NA NA 1954 529 452 NA NA NA NA
1709503200.0 1002.4 NA 557 0 NA NA NA NA NA NA 776 0 NA NA NA NA NA NA 7447 348 NA NA NA NA NA NA 2642 382 NA NA NA NA NA
1709503200.0 10023.0 NA 276 455 0 140 161 NA NA NA 408 674 0 207 248 NA NA NA 1072 1232 376 285 479 NA NA NA 496 1217 440 392 710 NA NA
1709503200.0 10024.0 NA 298 476 0 172 171 NA NA NA 429 672 0 284 260 NA NA NA 1078 1383 409 266 495 NA NA NA 454 1297 454 293 653 NA NA
1709503200.0 10024.1 NA 252 255 0 NA NA NA NA NA 429 422 0 NA NA NA NA NA 5042 2984 1912 NA NA NA NA NA 2095 2585 1981 NA NA NA NA
1709503200.0 10024.2 NA 260 0 NA NA NA NA NA NA 428 0 NA NA NA NA NA NA 5067 0 NA NA NA NA NA NA 2141 0 NA NA NA NA NA
1709503200.0 10024.4 NA 258 436 0 NA NA NA NA NA 413 664 0 NA NA NA NA NA 5040 7195 1954 NA NA NA NA NA 2101 6048 2061 NA NA NA NA
1709503200.0 10025.0 NA 279 462 0 141 150 NA NA NA 424 660 0 211 257 NA NA NA 1064 1301 386 307 460 NA NA NA 445 1268 417 491 523 NA NA
1709503200.0 10026.0 NA 290 496 0 131 154 NA NA NA 432 676 0 225 260 NA NA NA 1079 1594 418 295 450 NA NA NA 445 1364 547 385 593 NA NA
1709503200.0 10042.0 NA 279 464 0 173 167 NA NA NA 419 657 0 283 244 NA NA NA 1089 1293 404 281 500 NA NA NA 472 1185 470 350 763 NA NA
1709503200.0 10071.0 NA 292 471 0 144 169 NA NA NA 414 665 0 211 257 NA NA NA 1079 1376 399 257 434 NA NA NA 507 1309 426 298 425 NA NA
1709503200.0 101.0 157 NA NA NA NA NA NA NA 308 NA NA NA NA NA NA NA 607 NA NA NA NA NA NA NA 574 NA NA NA NA NA NA NA
1709503200.0 102.0 158 NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA 580 NA NA NA NA NA NA NA 638 NA NA NA NA NA NA NA
1709503200.0 10224.15 NA 465 736 0 188 NA NA NA NA 698 1042 0 277 NA NA NA NA 2223 2800 425 591 NA NA NA NA 964 2110 450 688 NA NA NA
1709503200.0 10225.0 NA 470 716 0 169 NA NA NA NA 676 1000 0 262 NA NA NA NA 2230 2299 417 454 NA NA NA NA 1085 1647 553 482 NA NA NA
1709503200.0 103.0 79 0 0 NA NA NA NA NA 208 0 0 NA NA NA NA NA 2463 589 5651 NA NA NA NA NA 2203 644 5674 NA NA NA NA NA
1709503200.0 1040.0 NA 549 74 0 NA NA NA NA NA 709 133 0 NA NA NA NA NA 6890 123 102 NA NA NA NA NA 2475 150 176 NA NA NA NA
1709503200.0 1041.0 NA 115 81 0 NA NA NA NA NA 208 144 0 NA NA NA NA NA 212 130 59 NA NA NA NA NA 342 193 98 NA NA NA NA
1709503200.0 10424.0 NA 239 508 0 NA NA NA NA NA 373 675 0 NA NA NA NA NA 299 1349 391 NA NA NA NA NA 281 1252 439 NA NA NA NA
1709503200.0 1043.0 NA 96 75 0 NA NA NA NA NA 193 146 0 NA NA NA NA NA 220 130 55 NA NA NA NA NA 353 208 121 NA NA NA NA
1709503200.0 1044.0 NA 94 98 0 NA NA NA NA NA 193 179 0 NA NA NA NA NA 220 163 62 NA NA NA NA NA 311 231 120 NA NA NA NA
1709503200.0 1045.0 NA 95 91 0 NA NA NA NA NA 195 169 0 NA NA NA NA NA 212 162 56 NA NA NA NA NA 271 243 102 NA NA NA NA
1709503200.0 1052.1 NA 134 0 NA NA NA NA NA NA 260 0 NA NA NA NA NA NA 172 57 NA NA NA NA NA NA 231 99 NA NA NA NA NA
1709503200.0 1060.1 NA 159 NA NA NA NA NA NA NA 288 NA NA NA NA NA NA NA 457 NA NA NA NA NA NA NA 484 NA NA NA NA NA NA
1709503200.0 1060.2 NA 158 NA NA NA NA NA NA NA 288 NA NA NA NA NA NA NA 396 NA NA NA NA NA NA NA 423 NA NA NA NA NA NA
1709503200.0 107.0 105 142 317 NA NA NA NA NA 275 247 496 NA NA NA NA NA 7714 1300 6236 NA NA NA NA NA 3742 1024 5599 NA NA NA NA NA
1709503200.0 108.0 97 163 340 NA NA NA NA NA 277 247 514 NA NA NA NA NA 8643 1293 5930 NA NA NA NA NA 4079 1001 5239 NA NA NA NA NA
1709503200.0 10802.0 NA 282 457 0 141 169 NA NA NA 387 652 0 214 258 NA NA NA 1038 1235 371 259 509 NA NA NA 460 1169 501 289 689 NA NA
1709503200.0 10803.0 NA 268 459 0 142 172 NA NA NA 394 642 0 217 265 NA NA NA 1043 1279 361 256 485 NA NA NA 476 1289 381 283 616 NA NA
1709503200.0 10804.0 NA 278 453 0 101 169 NA NA NA 391 651 0 213 258 NA NA NA 1028 1208 395 291 462 NA NA NA 473 1234 511 389 606 NA NA
1709503200.0 10805.0 NA 266 452 0 141 168 NA NA NA 383 644 0 213 259 NA NA NA 1019 1214 370 254 429 NA NA NA 444 1220 404 281 437 NA NA
1709503200.0 10806.0 NA 266 451 0 141 164 NA NA NA 389 671 0 208 255 NA NA NA 1053 1222 381 296 442 NA NA NA 531 1192 471 487 588 NA NA
1709503200.0 10807.0 NA 240 423 0 137 146 NA NA NA 388 650 0 281 259 NA NA NA 4894 6225 1881 1314 1924 NA NA NA 2047 5711 1974 1389 1930 NA NA
1709503200.0 10808.0 NA 284 459 0 169 168 NA NA NA 396 662 0 280 259 NA NA NA 1045 1309 401 264 517 NA NA NA 469 1405 544 304 733 NA NA
1709503200.0 10809.0 NA 268 531 0 169 171 NA NA NA 404 667 0 275 251 NA NA NA 1073 1306 382 296 506 NA NA NA 588 1236 416 467 710 NA NA
1709503200.0 10823.0 NA 267 452 0 141 165 NA NA NA 397 659 0 209 252 NA NA NA 1051 1260 375 282 494 NA NA NA 632 1302 438 378 715 NA NA
1709503200.0 10824.0 NA 278 473 0 173 174 NA NA NA 397 671 0 285 260 NA NA NA 1090 1414 437 271 517 NA NA NA 625 1338 526 306 715 NA NA
1709503200.0 10824.6 NA 277 518 0 143 173 NA NA NA 407 662 0 214 261 NA NA NA 1086 1388 406 299 514 NA NA NA 540 1238 440 529 714 NA NA
1709503200.0 10825.0 NA 242 430 0 114 142 NA NA NA 399 665 0 212 259 NA NA NA 4954 6434 2097 1322 1985 NA NA NA 2102 5938 2189 1434 1909 NA NA
1709503200.0 10826.0 NA 279 475 0 144 172 NA NA NA 419 679 0 216 257 NA NA NA 1087 1546 429 294 519 NA NA NA 487 1285 499 590 730 NA NA
1709503200.0 10842.0 NA 245 431 0 136 149 NA NA NA 410 659 0 283 265 NA NA NA 4997 6762 2066 1306 1988 NA NA NA 2105 6019 2159 1399 1974 NA NA
1709503200.0 10871.0 NA 298 470 0 144 172 NA NA NA 394 676 0 214 265 NA NA NA 1056 1410 406 289 483 NA NA NA 562 1244 503 350 633 NA NA
1709503200.0 11.0 NA 157 312 0 108 NA NA NA NA 296 512 0 179 NA NA NA NA 4286 6761 2178 1043 NA NA NA NA 1766 5334 2280 1187 NA NA NA
1709503200.0 110.0 114 162 338 NA NA NA NA NA 217 240 497 NA NA NA NA NA 461 262 1136 NA NA NA NA NA 552 281 1124 NA NA NA NA NA
1709503200.0 1102.0 NA 168 343 209 190 NA NA NA NA 321 555 349 249 NA NA NA NA 5428 15784 6337 1307 NA NA NA NA 2136 7799 2876 1139 NA NA NA
1709503200.0 11024.0 NA 535 835 0 174 NA NA NA NA 800 1144 0 262 NA NA NA NA 2975 3200 416 515 NA NA NA NA 1373 1851 449 706 NA NA NA
1709503200.0 11024.15 NA 522 818 0 189 NA NA NA NA 810 1228 0 280 NA NA NA NA 2997 3275 434 577 NA NA NA NA 1227 1848 489 662 NA NA NA
1709503200.0 11024.2 NA 493 747 0 135 NA NA NA NA 788 1174 0 253 NA NA NA NA 13376 15492 2270 1699 NA NA NA NA 4790 7977 2372 1598 NA NA NA
1709503200.0 11024.6 NA 532 912 0 174 NA NA NA NA 765 1135 0 258 NA NA NA NA 2899 3185 450 488 NA NA NA NA 1160 1994 507 595 NA NA NA
1709503200.0 11025.0 NA 520 826 0 172 NA NA NA NA 791 1118 0 257 NA NA NA NA 2895 2885 425 468 NA NA NA NA 1177 1784 482 512 NA NA NA
1709503200.0 11224.0 NA 210 420 0 NA NA NA NA NA 381 649 0 NA NA NA NA NA 1671 7934 2256 NA NA NA NA NA 1273 6528 2347 NA NA NA NA
1709503200.0 11224.6 NA 241 465 0 NA NA NA NA NA 381 646 0 NA NA NA NA NA 304 1436 400 NA NA NA NA NA 254 1397 494 NA NA NA NA
1709503200.0 113.0 161 167 345 NA NA NA NA NA 276 243 502 NA NA NA NA NA 1106 278 1247 NA NA NA NA NA 598 273 1310 NA NA NA NA NA
1709503200.0 114.0 104 143 313 NA NA NA NA NA 278 243 505 NA NA NA NA NA 7177 1287 5712 NA NA NA NA NA 3571 1014 5226 NA NA NA NA NA
1709503200.0 115.0 144 170 348 NA NA NA NA NA 277 254 485 NA NA NA NA NA 1344 270 1253 NA NA NA NA NA 692 220 1287 NA NA NA NA NA
1709503200.0 116.0 143 169 348 NA NA NA NA NA 278 244 501 NA NA NA NA NA 1329 299 1300 NA NA NA NA NA 659 312 1467 NA NA NA NA NA
1709503200.0 11601.0 NA 213 442 0 134 NA NA NA NA 376 705 0 214 NA NA NA NA 1485 6294 2099 1409 NA NA NA NA 1006 5849 2226 1441 NA NA NA
1709503200.0 11603.0 NA 241 479 0 143 NA NA NA NA 377 727 0 219 NA NA NA NA 297 1429 363 271 NA NA NA NA 210 1411 382 356 NA NA NA
1709503200.0 11604.0 NA 220 443 0 133 NA NA NA NA 379 701 0 216 NA NA NA NA 1466 6256 2151 1290 NA NA NA NA 1001 5958 2272 1314 NA NA NA
1709503200.0 11607.0 NA 239 473 0 162 NA NA NA NA 371 725 0 255 NA NA NA NA 304 1287 395 283 NA NA NA NA 273 1322 450 399 NA NA NA
1709503200.0 11608.0 NA 216 451 0 153 NA NA NA NA 361 694 0 256 NA NA NA NA 1497 6355 2054 1427 NA NA NA NA 997 5751 2210 1464 NA NA NA
1709503200.0 11609.0 NA 238 445 0 162 NA NA NA NA 369 712 0 260 NA NA NA NA 306 1351 362 290 NA NA NA NA 219 1332 400 362 NA NA NA
1709503200.0 11630.0 NA 256 504 0 147 NA NA NA NA 394 753 0 219 NA NA NA NA 363 1975 410 277 NA NA NA NA 225 1651 444 363 NA NA NA
1709503200.0 11634.0 NA 253 500 0 165 NA NA NA NA 386 744 0 255 NA NA NA NA 328 1567 406 296 NA NA NA NA 230 1471 434 389 NA NA NA
1709503200.0 11634.15 NA 254 509 0 165 NA NA NA NA 388 733 0 254 NA NA NA NA 338 1673 402 266 NA NA NA NA 268 1497 422 326 NA NA NA
1709503200.0 11634.24 NA 189 438 0 134 NA NA NA NA 315 664 0 213 NA NA NA NA 191 1243 388 253 NA NA NA NA 233 1316 446 306 NA NA NA
1709503200.0 11634.601 NA 248 84 499 0 NA NA NA NA 386 147 729 0 NA NA NA NA 327 99 1504 408 NA NA NA NA 251 124 1312 502 NA NA NA
1709503200.0 11634.7 NA 254 476 0 NA NA NA NA NA 390 737 0 NA NA NA NA NA 339 1515 416 NA NA NA NA NA 313 1391 472 NA NA NA NA
1709503200.0 11634.914 134 256 495 0 146 NA NA NA 227 352 710 0 228 NA NA NA 1608 339 1580 417 312 NA NA NA 796 255 1564 473 458 NA NA NA
1709503200.0 11640.0 NA 221 442 0 109 NA NA NA NA 372 684 0 211 NA NA NA NA 1504 6232 2148 1287 NA NA NA NA 1046 5776 2255 1320 NA NA NA
1709503200.0 11646.0 NA 242 462 0 145 NA NA NA NA 378 703 0 216 NA NA NA NA 312 1442 396 278 NA NA NA NA 227 1441 419 372 NA NA NA
1709503200.0 11650.0 NA 245 488 0 167 NA NA NA NA 382 719 0 266 NA NA NA NA 308 1454 406 295 NA NA NA NA 212 1556 513 457 NA NA NA
1709503200.0 117.0 137 168 355 NA NA NA NA NA 272 252 507 NA NA NA NA NA 1463 271 1242 NA NA NA NA NA 800 234 1147 NA NA NA NA NA
1709503200.0 11723.17 NA 257 506 0 NA NA NA NA NA 386 752 0 NA NA NA NA NA 363 1823 408 NA NA NA NA NA 270 1399 431 NA NA NA NA
1709503200.0 118.0 138 173 351 NA NA NA NA NA 272 248 514 NA NA NA NA NA 1691 303 1341 NA NA NA NA NA 825 398 1372 NA NA NA NA NA
1709503200.0 11834.0 NA 614 996 0 NA NA NA NA NA 887 1420 0 NA NA NA NA NA 2801 5250 421 NA NA NA NA NA 1145 2467 446 NA NA NA NA
1709503200.0 11834.13 NA 585 1105 0 NA NA NA NA NA 887 1499 0 NA NA NA NA NA 2710 4824 460 NA NA NA NA NA 1130 2406 596 NA NA NA NA
1709503200.0 11834.19 NA 584 1061 0 NA NA NA NA NA 890 1327 0 NA NA NA NA NA 2749 4464 441 NA NA NA NA NA 1127 2203 500 NA NA NA NA
1709503200.0 11834.21 NA 490 340 204 161 NA NA NA NA 701 493 294 245 NA NA NA NA 2474 1801 561 337 NA NA NA NA 1078 866 564 346 NA NA NA
1709503200.0 11834.24 NA 167 421 0 NA NA NA NA NA 313 679 0 NA NA NA NA NA 1083 6929 1938 NA NA NA NA NA 951 6640 2056 NA NA NA NA
1709503200.0 11846.0 NA 549 937 0 NA NA NA NA NA 906 1477 0 NA NA NA NA NA 13381 22910 2217 NA NA NA NA NA 4724 10134 2336 NA NA NA NA
1709503200.0 11846.19 NA 552 902 0 NA NA NA NA NA 887 1439 0 NA NA NA NA NA 12692 20266 2298 NA NA NA NA NA 4534 9768 2438 NA NA NA NA
1709503200.0 119.0 99 140 305 NA NA NA NA NA 276 244 495 NA NA NA NA NA 6129 1346 6179 NA NA NA NA NA 3543 1100 5686 NA NA NA NA NA
1709503200.0 12.0 NA 206 408 0 NA NA NA NA NA 309 555 0 NA NA NA NA NA 1028 2360 418 NA NA NA NA NA 427 1550 586 NA NA NA NA
1709503200.0 120.0 86 139 333 NA NA NA NA NA 234 242 490 NA NA NA NA NA 423 240 1198 NA NA NA NA NA 482 267 1464 NA NA NA NA NA
1709503200.0 12034.0 NA 223 464 0 NA NA NA NA NA 386 716 0 NA NA NA NA NA 1629 7010 2154 NA NA NA NA NA 1064 5967 2261 NA NA NA NA
1709503200.0 121.0 103 147 318 NA NA NA NA NA 281 251 514 NA NA NA NA NA 11856 1436 6889 NA NA NA NA NA 4926 1146 5834 NA NA NA NA NA
1709503200.0 122.0 85 136 295 NA NA NA NA NA 227 232 466 NA NA NA NA NA 2799 998 6170 NA NA NA NA NA 2484 1007 6026 NA NA NA NA NA
1709503200.0 123.3 321 NA NA NA NA NA NA NA 421 NA NA NA NA NA NA NA 620 NA NA NA NA NA NA NA 948 NA NA NA NA NA NA NA
1709503200.0 124.4 383 NA NA NA NA NA NA NA 485 NA NA NA NA NA NA NA 631 NA NA NA NA NA NA NA 1164 NA NA NA NA NA NA NA
1709503200.0 124.5 383 NA NA NA NA NA NA NA 491 NA NA NA NA NA NA NA 632 NA NA NA NA NA NA NA 997 NA NA NA NA NA NA NA
1709503200.0 12434.0 NA 312 510 0 177 NA NA NA NA 433 741 0 290 NA NA NA NA 1594 1548 422 286 NA NA NA NA 601 1358 479 349 NA NA NA
1709503200.0 12434.7 NA 288 484 0 NA NA NA NA NA 438 743 0 NA NA NA NA NA 1580 1594 404 NA NA NA NA NA 569 1503 500 NA NA NA NA
1709503200.0 12446.0 NA 313 500 0 145 NA NA NA NA 421 717 0 222 NA NA NA NA 1574 1525 420 274 NA NA NA NA 545 1503 475 324 NA NA NA
1709503200.0 125.0 140 168 348 NA NA NA NA NA 270 247 509 NA NA NA NA NA 1256 273 1187 NA NA NA NA NA 685 242 1160 NA NA NA NA NA
1709503200.0 12634.0 NA 585 938 0 NA NA NA NA NA 977 1312 0 NA NA NA NA NA 17523 24218 2219 NA NA NA NA NA 5786 10722 2322 NA NA NA NA
1709503200.0 12634.99 NA 674 683 687 0 NA NA NA NA 912 890 953 0 NA NA NA NA 3126 3343 3462 448 NA NA NA NA 1591 1131 2273 559 NA NA NA
1709503200.0 128.0 83 163 333 NA NA NA NA NA 214 240 503 NA NA NA NA NA 407 245 1222 NA NA NA NA NA 400 318 1450 NA NA NA NA NA
1709503200.0 12834.0 NA 427 609 0 184 NA NA NA NA 601 821 0 299 NA NA NA NA 864 2176 548 332 NA NA NA NA 585 2029 636 484 NA NA NA
1709503200.0 129.0 112 162 336 NA NA NA NA NA 214 241 474 NA NA NA NA NA 416 241 1144 NA NA NA NA NA 402 237 1283 NA NA NA NA NA
1709503200.0 13.0 NA 172 351 0 NA NA NA NA NA 279 507 0 NA NA NA NA NA 231 1579 328 NA NA NA NA NA 248 1585 371 NA NA NA NA
1709503200.0 1301.0 98 176 257 NA NA NA NA NA 252 296 436 NA NA NA NA NA 6065 1358 3781 NA NA NA NA NA 3628 1079 3661 NA NA NA NA NA
1709503200.0 1301.17 123 281 317 NA NA NA NA NA 219 366 481 NA NA NA NA NA 1020 1104 824 NA NA NA NA NA 659 694 896 NA NA NA NA NA
1709503200.0 1302.0 107 183 265 NA NA NA NA NA 267 301 464 NA NA NA NA NA 9969 1451 4251 NA NA NA NA NA 4378 1094 3733 NA NA NA NA NA
