Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709762400.0 1.0 187 161 271 NA NA NA NA NA NA 273 244 407 NA NA NA NA NA NA 1046 271 740 NA NA NA NA NA NA 703 345 875 NA NA NA NA NA NA
1709762400.0 10.0 NA 209 376 0 NA NA NA NA NA NA 304 559 0 NA NA NA NA NA NA 1063 2331 360 NA NA NA NA NA NA 420 1393 386 NA NA NA NA NA
1709762400.0 1000.0 NA 402 232 0 102 NA NA NA NA NA 525 339 0 165 NA NA NA NA NA 1870 615 267 222 NA NA NA NA NA 1178 866 309 329 NA NA NA NA
1709762400.0 10001.0 NA 273 458 0 141 166 NA NA NA NA 423 642 0 216 252 NA NA NA NA 1039 1203 334 238 382 NA NA NA NA 454 1385 378 276 413 NA NA NA
1709762400.0 10002.0 NA 283 514 0 141 167 NA NA NA NA 419 682 0 208 247 NA NA NA NA 1043 1173 333 244 390 NA NA NA NA 433 1096 346 262 380 NA NA NA
1709762400.0 10003.0 NA 272 456 0 141 167 NA NA NA NA 411 669 0 204 254 NA NA NA NA 1064 1281 360 284 433 NA NA NA NA 609 1467 449 461 479 NA NA NA
1709762400.0 10004.0 NA 272 457 0 140 165 NA NA NA NA 407 640 0 218 245 NA NA NA NA 1041 1165 329 251 398 NA NA NA NA 462 1130 353 500 525 NA NA NA
1709762400.0 10005.0 NA 287 460 0 141 166 NA NA NA NA 407 672 0 210 257 NA NA NA NA 1048 1219 337 247 388 NA NA NA NA 463 1249 355 270 378 NA NA NA
1709762400.0 10006.0 NA 297 455 0 140 160 NA NA NA NA 418 659 0 202 239 NA NA NA NA 1044 1160 332 240 358 NA NA NA NA 464 1376 349 264 749 NA NA NA
1709762400.0 10007.0 NA 275 460 0 170 164 NA NA NA NA 410 673 0 283 253 NA NA NA NA 1067 1250 375 280 382 NA NA NA NA 516 1236 547 375 392 NA NA NA
1709762400.0 10008.0 NA 275 463 0 169 165 NA NA NA NA 402 669 0 290 250 NA NA NA NA 1072 1294 363 283 435 NA NA NA NA 515 1327 408 434 631 NA NA NA
1709762400.0 10009.0 NA 297 467 0 169 165 NA NA NA NA 410 663 0 280 255 NA NA NA NA 1052 1234 345 257 387 NA NA NA NA 434 1114 360 280 393 NA NA NA
1709762400.0 1001.0 NA 317 177 0 0 0 0 0 0 NA 486 258 0 0 0 0 0 0 NA 1731 320 67 55 71 178 93 177 NA 1190 396 87 180 102 200 122 244
1709762400.0 1001.2 NA 637 263 0 0 0 0 NA NA NA 794 351 0 0 0 0 NA NA NA 8076 622 82 81 94 106 NA NA NA 2683 384 94 112 113 117 NA NA
1709762400.0 1001.3 NA 567 220 0 NA NA NA NA NA NA 760 351 0 NA NA NA NA NA NA 6612 692 190 NA NA NA NA NA NA 2461 772 234 NA NA NA NA NA
1709762400.0 1001.4 NA 544 168 0 0 0 NA NA NA NA 759 281 0 0 0 NA NA NA NA 6619 267 89 90 89 NA NA NA NA 2447 306 108 139 136 NA NA NA
1709762400.0 1002.0 NA 355 118 NA NA NA NA NA NA NA 540 174 NA NA NA NA NA NA NA 2088 166 NA NA NA NA NA NA NA 1659 150 NA NA NA NA NA NA
1709762400.0 1002.3 NA 620 215 0 NA NA NA NA NA NA 747 335 0 NA NA NA NA NA NA 4846 529 197 NA NA NA NA NA NA 1926 594 284 NA NA NA NA NA
1709762400.0 1002.4 NA 515 0 NA NA NA NA NA NA NA 770 0 NA NA NA NA NA NA NA 7756 363 NA NA NA NA NA NA NA 2719 494 NA NA NA NA NA NA
1709762400.0 10023.0 NA 287 458 0 141 160 NA NA NA NA 423 666 0 208 247 NA NA NA NA 1043 1154 331 232 365 NA NA NA NA 487 1443 344 252 774 NA NA NA
1709762400.0 10024.0 NA 259 478 0 172 169 NA NA NA NA 424 675 0 284 248 NA NA NA NA 1097 1440 404 285 442 NA NA NA NA 529 1445 467 442 471 NA NA NA
1709762400.0 10024.1 NA 305 287 0 NA NA NA NA NA NA 420 431 0 NA NA NA NA NA NA 1074 570 339 NA NA NA NA NA NA 441 524 351 NA NA NA NA NA
1709762400.0 10024.2 NA 303 478 0 NA NA NA NA NA NA 416 687 0 NA NA NA NA NA NA 1093 1433 374 NA NA NA NA NA NA 570 1356 567 NA NA NA NA NA
1709762400.0 10024.3 NA 305 294 0 NA NA NA NA NA NA 432 406 0 NA NA NA NA NA NA 1084 558 290 NA NA NA NA NA NA 470 650 307 NA NA NA NA NA
1709762400.0 10024.4 NA 306 483 0 NA NA NA NA NA NA 424 665 0 NA NA NA NA NA NA 1079 1317 377 NA NA NA NA NA NA 452 1168 402 NA NA NA NA NA
1709762400.0 10025.0 NA 290 467 0 142 167 NA NA NA NA 403 682 0 210 244 NA NA NA NA 1048 1239 363 240 379 NA NA NA NA 433 1360 397 281 376 NA NA NA
