Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709503200.0 1.0 131 159 267 NA NA NA NA NA NA 270 235 403 NA NA NA NA NA NA 942 252 728 NA NA NA NA NA NA 613 296 832 NA NA NA NA NA NA
1709503200.0 10.0 NA 196 373 0 NA NA NA NA NA NA 306 534 0 NA NA NA NA NA NA 1042 2248 331 NA NA NA NA NA NA 422 1358 348 NA NA NA NA NA
1709503200.0 1000.0 NA 360 229 0 100 NA NA NA NA NA 530 331 0 164 NA NA NA NA NA 1917 599 272 199 NA NA NA NA NA 1311 628 436 224 NA NA NA NA
1709503200.0 10001.0 NA 272 455 0 139 165 NA NA NA NA 399 662 0 209 247 NA NA NA NA 1065 1248 363 275 447 NA NA NA NA 587 1485 418 357 481 NA NA NA
1709503200.0 10002.0 NA 272 460 0 139 165 NA NA NA NA 406 662 0 209 248 NA NA NA NA 1091 1235 352 277 452 NA NA NA NA 625 1226 519 354 617 NA NA NA
1709503200.0 10003.0 NA 277 485 0 139 167 NA NA NA NA 406 670 0 209 254 NA NA NA NA 1026 1140 332 227 383 NA NA NA NA 425 1058 359 250 371 NA NA NA
1709503200.0 10004.0 NA 283 454 0 138 163 NA NA NA NA 407 662 0 207 252 NA NA NA NA 1033 1158 335 249 386 NA NA NA NA 473 1146 367 346 410 NA NA NA
1709503200.0 10005.0 NA 269 457 0 139 164 NA NA NA NA 406 646 0 209 247 NA NA NA NA 1108 1243 365 271 442 NA NA NA NA 724 1248 503 315 491 NA NA NA
1709503200.0 10006.0 NA 290 452 0 138 159 NA NA NA NA 413 673 0 204 240 NA NA NA NA 1056 1222 347 257 441 NA NA NA NA 485 1572 370 303 700 NA NA NA
1709503200.0 10007.0 NA 284 514 0 168 163 NA NA NA NA 417 672 0 281 250 NA NA NA NA 1074 1267 393 273 438 NA NA NA NA 592 1357 557 320 596 NA NA NA
