Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1710108000.0 1005.0 NA 164 118 0 0 NA 383 242 0 0 NA 2064 548 309 340 NA 2022 579 356 446
1710108000.0 101.0 116 NA NA NA NA 289 NA NA NA NA 1947 NA NA NA NA 1579 NA NA NA NA
1710108000.0 1010.0 NA 51 61 0 NA NA 161 159 0 NA NA 431 409 409 NA NA 536 467 449 NA
1710108000.0 102.0 128 NA NA NA NA 285 NA NA NA NA 1772 NA NA NA NA 1442 NA NA NA NA
1710108000.0 1041.0 NA 86 53 0 NA NA 202 139 0 NA NA 530 408 230 NA NA 595 465 296 NA
1710108000.0 1042.0 NA 93 70 0 NA NA 207 136 0 NA NA 900 387 245 NA NA 1307 411 288 NA
1710108000.0 1043.0 NA 58 48 0 NA NA 179 143 0 NA NA 565 356 216 NA NA 533 416 258 NA
1710108000.0 1044.0 NA 59 53 0 NA NA 178 160 0 NA NA 522 437 245 NA NA 520 451 304 NA
1710108000.0 1045.0 NA 53 51 0 NA NA 178 146 0 NA NA 519 420 201 NA NA 495 434 250 NA
1710108000.0 105.0 91 136 48 NA NA 271 247 128 NA NA 3778 772 422 NA NA 2222 620 495 NA NA
1710108000.0 1052.1 NA 94 0 NA NA NA 251 0 NA NA NA 533 213 NA NA NA 576 264 NA NA
1710108000.0 1060.1 NA 118 NA NA NA NA 281 NA NA NA NA 1362 NA NA NA NA 983 NA NA NA
1710108000.0 1060.2 NA 110 NA NA NA NA 275 NA NA NA NA 1198 NA NA NA NA 1007 NA NA NA
1710108000.0 11634.911 146 259 507 0 144 221 350 719 0 226 2085 1052 2044 790 412 1295 628 1440 909 659
1710108000.0 122.0 107 0 0 NA NA 204 0 0 NA NA 456 113 991 NA NA 558 260 1116 NA NA
