Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1710108000.0 10824.502 282 161 0 857 835 0 1630 575 211 1221 1498 313
1710108000.0 10824.503 280 172 0 849 855 0 1616 578 209 1109 1407 285
1710108000.0 10824.504 276 113 NA 849 784 NA 1619 362 NA 1153 1080 NA
1710108000.0 10824.506 282 163 0 859 835 0 1640 572 226 1437 1357 351
1710108000.0 10824.507 274 170 0 858 852 0 1639 572 232 1206 1496 717
1710108000.0 10824.508 278 115 NA 855 786 NA 1587 314 NA 1039 684 NA
1710108000.0 10824.512 286 138 0 855 706 0 1586 342 182 944 784 300
1710108000.0 10824.513 278 137 0 850 711 0 1635 386 163 1232 915 233
1710108000.0 10824.514 288 106 NA 862 663 NA 1552 147 NA 805 194 NA
1710108000.0 10824.522 286 129 0 858 674 0 1587 344 186 927 807 306
1710108000.0 10824.523 283 135 0 861 673 0 1633 363 183 1153 969 327
1710108000.0 10824.524 284 100 NA 864 633 NA 1625 179 NA 1113 319 NA
1710108000.0 10824.582 272 169 0 852 903 0 1652 648 248 1252 1510 385
1710108000.0 10824.583 248 216 0 857 916 0 1632 667 249 1150 1589 372
1710108000.0 10824.586 250 162 0 865 907 0 1635 670 252 1283 1582 385
1710108000.0 10824.587 263 214 0 850 907 0 1634 634 262 1451 1534 618
1710108000.0 10824.592 279 523 0 861 1265 0 1649 1916 446 1348 3083 612
1710108000.0 10824.593 253 494 0 854 1300 0 1588 1953 418 1285 2879 512
1710108000.0 10824.596 284 520 0 849 1252 0 1584 1961 437 1088 3301 600
1710108000.0 10824.597 251 527 0 850 1310 0 1589 1921 421 1285 2696 585
1710108000.0 10842.502 275 144 0 840 834 0 1574 507 211 964 1187 334
1710108000.0 10842.503 276 166 0 852 855 0 1627 567 207 1150 1349 287
1710108000.0 10842.504 284 115 NA 859 784 NA 1620 303 NA 1144 504 NA
1710108000.0 10842.506 274 162 0 836 831 0 1617 563 209 1279 1325 695
1710108000.0 10842.507 250 163 0 854 861 0 1617 547 220 1125 1253 331
1710108000.0 10842.508 284 106 NA 845 778 NA 1571 342 NA 927 704 NA
1710108000.0 11634.502 259 160 0 827 842 0 409 415 217 714 627 329
1710108000.0 11634.503 259 170 0 829 852 0 437 440 230 498 1083 358
1710108000.0 11634.504 266 119 NA 836 791 NA 430 191 NA 420 300 NA
1710108000.0 11634.506 260 170 0 828 845 0 440 420 210 724 643 289
1710108000.0 11634.507 263 175 0 825 860 0 444 440 233 483 1063 728
1710108000.0 11634.508 267 119 NA 830 792 NA 433 176 NA 436 396 NA
1710108000.0 11634.512 261 140 0 826 711 0 450 339 172 739 514 270
1710108000.0 11634.513 261 138 0 833 709 0 443 376 166 726 970 241
1710108000.0 11634.514 258 108 NA 825 663 NA 417 178 NA 450 295 NA
1710108000.0 11634.522 260 134 0 827 675 0 441 351 173 448 555 258
1710108000.0 11634.523 259 140 0 832 681 0 415 320 180 660 671 298
1710108000.0 11634.524 265 104 NA 832 632 NA 440 180 NA 791 303 NA
1710108000.0 11634.582 261 210 0 826 907 0 433 535 258 708 1166 690
1710108000.0 11634.583 260 222 0 836 923 0 439 533 242 481 1027 323
1710108000.0 11634.586 259 206 0 827 900 0 446 503 252 478 800 393
1710108000.0 11634.587 255 217 0 827 917 0 440 486 254 479 943 376
1710108000.0 11634.592 262 516 0 818 1268 0 432 1780 432 453 2686 931
1710108000.0 11634.593 258 523 0 827 1268 0 441 1821 414 537 2456 499
1710108000.0 11634.596 257 511 0 833 1271 0 440 1812 440 499 2899 753
1710108000.0 11634.597 258 526 0 832 1285 0 431 1811 443 533 2505 597
1710108000.0 11650.502 255 163 0 816 842 0 421 409 213 898 893 317
1710108000.0 11650.503 251 171 0 816 856 0 434 420 234 560 610 695
1710108000.0 11650.504 261 118 NA 828 791 NA 416 190 NA 443 305 NA
1710108000.0 11650.506 256 168 0 820 843 0 417 399 220 775 624 359
1710108000.0 11650.507 258 165 0 818 861 0 418 387 222 416 481 335
1710108000.0 11650.508 255 120 NA 824 794 NA 412 191 NA 782 306 NA
1710108000.0 12434.502 420 181 0 1204 871 0 2222 470 215 1182 907 332
1710108000.0 12434.503 443 193 0 1187 880 0 2203 472 224 1090 571 363
1710108000.0 12434.504 436 146 NA 1189 824 NA 2194 247 NA 1054 302 NA
1710108000.0 12434.506 435 181 0 1188 858 0 2258 468 221 1234 942 330
1710108000.0 12434.507 433 190 0 1194 877 0 2245 450 231 1206 531 351
1710108000.0 12434.508 387 143 NA 1217 817 NA 2210 251 NA 1034 302 NA
1710108000.0 12434.512 436 164 0 1206 739 0 2253 443 178 1187 925 327
1710108000.0 12434.513 434 169 0 1173 744 0 2228 447 181 1198 969 299
1710108000.0 12434.514 435 139 NA 1195 692 NA 2254 263 NA 1249 392 NA
1710108000.0 12434.522 407 159 0 1181 711 0 2249 438 174 1234 885 251
