Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1710025200.0 103.0 113 0 0 NA 196 0 0 NA 537 112 1176 NA 1492 215 1840 NA
1710025200.0 107.0 161 146 352 NA 263 236 490 NA 1521 318 1372 NA 894 518 2249 NA
1710025200.0 10804.31 NA 239 442 NA NA 361 625 NA NA 1441 1467 NA NA 1268 3958 NA
1710025200.0 125.0 161 168 353 NA 271 240 478 NA 1581 317 1348 NA 1427 622 1701 NA
1710025200.0 130.0 122 163 338 NA 194 238 474 NA 527 285 1345 NA 750 339 2763 NA
1710025200.0 141.105 NA 360 642 0 NA 513 908 0 NA 1504 5776 379 NA 1520 4163 778
1710025200.0 144.6 NA 359 NA NA NA 499 NA NA NA 2454 NA NA NA 3100 NA NA
1710025200.0 2018.1 441 0 186 156 604 0 270 239 956 249 542 352 2173 531 822 667
1710025200.0 2500.312 NA 269 0 NA NA 452 0 NA NA 20772 141 NA NA 7345 391 NA
1710025200.0 2500.511 NA 228 0 NA NA 365 0 NA NA 23031 148 NA NA 7657 643 NA
1710025200.0 2500.601 NA 188 0 NA NA 314 0 NA NA 7188 127 NA NA 2986 195 NA
1710025200.0 250403.17 480 0 198 NA 642 0 273 NA 998 238 559 NA 1433 508 679 NA
1710025200.0 250407.17 409 0 156 NA 564 0 270 NA 902 222 554 NA 1592 388 850 NA
1710025200.0 4006.0 126 249 424 NA 219 334 561 NA 724 553 1804 NA 3408 745 2642 NA
1710025200.0 4007.0 118 0 0 NA 196 0 0 NA 545 110 1141 NA 1404 304 2163 NA
