Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1710108000.0 1.0 152 160 263 NA NA NA NA NA NA 256 225 381 NA NA NA NA NA NA 1202 307 855 NA NA NA NA NA NA 1139 388 1061 NA NA NA NA NA NA
1710108000.0 10.0 NA 198 381 0 NA NA NA NA NA NA 279 539 0 NA NA NA NA NA NA 1324 2709 369 NA NA NA NA NA NA 560 1737 412 NA NA NA NA NA
1710108000.0 1000.0 NA 331 239 0 104 NA NA NA NA NA 497 319 0 164 NA NA NA NA NA 2196 715 289 232 NA NA NA NA NA 2295 993 439 308 NA NA NA NA
1710108000.0 10001.0 NA 277 444 0 144 156 NA NA NA NA 357 657 0 205 242 NA NA NA NA 1511 1457 397 298 472 NA NA NA NA 632 1601 469 480 750 NA NA NA
1710108000.0 10002.0 NA 277 448 0 144 161 NA NA NA NA 360 628 0 204 243 NA NA NA NA 1495 1448 416 315 431 NA NA NA NA 639 1526 609 435 470 NA NA NA
1710108000.0 10003.0 NA 274 437 0 144 161 NA NA NA NA 361 650 0 205 240 NA NA NA NA 1447 1422 387 277 419 NA NA NA NA 643 1508 503 324 443 NA NA NA
1710108000.0 10004.0 NA 279 420 0 144 160 NA NA NA NA 372 645 0 200 240 NA NA NA NA 1443 1381 386 276 427 NA NA NA NA 632 1490 500 321 522 NA NA NA
1710108000.0 10005.0 NA 278 455 0 144 161 NA NA NA NA 363 617 0 201 237 NA NA NA NA 1442 1402 386 300 410 NA NA NA NA 638 1565 715 450 427 NA NA NA
1710108000.0 10006.0 NA 277 442 0 144 157 NA NA NA NA 362 626 0 205 240 NA NA NA NA 1433 1388 410 305 444 NA NA NA NA 592 1395 737 405 693 NA NA NA
1710108000.0 10009.0 NA 280 461 0 174 160 NA NA NA NA 371 631 0 285 242 NA NA NA NA 1457 1440 388 302 430 NA NA NA NA 644 1608 502 465 726 NA NA NA
1710108000.0 1001.0 NA 313 179 0 0 0 0 0 0 NA 437 260 0 0 0 0 0 0 NA 1916 370 86 67 95 214 118 206 NA 2444 881 222 191 338 356 299 339
1710108000.0 1001.2 NA 506 219 0 0 0 0 NA NA NA 720 339 0 0 0 0 NA NA NA 9196 750 96 111 121 129 NA NA NA 3662 1212 141 270 181 179 NA NA
1710108000.0 1001.3 NA 502 217 0 NA NA NA NA NA NA 706 332 0 NA NA NA NA NA NA 7062 745 216 NA NA NA NA NA NA 2950 779 458 NA NA NA NA NA
1710108000.0 1002.0 NA 356 131 NA NA NA NA NA NA NA 494 175 NA NA NA NA NA NA NA 2369 182 NA NA NA NA NA NA NA 2688 175 NA NA NA NA NA NA
1710108000.0 1002.3 NA 483 175 0 NA NA NA NA NA NA 712 334 0 NA NA NA NA NA NA 6236 619 231 NA NA NA NA NA NA 2509 731 453 NA NA NA NA NA
1710108000.0 1002.4 NA 501 0 NA NA NA NA NA NA NA 708 0 NA NA NA NA NA NA NA 9272 399 NA NA NA NA NA NA NA 3270 563 NA NA NA NA NA NA
1710108000.0 10023.0 NA 279 455 0 145 159 NA NA NA NA 360 643 0 201 241 NA NA NA NA 1530 1461 382 299 415 NA NA NA NA 684 1602 444 405 486 NA NA NA
1710108000.0 10024.1 NA 288 284 0 NA NA NA NA NA NA 362 392 0 NA NA NA NA NA NA 1479 609 367 NA NA NA NA NA NA 634 643 456 NA NA NA NA NA
1710108000.0 10024.2 NA 291 471 0 NA NA NA NA NA NA 368 631 0 NA NA NA NA NA NA 1515 1602 391 NA NA NA NA NA NA 644 1474 428 NA NA NA NA NA
1710108000.0 10024.3 NA 291 273 0 NA NA NA NA NA NA 373 382 0 NA NA NA NA NA NA 1492 612 327 NA NA NA NA NA NA 778 920 405 NA NA NA NA NA
1710108000.0 10024.4 NA 291 469 0 NA NA NA NA NA NA 384 649 0 NA NA NA NA NA NA 1522 1605 391 NA NA NA NA NA NA 616 1695 432 NA NA NA NA NA
1710108000.0 10024.5 NA 287 155 0 NA NA NA NA NA NA 367 284 0 NA NA NA NA NA NA 1478 424 172 NA NA NA NA NA NA 631 595 213 NA NA NA NA NA
1710108000.0 10025.0 NA 282 461 0 145 162 NA NA NA NA 358 643 0 206 239 NA NA NA NA 1568 1429 415 334 503 NA NA NA NA 765 1347 495 851 1167 NA NA NA
1710108000.0 10026.0 NA 290 478 0 148 163 NA NA NA NA 375 650 0 208 240 NA NA NA NA 1560 1788 437 320 453 NA NA NA NA 896 2505 677 646 651 NA NA NA
1710108000.0 1003.0 NA 371 0 NA NA NA NA NA NA NA 624 0 NA NA NA NA NA NA NA 2423 258 NA NA NA NA NA NA NA 1743 319 NA NA NA NA NA NA
1710108000.0 1004.0 NA 263 145 0 0 0 0 NA NA NA 388 204 0 0 0 0 NA NA NA 793 224 67 91 205 203 NA NA NA 1627 530 376 197 376 250 NA NA
1710108000.0 1005.0 NA 202 147 0 NA NA NA NA NA NA 363 236 0 NA NA NA NA NA NA 473 209 84 NA NA NA NA NA NA 572 322 142 NA NA NA NA NA
1710108000.0 10059.0 NA 261 474 0 148 164 NA NA NA NA 372 657 0 213 241 NA NA NA NA 1616 2253 444 331 482 NA NA NA NA 812 2292 706 654 679 NA NA NA
1710108000.0 10071.0 NA 278 446 0 147 163 NA NA NA NA 375 659 0 209 240 NA NA NA NA 1499 1585 423 288 443 NA NA NA NA 744 1620 731 387 519 NA NA NA
1710108000.0 101.0 162 NA NA NA NA NA NA NA NA 288 NA NA NA NA NA NA NA NA 732 NA NA NA NA NA NA NA NA 759 NA NA NA NA NA NA NA NA
1710108000.0 1010.0 NA 73 95 0 NA NA NA NA NA NA 138 152 0 NA NA NA NA NA NA 132 179 160 NA NA NA NA NA NA 388 442 407 NA NA NA NA NA
1710108000.0 102.0 163 NA NA NA NA NA NA NA NA 293 NA NA NA NA NA NA NA NA 679 NA NA NA NA NA NA NA NA 682 NA NA NA NA NA NA NA NA
1710108000.0 1020.0 NA 82 74 0 76 NA NA NA NA NA 150 140 0 150 NA NA NA NA NA 154 117 64 163 NA NA NA NA NA 269 174 168 318 NA NA NA NA
1710108000.0 10224.0 NA 459 675 0 156 NA NA NA NA NA 600 1008 0 239 NA NA NA NA NA 2946 3185 430 494 NA NA NA NA NA 1458 2422 539 2436 NA NA NA NA
1710108000.0 10224.15 NA 463 701 0 184 NA NA NA NA NA 604 944 0 267 NA NA NA NA NA 2868 2924 454 516 NA NA NA NA NA 1856 2449 654 690 NA NA NA NA
1710108000.0 10225.0 NA 460 684 0 161 NA NA NA NA NA 653 921 0 241 NA NA NA NA NA 2932 2983 446 490 NA NA NA NA NA 1396 3083 611 781 NA NA NA NA
1710108000.0 103.0 120 0 0 NA NA NA NA NA NA 194 0 0 NA NA NA NA NA NA 527 114 1174 NA NA NA NA NA NA 889 364 1682 NA NA NA NA NA NA
1710108000.0 1030.0 NA 253 88 0 0 NA NA NA NA NA 372 148 0 0 NA NA NA NA NA 4527 151 59 59 NA NA NA NA NA 1612 258 108 122 NA NA NA NA
1710108000.0 1040.0 NA 465 76 0 NA NA NA NA NA NA 663 128 0 NA NA NA NA NA NA 8472 138 96 NA NA NA NA NA NA 2934 230 119 NA NA NA NA NA
1710108000.0 1040.1 NA 118 76 0 NA NA NA NA NA NA 179 128 0 NA NA NA NA NA NA 347 126 97 NA NA NA NA NA NA 696 237 205 NA NA NA NA NA
1710108000.0 1041.0 NA 109 82 0 NA NA NA NA NA NA 177 137 0 NA NA NA NA NA NA 235 134 67 NA NA NA NA NA NA 378 230 111 NA NA NA NA NA
1710108000.0 1042.0 NA 83 76 0 NA NA NA NA NA NA 179 134 0 NA NA NA NA NA NA 347 146 65 NA NA NA NA NA NA 571 297 121 NA NA NA NA NA
1710108000.0 10424.0 NA 240 452 0 NA NA NA NA NA NA 319 621 0 NA NA NA NA NA NA 368 1579 429 NA NA NA NA NA NA 652 1844 680 NA NA NA NA NA
1710108000.0 1043.0 NA 104 89 0 NA NA NA NA NA NA 167 148 0 NA NA NA NA NA NA 266 134 65 NA NA NA NA NA NA 456 169 145 NA NA NA NA NA
1710108000.0 1044.0 NA 103 104 0 NA NA NA NA NA NA 168 175 0 NA NA NA NA NA NA 270 191 68 NA NA NA NA NA NA 538 240 106 NA NA NA NA NA
1710108000.0 1045.0 NA 108 102 0 NA NA NA NA NA NA 167 164 0 NA NA NA NA NA NA 267 181 61 NA NA NA NA NA NA 469 268 104 NA NA NA NA NA
1710108000.0 105.0 107 161 73 NA NA NA NA NA NA 260 232 129 NA NA NA NA NA NA 1251 304 127 NA NA NA NA NA NA 955 455 220 NA NA NA NA NA NA
1710108000.0 1052.0 NA 201 152 0 NA NA NA NA NA NA 328 240 0 NA NA NA NA NA NA 468 192 66 NA NA NA NA NA NA 560 294 118 NA NA NA NA NA
1710108000.0 1052.1 NA 133 0 NA NA NA NA NA NA NA 232 0 NA NA NA NA NA NA NA 205 73 NA NA NA NA NA NA NA 386 298 NA NA NA NA NA NA
1710108000.0 106.0 119 0 0 NA NA NA NA NA NA 194 0 0 NA NA NA NA NA NA 540 114 1119 NA NA NA NA NA NA 668 298 1374 NA NA NA NA NA NA
1710108000.0 107.0 159 167 332 NA NA NA NA NA NA 263 238 483 NA NA NA NA NA NA 1505 301 1396 NA NA NA NA NA NA 789 253 1400 NA NA NA NA NA NA
1710108000.0 108.0 126 167 354 NA NA NA NA NA NA 266 237 501 NA NA NA NA NA NA 1974 330 1555 NA NA NA NA NA NA 1110 295 1893 NA NA NA NA NA NA
1710108000.0 10801.0 NA 271 453 0 144 159 NA NA NA NA 356 620 0 204 238 NA NA NA NA 1476 1433 395 312 459 NA NA NA NA 609 1531 441 528 664 NA NA NA
1710108000.0 10802.0 NA 271 445 0 144 164 NA NA NA NA 345 621 0 206 235 NA NA NA NA 1505 1495 395 312 462 NA NA NA NA 611 1703 469 586 608 NA NA NA
1710108000.0 10803.0 NA 273 444 0 145 166 NA NA NA NA 349 646 0 200 247 NA NA NA NA 1422 1458 397 299 481 NA NA NA NA 626 1412 458 371 703 NA NA NA
1710108000.0 10804.0 NA 270 454 0 144 164 NA NA NA NA 355 632 0 208 245 NA NA NA NA 1427 1452 404 316 460 NA NA NA NA 767 1807 622 638 665 NA NA NA
1710108000.0 10804.31 NA 239 434 0 145 154 NA NA NA NA 350 641 0 208 243 NA NA NA NA 1463 1520 395 293 480 NA NA NA NA 852 4070 711 387 1023 NA NA NA
1710108000.0 10805.0 NA 272 446 0 143 161 NA NA NA NA 362 644 0 203 243 NA NA NA NA 1452 1468 402 318 457 NA NA NA NA 941 1991 638 672 715 NA NA NA
1710108000.0 10805.31 NA 270 456 0 144 162 NA NA NA NA 347 650 0 208 241 NA NA NA NA 1388 1448 396 317 460 NA NA NA NA 574 1926 471 539 601 NA NA NA
1710108000.0 10807.0 NA 273 452 0 172 164 NA NA NA NA 353 623 0 285 244 NA NA NA NA 1476 1460 413 329 461 NA NA NA NA 591 1435 534 481 548 NA NA NA
1710108000.0 10808.0 NA 268 448 0 172 131 NA NA NA NA 357 638 0 279 241 NA NA NA NA 1521 1515 394 307 466 NA NA NA NA 643 1631 451 383 585 NA NA NA
