Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1710025200.0 1.0 155 170 279 NA NA NA 286 266 408 NA NA NA 1301 308 852 NA NA NA 999 528 1227 NA NA NA
1710025200.0 10071.0 NA 293 465 0 149 165 NA 412 677 0 232 275 NA 1553 1601 403 309 478 NA 778 2076 466 520 779
1710025200.0 102.0 167 NA NA NA NA NA 303 NA NA NA NA NA 665 NA NA NA NA NA 822 NA NA NA NA NA
1710025200.0 10225.0 NA 473 699 0 165 NA NA 674 946 0 271 NA NA 2870 2668 416 466 NA NA 1507 2572 474 747 NA
1710025200.0 103.0 124 163 337 NA NA NA 235 261 485 NA NA NA 644 221 1307 NA NA NA 1195 550 1907 NA NA NA
1710025200.0 106.0 119 0 0 NA NA NA 221 0 0 NA NA NA 545 115 1159 NA NA NA 747 244 1705 NA NA NA
1710025200.0 107.0 158 176 324 NA NA NA 288 265 504 NA NA NA 1529 317 1415 NA NA NA 1002 503 1775 NA NA NA
1710025200.0 10824.8 NA 258 467 0 155 170 NA 386 665 0 317 269 NA 1525 1585 422 342 467 NA 805 1616 593 1082 562
1710025200.0 10871.0 NA 256 463 0 149 168 NA 397 691 0 231 278 NA 1518 1623 424 300 471 NA 686 1676 708 409 550
1710025200.0 110.0 124 171 344 NA NA NA 223 268 490 NA NA NA 562 292 1337 NA NA NA 638 521 1850 NA NA NA
1710025200.0 112.0 120 175 350 NA NA NA 284 277 508 NA NA NA 1326 318 1339 NA NA NA 980 616 1754 NA NA NA
1710025200.0 117.0 119 179 322 NA NA NA 292 275 513 NA NA NA 1796 319 1424 NA NA NA 1204 499 1733 NA NA NA
1710025200.0 119.0 159 173 350 NA NA NA 281 270 516 NA NA NA 1205 306 1358 NA NA NA 1036 566 1652 NA NA NA
