Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1709589600.0 12434.402 NA 307 181 0 NA NA 883 867 0 NA NA 2161 368 230 NA NA 821 835 347 NA
1709589600.0 12434.403 NA 328 185 0 NA NA 902 891 0 NA NA 2161 373 220 NA NA 767 887 326 NA
1709589600.0 12434.404 NA 322 136 NA NA NA 908 826 NA NA NA 2150 177 NA NA NA 757 454 NA NA
1709589600.0 12434.412 NA 328 157 0 NA NA 903 760 0 NA NA 2149 327 162 NA NA 760 872 232 NA
1709589600.0 12434.502 NA 324 182 0 NA NA 895 860 0 NA NA 2158 368 232 NA NA 763 878 354 NA
1709589600.0 12434.503 NA 323 194 0 NA NA 892 883 0 NA NA 2146 387 208 NA NA 762 786 268 NA
1709589600.0 12434.504 NA 325 132 NA NA NA 891 810 NA NA NA 2148 164 NA NA NA 744 218 NA NA
1709589600.0 12434.506 NA 324 183 0 NA NA 894 857 0 NA NA 2153 416 211 NA NA 758 613 276 NA
1709589600.0 12434.507 NA 325 191 0 NA NA 895 882 0 NA NA 2148 412 244 NA NA 786 597 363 NA
1709589600.0 12434.508 NA 325 132 NA NA NA 890 812 NA NA NA 2165 167 NA NA NA 744 223 NA NA
1709589600.0 12434.512 NA 324 147 0 NA NA 891 731 0 NA NA 2143 352 152 NA NA 754 737 201 NA
1709589600.0 12434.513 NA 326 155 0 NA NA 897 731 0 NA NA 2155 332 170 NA NA 748 498 662 NA
1709589600.0 12434.514 NA 327 119 NA NA NA 894 683 NA NA NA 2150 152 NA NA NA 738 204 NA NA
1709589600.0 12434.522 NA 326 150 0 NA NA 888 698 0 NA NA 2156 322 162 NA NA 751 369 276 NA
1709589600.0 12434.523 NA 321 153 0 NA NA 881 705 0 NA NA 2151 382 171 NA NA 763 585 281 NA
1709589600.0 12434.524 NA 323 115 NA NA NA 906 657 NA NA NA 2153 156 NA NA NA 745 208 NA NA
1709589600.0 12434.582 NA 327 178 0 NA NA 899 941 0 NA NA 2159 460 249 NA NA 778 901 359 NA
1709589600.0 12434.583 NA 327 246 0 NA NA 901 964 0 NA NA 2151 478 266 NA NA 746 931 390 NA
1709589600.0 12434.586 NA 329 233 0 NA NA 901 942 0 NA NA 2146 463 251 NA NA 754 902 407 NA
1709589600.0 12434.587 NA 317 243 0 NA NA 894 952 0 NA NA 2163 485 258 NA NA 813 979 423 NA
1709589600.0 12434.592 NA 318 446 0 NA NA 892 1368 0 NA NA 2158 2048 427 NA NA 761 2832 617 NA
