Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1710108000.0 1.0 160 170 253 NA NA NA NA NA 274 254 415 NA NA NA NA NA 1136 312 889 NA NA NA NA NA 839 568 1075 NA NA NA NA NA
1710108000.0 1000.0 NA 370 254 0 114 NA NA NA NA 522 337 0 176 NA NA NA NA 2178 723 304 251 NA NA NA NA 2176 864 563 289 NA NA NA
1710108000.0 1001.2 NA 529 190 0 0 0 0 0 NA 769 371 0 0 0 0 0 NA 9397 772 107 124 129 140 136 NA 4175 916 201 320 343 224 196
1710108000.0 10026.0 NA 308 493 0 158 177 NA NA NA 402 673 0 231 258 NA NA NA 1609 1938 470 359 544 NA NA NA 776 1989 718 775 664 NA NA
1710108000.0 1003.0 NA 335 0 NA NA NA NA NA NA 650 0 NA NA NA NA NA NA 2419 262 NA NA NA NA NA NA 1753 321 NA NA NA NA NA
1710108000.0 1005.0 NA 207 155 0 0 NA NA NA NA 379 262 0 0 NA NA NA NA 518 236 90 112 NA NA NA NA 813 318 123 228 NA NA NA
1710108000.0 10059.0 NA 309 489 0 104 177 NA NA NA 403 699 0 234 257 NA NA NA 1629 2335 462 361 546 NA NA NA 872 2546 589 875 649 NA NA
1710108000.0 101.0 171 NA NA NA NA NA NA NA 296 NA NA NA NA NA NA NA 716 NA NA NA NA NA NA NA 688 NA NA NA NA NA NA NA
1710108000.0 1010.0 NA 91 106 0 NA NA NA NA NA 160 172 0 NA NA NA NA NA 147 178 175 NA NA NA NA NA 881 267 315 NA NA NA NA
1710108000.0 102.0 172 NA NA NA NA NA NA NA 285 NA NA NA NA NA NA NA 675 NA NA NA NA NA NA NA 691 NA NA NA NA NA NA NA
1710108000.0 1020.0 NA 94 86 0 95 NA NA NA NA 177 159 0 172 NA NA NA NA 179 131 65 160 NA NA NA NA 420 228 118 236 NA NA NA
1710108000.0 10225.0 NA 479 701 0 175 NA NA NA NA 677 965 0 260 NA NA NA NA 2699 2679 442 529 NA NA NA NA 1355 2345 619 856 NA NA NA
1710108000.0 103.0 134 168 337 NA NA NA NA NA 223 243 479 NA NA NA NA NA 622 229 1367 NA NA NA NA NA 730 437 1840 NA NA NA NA NA
1710108000.0 1040.1 NA 126 87 0 NA NA NA NA NA 205 148 0 NA NA NA NA NA 358 137 110 NA NA NA NA NA 595 208 212 NA NA NA NA
1710108000.0 1041.0 NA 124 89 0 NA NA NA NA NA 202 154 0 NA NA NA NA NA 252 162 72 NA NA NA NA NA 530 298 117 NA NA NA NA
1710108000.0 1042.0 NA 123 88 0 NA NA NA NA NA 204 149 0 NA NA NA NA NA 388 155 67 NA NA NA NA NA 937 253 90 NA NA NA NA
1710108000.0 10424.0 NA 259 477 0 NA NA NA NA NA 361 662 0 NA NA NA NA NA 385 1712 444 NA NA NA NA NA 585 2232 533 NA NA NA NA
1710108000.0 1043.0 NA 103 86 0 NA NA NA NA NA 179 156 0 NA NA NA NA NA 241 148 63 NA NA NA NA NA 385 236 83 NA NA NA NA
1710108000.0 1044.0 NA 104 105 0 NA NA NA NA NA 179 170 0 NA NA NA NA NA 240 176 82 NA NA NA NA NA 340 227 181 NA NA NA NA
1710108000.0 1045.0 NA 103 72 0 NA NA NA NA NA 176 162 0 NA NA NA NA NA 250 179 67 NA NA NA NA NA 450 259 101 NA NA NA NA
1710108000.0 105.0 144 175 89 NA NA NA NA NA 275 251 145 NA NA NA NA NA 1156 309 134 NA NA NA NA NA 846 698 195 NA NA NA NA NA
1710108000.0 1052.0 NA 212 156 0 NA NA NA NA NA 378 259 0 NA NA NA NA NA 492 228 71 NA NA NA NA NA 573 312 138 NA NA NA NA
1710108000.0 1052.1 NA 148 0 NA NA NA NA NA NA 249 0 NA NA NA NA NA NA 200 66 NA NA NA NA NA NA 266 90 NA NA NA NA NA
1710108000.0 106.0 124 0 0 NA NA NA NA NA 206 0 0 NA NA NA NA NA 574 127 1245 NA NA NA NA NA 1181 286 2019 NA NA NA NA NA
1710108000.0 1060.1 NA 158 NA NA NA NA NA NA NA 258 NA NA NA NA NA NA NA 573 NA NA NA NA NA NA NA 589 NA NA NA NA NA NA
1710108000.0 1060.2 NA 166 NA NA NA NA NA NA NA 265 NA NA NA NA NA NA NA 459 NA NA NA NA NA NA NA 449 NA NA NA NA NA NA
1710108000.0 107.0 169 183 315 NA NA NA NA NA 281 255 516 NA NA NA NA NA 1596 333 1518 NA NA NA NA NA 910 575 2172 NA NA NA NA NA
1710108000.0 10805.31 NA 287 463 0 153 175 NA NA NA 380 651 0 228 264 NA NA NA 1417 1560 403 329 530 NA NA NA 791 2468 618 546 857 NA NA
1710108000.0 10806.0 NA 287 466 0 153 171 NA NA NA 382 661 0 223 260 NA NA NA 1537 1532 415 349 516 NA NA NA 1002 1920 600 857 653 NA NA
1710108000.0 10824.8 NA 297 485 0 139 180 NA NA NA 395 680 0 305 262 NA NA NA 1555 1737 458 370 558 NA NA NA 726 1874 595 929 645 NA NA
1710108000.0 10842.0 NA 293 476 0 140 177 NA NA NA 381 660 0 287 267 NA NA NA 1552 1629 449 369 535 NA NA NA 938 1861 587 900 646 NA NA
1710108000.0 10859.0 NA 308 498 0 159 180 NA NA NA 415 685 0 232 269 NA NA NA 1469 2238 462 336 553 NA NA NA 733 2025 661 542 857 NA NA
1710108000.0 110.0 133 179 345 NA NA NA NA NA 220 257 499 NA NA NA NA NA 558 293 1348 NA NA NA NA NA 614 483 1699 NA NA NA NA NA
1710108000.0 111.0 156 184 355 NA NA NA NA NA 265 256 489 NA NA NA NA NA 1091 292 1440 NA NA NA NA NA 826 561 1766 NA NA NA NA NA
1710108000.0 112.0 163 181 352 NA NA NA NA NA 276 258 499 NA NA NA NA NA 1289 314 1365 NA NA NA NA NA 859 610 1572 NA NA NA NA NA
1710108000.0 11224.0 NA 259 477 0 NA NA NA NA NA 344 675 0 NA NA NA NA NA 391 1756 456 NA NA NA NA NA 376 2238 589 NA NA NA NA
1710108000.0 11224.6 NA 258 476 0 NA NA NA NA NA 347 648 0 NA NA NA NA NA 376 1656 441 NA NA NA NA NA 442 2198 548 NA NA NA NA
1710108000.0 113.0 170 183 357 NA NA NA NA NA 278 255 511 NA NA NA NA NA 1333 313 1382 NA NA NA NA NA 885 331 1573 NA NA NA NA NA
1710108000.0 11601.0 NA 259 471 0 156 NA NA NA NA 356 697 0 232 NA NA NA NA 347 1596 408 304 NA NA NA NA 374 2341 755 429 NA NA NA
1710108000.0 11605.0 NA 259 445 0 107 NA NA NA NA 365 707 0 229 NA NA NA NA 350 1585 397 317 NA NA NA NA 336 1933 533 752 NA NA NA
1710108000.0 11606.0 NA 260 483 0 154 NA NA NA NA 357 691 0 226 NA NA NA NA 351 1511 404 306 NA NA NA NA 398 1692 604 408 NA NA NA
1710108000.0 11634.1 NA 276 282 0 NA NA NA NA NA 368 424 0 NA NA NA NA NA 396 686 442 NA NA NA NA NA 320 858 569 NA NA NA NA
1710108000.0 11634.24 NA 207 449 0 148 NA NA NA NA 289 665 0 216 NA NA NA NA 234 1514 404 292 NA NA NA NA 368 2266 681 414 NA NA NA
1710108000.0 11634.601 NA 271 100 510 0 NA NA NA NA 367 161 713 0 NA NA NA NA 419 134 1928 463 NA NA NA NA 366 206 2200 570 NA NA NA
1710108000.0 11634.7 NA 275 508 0 NA NA NA NA NA 363 723 0 NA NA NA NA NA 425 1923 461 NA NA NA NA NA 301 2049 566 NA NA NA NA
1710108000.0 11634.914 148 262 461 0 160 NA NA NA 225 337 730 0 233 NA NA NA 1887 416 1796 450 339 NA NA NA 943 556 1998 614 546 NA NA NA
1710108000.0 11640.0 NA 261 474 0 155 NA NA NA NA 357 703 0 226 NA NA NA NA 361 1568 422 325 NA NA NA NA 367 2212 559 674 NA NA NA
1710108000.0 11646.0 NA 253 454 0 158 NA NA NA NA 360 706 0 230 NA NA NA NA 397 1665 442 303 NA NA NA NA 502 1936 687 430 NA NA NA
1710108000.0 11650.0 NA 266 500 0 180 NA NA NA NA 354 698 0 270 NA NA NA NA 380 1683 450 308 NA NA NA NA 309 2359 623 378 NA NA NA
1710108000.0 11650.914 146 260 450 0 180 NA NA NA 221 340 695 0 274 NA NA NA 1351 413 1696 454 349 NA NA NA 1271 816 2003 586 547 NA NA NA
1710108000.0 11723.17 NA 278 519 0 NA NA NA NA NA 376 727 0 NA NA NA NA NA 431 2124 462 NA NA NA NA NA 445 2066 639 NA NA NA NA
1710108000.0 11834.24 NA 216 460 0 NA NA NA NA NA 299 674 0 NA NA NA NA NA 240 1503 410 NA NA NA NA NA 343 2016 537 NA NA NA NA
1710108000.0 11846.0 NA 609 943 0 NA NA NA NA NA 828 1316 0 NA NA NA NA NA 3072 4814 465 NA NA NA NA NA 1479 3294 600 NA NA NA NA
1710108000.0 11846.19 NA 584 886 0 NA NA NA NA NA 827 1246 0 NA NA NA NA NA 2987 5275 473 NA NA NA NA NA 1436 3161 597 NA NA NA NA
1710108000.0 119.0 165 179 357 NA NA NA NA NA 281 256 499 NA NA NA NA NA 1156 318 1388 NA NA NA NA NA 1065 691 1576 NA NA NA NA NA
1710108000.0 120.0 135 179 344 NA NA NA NA NA 230 253 485 NA NA NA NA NA 515 285 1322 NA NA NA NA NA 563 303 1567 NA NA NA NA NA
1710108000.0 12034.0 NA 225 497 0 NA NA NA NA NA 372 737 0 NA NA NA NA NA 404 1763 450 NA NA NA NA NA 471 2274 590 NA NA NA NA
1710108000.0 122.0 126 0 0 NA NA NA NA NA 206 0 0 NA NA NA NA NA 540 131 1222 NA NA NA NA NA 599 225 1645 NA NA NA NA NA
1710108000.0 123.1 381 NA NA NA NA NA NA NA 531 NA NA NA NA NA NA NA 862 NA NA NA NA NA NA NA 1137 NA NA NA NA NA NA NA
1710108000.0 123.2 370 NA NA NA NA NA NA NA 550 NA NA NA NA NA NA NA 963 NA NA NA NA NA NA NA 1161 NA NA NA NA NA NA NA
1710108000.0 123.3 320 NA NA NA NA NA NA NA 445 NA NA NA NA NA NA NA 717 NA NA NA NA NA NA NA 952 NA NA NA NA NA NA NA
1710108000.0 124.1 353 NA NA NA NA NA NA NA 515 NA NA NA NA NA NA NA 769 NA NA NA NA NA NA NA 1147 NA NA NA NA NA NA NA
1710108000.0 124.2 360 NA NA NA NA NA NA NA 537 NA NA NA NA NA NA NA 816 NA NA NA NA NA NA NA 1105 NA NA NA NA NA NA NA
1710108000.0 124.4 348 NA NA NA NA NA NA NA 502 NA NA NA NA NA NA NA 755 NA NA NA NA NA NA NA 1080 NA NA NA NA NA NA NA
1710108000.0 124.5 384 NA NA NA NA NA NA NA 500 NA NA NA NA NA NA NA 757 NA NA NA NA NA NA NA 1165 NA NA NA NA NA NA NA
1710108000.0 124.6 318 NA NA NA NA NA NA NA 424 NA NA NA NA NA NA NA 730 NA NA NA NA NA NA NA 1104 NA NA NA NA NA NA NA
1710108000.0 125.0 170 183 358 NA NA NA NA NA 295 260 494 NA NA NA NA NA 1501 314 1416 NA NA NA NA NA 927 351 1902 NA NA NA NA NA
1710108000.0 126.0 134 178 350 NA NA NA NA NA 220 253 493 NA NA NA NA NA 870 289 1356 NA NA NA NA NA 703 326 1582 NA NA NA NA NA
1710108000.0 12634.0 NA 621 1003 0 NA NA NA NA NA 920 1329 0 NA NA NA NA NA 5105 5549 491 NA NA NA NA NA 2134 3164 624 NA NA NA NA
1710108000.0 127.0 97 179 345 NA NA NA NA NA 211 247 491 NA NA NA NA NA 690 303 1358 NA NA NA NA NA 643 645 2034 NA NA NA NA NA
1710108000.0 128.0 129 180 345 NA NA NA NA NA 208 255 484 NA NA NA NA NA 516 298 1337 NA NA NA NA NA 805 545 1898 NA NA NA NA NA
1710108000.0 12834.412 NA 436 159 0 NA NA NA NA NA 595 250 0 NA NA NA NA NA 1216 506 171 NA NA NA NA NA 960 943 234 NA NA NA NA
1710108000.0 12834.7 NA 458 628 0 NA NA NA NA NA 596 846 0 NA NA NA NA NA 1173 2710 590 NA NA NA NA NA 1036 2820 659 NA NA NA NA
1710108000.0 12861.0 NA 430 584 0 162 NA NA NA NA 565 786 0 236 NA NA NA NA 987 2166 508 335 NA NA NA NA 942 2556 671 364 NA NA NA
1710108000.0 129.0 128 178 345 NA NA NA NA NA 209 255 491 NA NA NA NA NA 509 289 1353 NA NA NA NA NA 699 359 1752 NA NA NA NA NA
1710108000.0 130.0 134 179 347 NA NA NA NA NA 223 251 496 NA NA NA NA NA 541 299 1342 NA NA NA NA NA 760 731 1688 NA NA NA NA NA
1710108000.0 1301.0 160 210 263 NA NA NA NA NA 250 298 436 NA NA NA NA NA 1172 321 912 NA NA NA NA NA 812 552 1062 NA NA NA NA NA
1710108000.0 1306.0 NA 220 393 0 NA NA NA NA NA 321 539 0 NA NA NA NA NA 331 1347 329 NA NA NA NA NA 1176 1704 473 NA NA NA NA
1710108000.0 1307.0 NA 216 251 102 0 NA NA NA NA 303 379 165 0 NA NA NA NA 291 547 168 194 NA NA NA NA 268 1064 227 239 NA NA NA
1710108000.0 1308.0 NA 211 248 101 0 NA NA NA NA 296 375 167 0 NA NA NA NA 284 451 171 203 NA NA NA NA 288 826 263 265 NA NA NA
1710108000.0 1309.0 NA 233 412 0 NA NA NA NA NA 324 563 0 NA NA NA NA NA 345 1505 356 NA NA NA NA NA 525 1831 514 NA NA NA NA
1710108000.0 131.0 133 179 348 NA NA NA NA NA 212 252 512 NA NA NA NA NA 772 294 1368 NA NA NA NA NA 862 437 1682 NA NA NA NA NA
1710108000.0 1310.0 NA 233 408 0 NA NA NA NA NA 318 554 0 NA NA NA NA NA 341 1481 353 NA NA NA NA NA 402 1849 502 NA NA NA NA
1710108000.0 1311.0 NA 228 421 0 129 NA NA NA NA 311 577 0 193 NA NA NA NA 348 1159 395 275 NA NA NA NA 569 1450 790 431 NA NA NA
1710108000.0 1312.0 NA 232 408 0 NA NA NA NA NA 319 556 0 NA NA NA NA NA 351 1532 368 NA NA NA NA NA 730 1967 463 NA NA NA NA
1710108000.0 1314.0 NA 233 396 0 NA NA NA NA NA 326 548 0 NA NA NA NA NA 345 1527 346 NA NA NA NA NA 621 1719 394 NA NA NA NA
1710108000.0 1315.0 NA 225 390 0 NA NA NA NA NA 313 528 0 NA NA NA NA NA 326 1344 324 NA NA NA NA NA 1054 1646 507 NA NA NA NA
1710108000.0 1316.0 NA 224 397 0 NA NA NA NA NA 308 556 0 NA NA NA NA NA 316 1392 324 NA NA NA NA NA 429 1960 456 NA NA NA NA
1710108000.0 1318.0 NA 224 393 0 165 NA NA NA NA 312 552 0 246 NA NA NA NA 342 1434 325 428 NA NA NA NA 529 1925 390 934 NA NA NA
1710108000.0 1319.0 NA 224 395 0 NA NA NA NA NA 309 564 0 NA NA NA NA NA 316 1366 306 NA NA NA NA NA 525 1885 351 NA NA NA NA
1710108000.0 1320.0 NA 226 395 0 167 NA NA NA NA 314 561 0 252 NA NA NA NA 338 1476 349 412 NA NA NA NA 449 2104 550 692 NA NA NA
1710108000.0 1321.0 NA 226 352 0 168 NA NA NA NA 318 566 0 252 NA NA NA NA 337 1443 356 408 NA NA NA NA 455 1926 605 499 NA NA NA
1710108000.0 1322.0 NA 226 400 0 168 NA NA NA NA 308 536 0 255 NA NA NA NA 354 1489 343 414 NA NA NA NA 523 1873 574 542 NA NA NA
1710108000.0 1323.0 NA 216 391 0 NA NA NA NA NA 311 525 0 NA NA NA NA NA 324 1351 316 NA NA NA NA NA 573 1844 411 NA NA NA NA
1710108000.0 1324.0 NA 233 411 0 NA NA NA NA NA 324 560 0 NA NA NA NA NA 347 1526 363 NA NA NA NA NA 462 2083 500 NA NA NA NA
1710108000.0 1325.0 NA 235 413 0 134 171 NA NA NA 318 565 0 192 251 NA NA NA 362 1636 387 309 440 NA NA NA 374 1956 644 797 652 NA NA
1710108000.0 1325.1 NA 235 238 0 NA NA NA NA NA 322 383 0 NA NA NA NA NA 335 617 318 NA NA NA NA NA 376 1360 372 NA NA NA NA
1710108000.0 1325.2 NA 236 408 0 NA NA NA NA NA 324 565 0 NA NA NA NA NA 360 1607 378 NA NA NA NA NA 362 1999 736 NA NA NA NA
1710108000.0 1325.3 NA 219 231 0 NA NA NA NA NA 327 377 0 NA NA NA NA NA 360 586 312 NA NA NA NA NA 650 766 388 NA NA NA NA
1710108000.0 1325.4 NA 234 411 0 NA NA NA NA NA 316 569 0 NA NA NA NA NA 373 1632 386 NA NA NA NA NA 555 2392 710 NA NA NA NA
1710108000.0 1325.5 NA 247 0 NA NA NA NA NA NA 339 0 NA NA NA NA NA NA 1418 163 NA NA NA NA NA NA 1130 233 NA NA NA NA NA
1710108000.0 1325.51 NA 232 0 NA NA NA NA NA NA 323 0 NA NA NA NA NA NA 1407 161 NA NA NA NA NA NA 1396 220 NA NA NA NA NA
1710108000.0 1325.516 NA 247 0 NA NA NA NA NA NA 346 0 NA NA NA NA NA NA 1541 161 NA NA NA NA NA NA 1314 225 NA NA NA NA NA
1710108000.0 1325.5161 NA 251 0 NA NA NA NA NA NA 341 0 NA NA NA NA NA NA 1532 162 NA NA NA NA NA NA 1186 246 NA NA NA NA NA
1710108000.0 1325.517 NA 237 0 NA NA NA NA NA NA 334 0 NA NA NA NA NA NA 1531 165 NA NA NA NA NA NA 1186 240 NA NA NA NA NA
1710108000.0 1325.518 NA 267 0 NA NA NA NA NA NA 374 0 NA NA NA NA NA NA 1858 152 NA NA NA NA NA NA 1355 202 NA NA NA NA NA
1710108000.0 1325.9 NA 259 414 0 133 NA NA NA NA 346 584 0 198 NA NA NA NA 401 1535 367 281 NA NA NA NA 450 1783 632 449 NA NA NA
1710108000.0 1325.91 NA 259 411 0 134 NA NA NA NA 351 576 0 198 NA NA NA NA 396 1529 359 291 NA NA NA NA 367 1778 464 600 NA NA NA
1710108000.0 1326.0 NA 230 404 0 NA NA NA NA NA 323 560 0 NA NA NA NA NA 356 1479 368 NA NA NA NA NA 524 1833 604 NA NA NA NA
1710108000.0 1327.0 NA 229 398 0 NA NA NA NA NA 317 543 0 NA NA NA NA NA 328 1420 351 NA NA NA NA NA 488 1896 468 NA NA NA NA
1710108000.0 1328.0 NA 231 412 0 NA NA NA NA NA 317 550 0 NA NA NA NA NA 360 1498 362 NA NA NA NA NA 569 2185 495 NA NA NA NA
1710108000.0 1329.0 NA 229 406 0 169 NA NA NA NA 322 559 0 255 NA NA NA NA 349 1513 365 437 NA NA NA NA 480 1974 559 829 NA NA NA
1710108000.0 1330.0 NA 234 440 0 168 NA NA NA NA 325 596 0 255 NA NA NA NA 347 1498 366 404 NA NA NA NA 411 2187 557 572 NA NA NA
1710108000.0 1331.0 NA 229 403 0 169 NA NA NA NA 315 565 0 252 NA NA NA NA 333 1455 347 410 NA NA NA NA 576 2311 468 507 NA NA NA
1710108000.0 1332.0 NA 207 407 0 NA NA NA NA NA 321 573 0 NA NA NA NA NA 355 1453 333 NA NA NA NA NA 833 1759 366 NA NA NA NA
1710108000.0 1333.0 NA 227 392 0 NA NA NA NA NA 310 579 0 NA NA NA NA NA 334 1397 350 NA NA NA NA NA 574 1652 680 NA NA NA NA
