Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709935200.0 1.0 246 332 452 NA NA NA NA NA NA 2097390 2097350 2097450 NA NA NA NA NA NA 2609 909 1773 NA NA NA NA NA NA 1660 1869 1767 NA NA NA NA NA NA
1709935200.0 10.0 NA 370 636 0 NA NA NA NA NA NA 2097390 2097550 0 NA NA NA NA NA NA 5145 9642 937 NA NA NA NA NA NA 1751 4314 1288 NA NA NA NA NA
1709935200.0 1000.0 NA 531 352 0 205 NA NA NA NA NA 2097500 2097400 0 2097330 NA NA NA NA NA 9302 2153 705 430 NA NA NA NA NA 5751 2674 1122 562 NA NA NA NA
1709935200.0 10001.0 NA 470 740 0 259 314 NA NA NA NA 2097410 2097570 0 2097350 2097380 NA NA NA NA 4527 3246 1086 671 913 NA NA NA NA 1839 3073 1159 908 1795 NA NA NA
1709935200.0 10002.0 NA 477 731 0 268 315 NA NA NA NA 2097410 2097580 0 2097350 2097380 NA NA NA NA 4524 3371 1096 668 894 NA NA NA NA 1593 3337 1260 1270 965 NA NA NA
1709935200.0 10003.0 NA 455 740 0 269 305 NA NA NA NA 2097410 2097580 0 2097350 2097380 NA NA NA NA 4699 3409 1129 704 944 NA NA NA NA 1825 3581 1282 1249 1025 NA NA NA
1709935200.0 10004.0 NA 452 738 0 267 314 NA NA NA NA 2097410 2097570 0 2097350 2097380 NA NA NA NA 4510 3193 1103 671 890 NA NA NA NA 1648 3452 1317 1063 951 NA NA NA
1709935200.0 10005.0 NA 487 729 0 257 316 NA NA NA NA 2097410 2097580 0 2097350 2097380 NA NA NA NA 4615 3342 1115 681 931 NA NA NA NA 1598 3258 1226 857 1177 NA NA NA
1709935200.0 10006.0 NA 487 737 0 267 250 NA NA NA NA 2097410 2097570 0 2097350 2097370 NA NA NA NA 4660 3255 1094 702 891 NA NA NA NA 1693 4213 1163 1628 1468 NA NA NA
1709935200.0 10007.0 NA 463 741 0 295 301 NA NA NA NA 2097410 2097570 0 2097400 2097380 NA NA NA NA 4567 3387 1081 667 868 NA NA NA NA 1681 3641 1160 695 973 NA NA NA
1709935200.0 10008.0 NA 467 743 0 311 311 NA NA NA NA 2097410 2097580 0 2097400 2097380 NA NA NA NA 4576 3381 1104 698 881 NA NA NA NA 2035 3234 1369 1293 1282 NA NA NA
1709935200.0 10009.0 NA 472 745 0 317 300 NA NA NA NA 2097410 2097580 0 2097400 2097380 NA NA NA NA 4612 3515 1093 664 896 NA NA NA NA 2723 3252 1170 696 947 NA NA NA
1709935200.0 1001.0 NA 561 344 0 0 0 0 0 0 NA 2097490 2097380 0 0 0 0 0 0 NA 8276 1054 225 109 197 322 457 323 NA 5898 1286 305 196 605 504 795 502
