Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709589600.0 1.0 163 180 292 NA NA NA NA NA NA 278 251 424 NA NA NA NA NA NA 1211 312 871 NA NA NA NA NA NA 1246 533 976 NA NA NA NA NA NA
1709589600.0 10.0 NA 214 373 0 NA NA NA NA NA NA 309 532 0 NA NA NA NA NA NA 1243 2762 382 NA NA NA NA NA NA 553 1914 416 NA NA NA NA NA
1709589600.0 1000.0 NA 376 251 0 116 NA NA NA NA NA 503 326 0 181 NA NA NA NA NA 2135 695 295 245 NA NA NA NA NA 1659 1188 473 324 NA NA NA NA
1709589600.0 10001.0 NA 279 452 0 151 171 NA NA NA NA 404 669 0 222 256 NA NA NA NA 1369 1562 398 356 481 NA NA NA NA 592 2038 453 541 644 NA NA NA
1709589600.0 10002.0 NA 294 467 0 152 171 NA NA NA NA 400 678 0 230 259 NA NA NA NA 1355 1518 408 366 556 NA NA NA NA 594 1681 516 648 801 NA NA NA
1709589600.0 10003.0 NA 301 476 0 157 179 NA NA NA NA 405 667 0 227 263 NA NA NA NA 1353 1537 401 320 489 NA NA NA NA 731 1944 650 522 534 NA NA NA
1709589600.0 10004.0 NA 297 470 0 156 177 NA NA NA NA 383 656 0 220 252 NA NA NA NA 1362 1509 399 322 495 NA NA NA NA 935 2182 694 556 1004 NA NA NA
1709589600.0 10005.0 NA 298 479 0 156 177 NA NA NA NA 392 673 0 227 261 NA NA NA NA 1348 1447 401 320 498 NA NA NA NA 582 1417 587 489 691 NA NA NA
1709589600.0 10006.0 NA 256 471 0 155 172 NA NA NA NA 384 664 0 223 259 NA NA NA NA 1372 1498 400 317 462 NA NA NA NA 1112 2389 606 453 526 NA NA NA
1709589600.0 10007.0 NA 300 478 0 186 175 NA NA NA NA 408 662 0 295 261 NA NA NA NA 1377 1497 405 322 490 NA NA NA NA 967 1908 659 425 776 NA NA NA
