Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709546400.0 1.0 161 175 285 NA NA NA NA NA NA 277 246 410 NA NA NA NA NA NA 1277 303 875 NA NA NA NA NA NA 903 338 1019 NA NA NA NA NA NA
1709546400.0 10.0 NA 215 389 0 NA NA NA NA NA NA 296 542 0 NA NA NA NA NA NA 1226 2621 355 NA NA NA NA NA NA 506 1769 399 NA NA NA NA NA
1709546400.0 1000.0 NA 375 253 0 113 NA NA NA NA NA 524 331 0 174 NA NA NA NA NA 2158 733 285 246 NA NA NA NA NA 1966 1192 346 388 NA NA NA NA
1709546400.0 10001.0 NA 294 472 0 153 175 NA NA NA NA 399 645 0 219 262 NA NA NA NA 1394 1380 357 293 488 NA NA NA NA 594 1377 387 349 587 NA NA NA
1709546400.0 10002.0 NA 295 474 0 154 175 NA NA NA NA 392 666 0 222 259 NA NA NA NA 1410 1413 380 332 479 NA NA NA NA 631 1395 550 802 516 NA NA NA
1709546400.0 10003.0 NA 296 476 0 154 177 NA NA NA NA 381 648 0 216 259 NA NA NA NA 1369 1487 369 304 489 NA NA NA NA 567 1655 422 379 546 NA NA NA
1709546400.0 10004.0 NA 292 463 0 154 174 NA NA NA NA 377 666 0 221 261 NA NA NA NA 1402 1416 363 314 510 NA NA NA NA 630 1526 398 435 915 NA NA NA
1709546400.0 10005.0 NA 295 474 0 154 174 NA NA NA NA 393 669 0 217 255 NA NA NA NA 1369 1407 387 308 492 NA NA NA NA 556 1428 537 485 672 NA NA NA
1709546400.0 10006.0 NA 293 470 0 152 170 NA NA NA NA 388 668 0 215 252 NA NA NA NA 1390 1442 392 322 464 NA NA NA NA 768 1863 602 664 586 NA NA NA
1709546400.0 10007.0 NA 297 475 0 185 174 NA NA NA NA 386 663 0 300 264 NA NA NA NA 1413 1462 386 335 473 NA NA NA NA 610 1524 421 413 785 NA NA NA
1709546400.0 10008.0 NA 297 476 0 184 174 NA NA NA NA 399 663 0 295 262 NA NA NA NA 1397 1481 368 318 502 NA NA NA NA 564 1568 401 440 786 NA NA NA
1709546400.0 10009.0 NA 298 478 0 184 175 NA NA NA NA 391 654 0 297 256 NA NA NA NA 1398 1505 397 323 488 NA NA NA NA 695 1841 803 484 587 NA NA NA
1709546400.0 1001.0 NA 327 191 0 0 0 0 0 0 NA 468 269 0 0 0 0 0 0 NA 1889 397 90 67 93 209 122 209 NA 1616 1090 207 168 182 323 272 412
1709546400.0 1001.2 NA 538 235 0 0 0 0 NA NA NA 761 362 0 0 0 0 NA NA NA 9315 726 99 105 115 128 NA NA NA 3192 544 121 154 140 152 NA NA
1709546400.0 1001.3 NA 518 232 0 NA NA NA NA NA NA 748 356 0 NA NA NA NA NA NA 7271 730 262 NA NA NA NA NA NA 2866 626 556 NA NA NA NA NA
1709546400.0 1001.4 NA 531 182 0 0 0 NA NA NA NA 756 284 0 0 0 NA NA NA NA 7340 336 118 122 115 NA NA NA NA 2768 471 167 231 147 NA NA NA
1709546400.0 1002.0 NA 367 136 NA NA NA NA NA NA NA 506 183 NA NA NA NA NA NA NA 2390 199 NA NA NA NA NA NA NA 2333 198 NA NA NA NA NA NA
1709546400.0 1002.3 NA 509 227 0 NA NA NA NA NA NA 729 345 0 NA NA NA NA NA NA 5648 635 244 NA NA NA NA NA NA 2508 977 360 NA NA NA NA NA
1709546400.0 1002.4 NA 522 0 NA NA NA NA NA NA NA 730 0 NA NA NA NA NA NA NA 8516 377 NA NA NA NA NA NA NA 3491 432 NA NA NA NA NA NA
1709546400.0 10023.0 NA 293 473 0 154 171 NA NA NA NA 388 657 0 217 251 NA NA NA NA 1404 1359 372 304 479 NA NA NA NA 703 1312 410 408 1225 NA NA NA
1709546400.0 10024.0 NA 303 491 0 187 178 NA NA NA NA 400 678 0 296 260 NA NA NA NA 1437 1633 407 334 497 NA NA NA NA 735 1574 474 623 516 NA NA NA
1709546400.0 10024.1 NA 308 305 0 NA NA NA NA NA NA 400 423 0 NA NA NA NA NA NA 1419 664 369 NA NA NA NA NA NA 719 994 427 NA NA NA NA NA
1709546400.0 10024.2 NA 309 483 0 NA NA NA NA NA NA 416 686 0 NA NA NA NA NA NA 1455 1644 388 NA NA NA NA NA NA 644 1510 436 NA NA NA NA NA
1709546400.0 10024.3 NA 308 282 0 NA NA NA NA NA NA 402 395 0 NA NA NA NA NA NA 1408 634 332 NA NA NA NA NA NA 606 798 502 NA NA NA NA NA
1709546400.0 10024.4 NA 271 479 0 NA NA NA NA NA NA 409 647 0 NA NA NA NA NA NA 1434 1593 386 NA NA NA NA NA NA 597 1477 443 NA NA NA NA NA
1709546400.0 10025.0 NA 297 480 0 154 177 NA NA NA NA 390 677 0 219 259 NA NA NA NA 1391 1485 403 331 501 NA NA NA NA 633 1899 626 869 730 NA NA NA
1709546400.0 10026.0 NA 304 489 0 158 179 NA NA NA NA 399 697 0 225 257 NA NA NA NA 1428 1823 415 318 510 NA NA NA NA 668 1667 531 523 603 NA NA NA
1709546400.0 1003.0 NA 390 0 NA NA NA NA NA NA NA 650 0 NA NA NA NA NA NA NA 2367 260 NA NA NA NA NA NA NA 1571 352 NA NA NA NA NA NA
1709546400.0 1004.0 NA 278 155 0 0 0 0 NA NA NA 409 221 0 0 0 0 NA NA NA 761 220 69 97 203 249 NA NA NA 814 384 172 177 249 335 NA NA
1709546400.0 10042.0 NA 299 478 0 188 175 NA NA NA NA 386 668 0 302 261 NA NA NA NA 1408 1556 384 327 491 NA NA NA NA 589 1813 417 451 665 NA NA NA
1709546400.0 1005.0 NA 213 161 0 0 NA NA NA NA NA 384 257 0 0 NA NA NA NA NA 481 216 88 110 NA NA NA NA NA 632 319 140 273 NA NA NA NA
1709546400.0 10059.0 NA 310 484 0 158 174 NA NA NA NA 403 678 0 229 262 NA NA NA NA 1442 2208 412 307 520 NA NA NA NA 1042 2219 498 421 851 NA NA NA
1709546400.0 10071.0 NA 303 478 0 156 177 NA NA NA NA 393 686 0 219 256 NA NA NA NA 1405 1596 396 309 502 NA NA NA NA 558 1486 440 401 544 NA NA NA
1709546400.0 101.0 174 NA NA NA NA NA NA NA NA 302 NA NA NA NA NA NA NA NA 700 NA NA NA NA NA NA NA NA 643 NA NA NA NA NA NA NA NA
1709546400.0 1010.0 NA 86 108 0 NA NA NA NA NA NA 152 170 0 NA NA NA NA NA NA 150 172 161 NA NA NA NA NA NA 443 261 391 NA NA NA NA NA
1709546400.0 102.0 174 NA NA NA NA NA NA NA NA 286 NA NA NA NA NA NA NA NA 661 NA NA NA NA NA NA NA NA 673 NA NA NA NA NA NA NA NA
1709546400.0 1020.0 NA 92 79 0 89 NA NA NA NA NA 166 150 0 164 NA NA NA NA NA 167 124 63 164 NA NA NA NA NA 283 186 144 277 NA NA NA NA
1709546400.0 10224.0 NA 493 728 0 178 NA NA NA NA NA 633 987 0 260 NA NA NA NA NA 2747 3052 443 507 NA NA NA NA NA 1366 2337 736 573 NA NA NA NA
1709546400.0 10224.15 NA 482 731 0 195 NA NA NA NA NA 619 1013 0 288 NA NA NA NA NA 2730 3201 436 610 NA NA NA NA NA 1218 2613 485 707 NA NA NA NA
1709546400.0 10225.0 NA 475 707 0 177 NA NA NA NA NA 618 981 0 261 NA NA NA NA NA 2651 2826 408 499 NA NA NA NA NA 1159 2516 452 535 NA NA NA NA
1709546400.0 103.0 121 0 0 NA NA NA NA NA NA 205 0 0 NA NA NA NA NA NA 520 117 1171 NA NA NA NA NA NA 602 156 1689 NA NA NA NA NA NA
1709546400.0 1030.0 NA 270 101 0 0 NA NA NA NA NA 399 165 0 0 NA NA NA NA NA 4626 161 64 62 NA NA NA NA NA 1898 374 230 110 NA NA NA NA
1709546400.0 1040.0 NA 493 86 0 NA NA NA NA NA NA 717 139 0 NA NA NA NA NA NA 8435 158 121 NA NA NA NA NA NA 3163 284 173 NA NA NA NA NA
1709546400.0 1040.1 NA 128 86 0 NA NA NA NA NA NA 197 139 0 NA NA NA NA NA NA 342 136 106 NA NA NA NA NA NA 535 279 247 NA NA NA NA NA
