Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709848800.0 1.0 117 175 285 NA NA NA NA NA NA 277 590 404 NA NA NA NA NA NA 6974 386 881 NA NA NA NA NA NA 3061 404 899 NA NA NA NA NA NA
1709848800.0 10.0 NA 213 391 0 NA NA NA NA NA NA 647 537 0 NA NA NA NA NA NA 1575 3195 356 NA NA NA NA NA NA 616 1793 409 NA NA NA NA NA
1709848800.0 1000.0 NA 370 250 0 114 NA NA NA NA NA 532 332 0 175 NA NA NA NA NA 2656 694 271 224 NA NA NA NA NA 3129 1262 352 249 NA NA NA NA
1709848800.0 10001.0 NA 289 467 0 153 173 NA NA NA NA 568 679 0 217 253 NA NA NA NA 1526 1575 373 301 469 NA NA NA NA 650 1663 471 348 742 NA NA NA
1709848800.0 10002.0 NA 296 406 0 95 174 NA NA NA NA 647 653 0 224 264 NA NA NA NA 1514 1566 393 324 474 NA NA NA NA 579 2556 861 931 560 NA NA NA
1709848800.0 10003.0 NA 294 474 0 153 174 NA NA NA NA 751 653 0 225 254 NA NA NA NA 1512 1524 389 308 497 NA NA NA NA 604 1433 603 396 754 NA NA NA
1709848800.0 10004.0 NA 294 468 0 153 173 NA NA NA NA 650 674 0 220 250 NA NA NA NA 1541 1494 384 307 465 NA NA NA NA 685 1834 596 426 540 NA NA NA
1709848800.0 10005.0 NA 296 473 0 152 171 NA NA NA NA 731 671 0 215 258 NA NA NA NA 1521 1452 372 312 483 NA NA NA NA 695 1411 435 678 661 NA NA NA
1709848800.0 10006.0 NA 294 469 0 152 168 NA NA NA NA 733 640 0 215 254 NA NA NA NA 1523 1398 368 302 449 NA NA NA NA 633 1292 396 342 511 NA NA NA
1709848800.0 10007.0 NA 296 455 0 180 171 NA NA NA NA 701 671 0 298 252 NA NA NA NA 1541 1516 393 337 471 NA NA NA NA 699 1699 611 998 702 NA NA NA
