Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709503200.0 1.0 159 176 284 NA NA NA NA NA NA 277 247 390 NA NA NA NA NA NA 1294 306 904 NA NA NA NA NA NA 1178 362 1205 NA NA NA NA NA NA
1709503200.0 10.0 NA 214 389 0 NA NA NA NA NA NA 300 540 0 NA NA NA NA NA NA 1240 2662 365 NA NA NA NA NA NA 503 1775 436 NA NA NA NA NA
1709503200.0 1000.0 NA 367 255 0 113 NA NA NA NA NA 518 330 0 172 NA NA NA NA NA 2376 786 317 276 NA NA NA NA NA 1931 1011 454 424 NA NA NA NA
1709503200.0 10001.0 NA 293 468 0 152 174 NA NA NA NA 396 678 0 223 254 NA NA NA NA 1521 1506 433 346 556 NA NA NA NA 616 1534 699 499 768 NA NA NA
1709503200.0 10002.0 NA 294 469 0 151 172 NA NA NA NA 389 635 0 212 255 NA NA NA NA 1570 1601 432 346 560 NA NA NA NA 608 1817 600 458 756 NA NA NA
1709503200.0 10003.0 NA 295 475 0 152 174 NA NA NA NA 401 654 0 219 254 NA NA NA NA 1615 1644 415 358 550 NA NA NA NA 838 2155 498 653 714 NA NA NA
1709503200.0 10004.0 NA 295 424 0 152 171 NA NA NA NA 397 646 0 222 256 NA NA NA NA 1532 1479 425 351 560 NA NA NA NA 616 1487 579 506 841 NA NA NA
1709503200.0 10005.0 NA 295 467 0 152 171 NA NA NA NA 388 673 0 217 254 NA NA NA NA 1584 1578 419 358 546 NA NA NA NA 633 1856 516 629 666 NA NA NA
1709503200.0 10006.0 NA 295 465 0 151 168 NA NA NA NA 385 664 0 212 249 NA NA NA NA 1543 1487 440 362 517 NA NA NA NA 625 1541 797 645 671 NA NA NA
1709503200.0 10007.0 NA 295 471 0 183 170 NA NA NA NA 390 647 0 296 253 NA NA NA NA 1607 1586 435 364 534 NA NA NA NA 707 1710 639 582 681 NA NA NA
1709503200.0 10008.0 NA 296 472 0 181 172 NA NA NA NA 390 662 0 292 256 NA NA NA NA 1618 1660 422 369 537 NA NA NA NA 839 2220 527 694 684 NA NA NA
1709503200.0 10009.0 NA 297 474 0 182 174 NA NA NA NA 386 644 0 302 259 NA NA NA NA 1630 1685 425 366 541 NA NA NA NA 769 2452 561 667 722 NA NA NA
1709503200.0 1001.0 NA 325 188 0 0 0 0 0 0 NA 452 265 0 0 0 0 0 0 NA 1899 388 88 71 91 206 119 210 NA 1547 805 364 227 194 280 172 291
1709503200.0 1001.2 NA 540 233 0 0 0 0 NA NA NA 776 354 0 0 0 0 NA NA NA 9242 732 104 114 122 131 NA NA NA 3752 806 199 224 195 163 NA NA
1709503200.0 1001.3 NA 524 232 0 NA NA NA NA NA NA 737 351 0 NA NA NA NA NA NA 8001 767 243 NA NA NA NA NA NA 3177 609 301 NA NA NA NA NA
1709503200.0 1001.4 NA 528 181 0 0 0 NA NA NA NA 731 288 0 0 0 NA NA NA NA 7297 338 130 116 118 NA NA NA NA 2963 453 254 144 151 NA NA NA
1709503200.0 1002.0 NA 365 139 NA NA NA NA NA NA NA 514 176 NA NA NA NA NA NA NA 2362 196 NA NA NA NA NA NA NA 2116 236 NA NA NA NA NA NA
1709503200.0 1002.3 NA 510 227 0 NA NA NA NA NA NA 732 347 0 NA NA NA NA NA NA 5470 608 230 NA NA NA NA NA NA 2230 697 301 NA NA NA NA NA
1709503200.0 1002.4 NA 520 0 NA NA NA NA NA NA NA 735 0 NA NA NA NA NA NA NA 8708 394 NA NA NA NA NA NA NA 3311 496 NA NA NA NA NA NA
1709503200.0 10023.0 NA 295 468 0 152 169 NA NA NA NA 390 653 0 223 246 NA NA NA NA 1603 1613 424 361 522 NA NA NA NA 834 2042 530 748 745 NA NA NA
1709503200.0 10024.0 NA 307 447 0 183 177 NA NA NA NA 394 656 0 294 256 NA NA NA NA 1479 1688 400 339 517 NA NA NA NA 642 2151 434 542 722 NA NA NA
1709503200.0 10024.1 NA 306 302 0 NA NA NA NA NA NA 389 412 0 NA NA NA NA NA NA 1476 655 376 NA NA NA NA NA NA 640 774 465 NA NA NA NA NA
1709503200.0 10024.2 NA 307 479 0 NA NA NA NA NA NA 392 665 0 NA NA NA NA NA NA 1466 1581 398 NA NA NA NA NA NA 615 1417 655 NA NA NA NA NA
