Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709762400.0 1.0 157 177 287 NA NA NA NA NA NA 273 256 424 NA NA NA NA NA NA 1731 499 1354 NA NA NA NA NA NA 1067 492 1382 NA NA NA NA NA NA
1709762400.0 10.0 NA 216 373 0 NA NA NA NA NA NA 309 546 0 NA NA NA NA NA NA 1237 2653 363 NA NA NA NA NA NA 553 1990 458 NA NA NA NA NA
1709762400.0 1000.0 NA 337 252 0 117 NA NA NA NA NA 544 341 0 180 NA NA NA NA NA 2257 736 280 227 NA NA NA NA NA 2326 1216 348 239 NA NA NA NA
1709762400.0 10001.0 NA 298 475 0 155 174 NA NA NA NA 385 656 0 224 256 NA NA NA NA 1438 1385 355 315 484 NA NA NA NA 749 1341 383 502 624 NA NA NA
1709762400.0 10002.0 NA 297 475 0 155 177 NA NA NA NA 388 661 0 220 258 NA NA NA NA 1427 1446 379 288 457 NA NA NA NA 575 1633 748 336 472 NA NA NA
1709762400.0 10003.0 NA 299 478 0 155 179 NA NA NA NA 404 669 0 224 263 NA NA NA NA 1454 1402 368 312 482 NA NA NA NA 893 1312 410 619 551 NA NA NA
1709762400.0 10004.0 NA 297 472 0 154 176 NA NA NA NA 391 671 0 221 257 NA NA NA NA 1430 1429 370 309 478 NA NA NA NA 573 1997 477 486 689 NA NA NA
1709762400.0 10005.0 NA 296 464 0 155 173 NA NA NA NA 385 644 0 221 253 NA NA NA NA 1434 1391 377 292 488 NA NA NA NA 624 1344 580 346 833 NA NA NA
1709762400.0 10006.0 NA 292 471 0 155 171 NA NA NA NA 389 644 0 223 259 NA NA NA NA 1434 1373 366 296 465 NA NA NA NA 621 1372 456 334 672 NA NA NA
1709762400.0 10007.0 NA 297 476 0 186 175 NA NA NA NA 400 638 0 295 255 NA NA NA NA 1446 1421 383 312 475 NA NA NA NA 633 1379 542 375 672 NA NA NA
1709762400.0 10008.0 NA 298 475 0 185 174 NA NA NA NA 390 643 0 294 264 NA NA NA NA 1436 1413 375 325 472 NA NA NA NA 613 1359 418 643 544 NA NA NA
1709762400.0 10009.0 NA 300 467 0 188 176 NA NA NA NA 403 641 0 303 258 NA NA NA NA 1449 1520 386 318 470 NA NA NA NA 596 1837 755 534 499 NA NA NA
1709762400.0 1001.0 NA 330 192 0 0 0 0 0 0 NA 466 279 0 0 0 0 0 0 NA 1899 375 80 61 93 208 113 204 NA 1815 612 175 131 332 367 169 306
1709762400.0 1001.2 NA 535 235 0 0 0 0 NA NA NA 763 356 0 0 0 0 NA NA NA 9493 756 105 118 116 131 NA NA NA 4154 975 284 537 156 183 NA NA
1709762400.0 1001.3 NA 514 236 0 NA NA NA NA NA NA 741 355 0 NA NA NA NA NA NA 7261 744 238 NA NA NA NA NA NA 2750 797 383 NA NA NA NA NA
1709762400.0 1001.4 NA 520 183 0 0 0 NA NA NA NA 743 286 0 0 0 NA NA NA NA 7794 324 114 113 120 NA NA NA NA 2931 401 138 136 246 NA NA NA
1709762400.0 1002.0 NA 369 142 NA NA NA NA NA NA NA 519 177 NA NA NA NA NA NA NA 2326 200 NA NA NA NA NA NA NA 2125 212 NA NA NA NA NA NA
1709762400.0 1002.3 NA 506 229 0 NA NA NA NA NA NA 708 343 0 NA NA NA NA NA NA 5498 613 249 NA NA NA NA NA NA 2305 624 712 NA NA NA NA NA
1709762400.0 1002.4 NA 518 0 NA NA NA NA NA NA NA 744 0 NA NA NA NA NA NA NA 8974 359 NA NA NA NA NA NA NA 3123 387 NA NA NA NA NA NA
1709762400.0 10023.0 NA 298 470 0 155 172 NA NA NA NA 391 637 0 220 252 NA NA NA NA 1439 1395 373 313 445 NA NA NA NA 618 1391 444 498 537 NA NA NA
1709762400.0 10024.0 NA 308 492 0 188 180 NA NA NA NA 407 678 0 303 260 NA NA NA NA 1459 1584 407 321 484 NA NA NA NA 568 1459 501 495 516 NA NA NA
1709762400.0 10024.1 NA 309 306 0 NA NA NA NA NA NA 398 447 0 NA NA NA NA NA NA 1960 925 521 NA NA NA NA NA NA 808 854 557 NA NA NA NA NA
1709762400.0 10024.2 NA 310 484 0 NA NA NA NA NA NA 392 649 0 NA NA NA NA NA NA 1480 1590 385 NA NA NA NA NA NA 641 1568 487 NA NA NA NA NA
1709762400.0 10024.3 NA 309 283 0 NA NA NA NA NA NA 402 408 0 NA NA NA NA NA NA 1861 922 480 NA NA NA NA NA NA 782 858 511 NA NA NA NA NA
