Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709762400.0 1.0 163 178 288 NA NA NA NA NA NA 272 251 400 NA NA NA NA NA NA 1219 304 863 NA NA NA NA NA NA 1005 485 1165 NA NA NA NA NA NA
1709762400.0 10.0 NA 216 373 0 NA NA NA NA NA NA 304 549 0 NA NA NA NA NA NA 1235 2766 373 NA NA NA NA NA NA 510 2038 418 NA NA NA NA NA
1709762400.0 1000.0 NA 373 254 0 116 NA NA NA NA NA 531 334 0 175 NA NA NA NA NA 2178 714 273 237 NA NA NA NA NA 1853 979 329 329 NA NA NA NA
1709762400.0 10001.0 NA 298 452 0 155 175 NA NA NA NA 390 661 0 219 260 NA NA NA NA 1431 1440 374 304 481 NA NA NA NA 572 1434 431 418 549 NA NA NA
1709762400.0 10002.0 NA 298 459 0 156 177 NA NA NA NA 405 644 0 224 264 NA NA NA NA 1440 1452 362 317 470 NA NA NA NA 589 1488 394 754 485 NA NA NA
1709762400.0 10003.0 NA 296 426 0 156 178 NA NA NA NA 412 664 0 224 266 NA NA NA NA 1462 1465 385 314 492 NA NA NA NA 1203 1754 567 717 637 NA NA NA
1709762400.0 10004.0 NA 297 473 0 156 176 NA NA NA NA 389 665 0 222 260 NA NA NA NA 1434 1409 367 302 462 NA NA NA NA 594 1471 616 410 503 NA NA NA
1709762400.0 10005.0 NA 296 475 0 153 176 NA NA NA NA 403 658 0 225 258 NA NA NA NA 1438 1387 368 336 488 NA NA NA NA 761 1353 404 1364 655 NA NA NA
1709762400.0 10006.0 NA 295 431 0 154 171 NA NA NA NA 399 656 0 221 256 NA NA NA NA 1439 1425 372 298 440 NA NA NA NA 629 1421 443 406 485 NA NA NA
1709762400.0 10007.0 NA 295 473 0 186 175 NA NA NA NA 390 662 0 298 259 NA NA NA NA 1464 1479 383 320 478 NA NA NA NA 772 2296 613 667 688 NA NA NA
1709762400.0 10008.0 NA 289 462 0 185 176 NA NA NA NA 403 643 0 296 263 NA NA NA NA 1521 1552 412 345 502 NA NA NA NA 1153 1872 676 828 660 NA NA NA
1709762400.0 10009.0 NA 299 479 0 186 176 NA NA NA NA 405 673 0 298 262 NA NA NA NA 1450 1436 375 322 464 NA NA NA NA 830 1419 465 472 473 NA NA NA
1709762400.0 1001.0 NA 330 192 0 0 0 0 0 0 NA 474 271 0 0 0 0 0 0 NA 2071 396 87 64 92 219 122 214 NA 2045 717 403 122 255 383 348 401
1709762400.0 1001.2 NA 534 233 0 0 0 0 NA NA NA 795 351 0 0 0 0 NA NA NA 9885 808 105 119 118 129 NA NA NA 4184 1021 173 328 171 161 NA NA
1709762400.0 1001.3 NA 520 233 0 NA NA NA NA NA NA 724 354 0 NA NA NA NA NA NA 7172 736 223 NA NA NA NA NA NA 2687 786 273 NA NA NA NA NA
1709762400.0 1001.4 NA 534 183 0 0 0 NA NA NA NA 737 288 0 0 0 NA NA NA NA 7627 350 121 121 123 NA NA NA NA 2768 807 150 166 168 NA NA NA
1709762400.0 1002.0 NA 376 139 NA NA NA NA NA NA NA 560 180 NA NA NA NA NA NA NA 2527 191 NA NA NA NA NA NA NA 1655 170 NA NA NA NA NA NA
1709762400.0 1002.3 NA 510 229 0 NA NA NA NA NA NA 743 350 0 NA NA NA NA NA NA 5848 645 238 NA NA NA NA NA NA 2413 640 312 NA NA NA NA NA
1709762400.0 1002.4 NA 503 0 NA NA NA NA NA NA NA 735 0 NA NA NA NA NA NA NA 9163 365 NA NA NA NA NA NA NA 3276 397 NA NA NA NA NA NA
1709762400.0 10023.0 NA 298 467 0 154 173 NA NA NA NA 391 656 0 220 251 NA NA NA NA 1438 1448 381 298 436 NA NA NA NA 596 2401 491 360 457 NA NA NA
1709762400.0 10024.0 NA 309 474 0 188 179 NA NA NA NA 407 687 0 298 267 NA NA NA NA 1491 1754 421 318 523 NA NA NA NA 603 1956 595 377 597 NA NA NA
1709762400.0 10024.1 NA 310 307 0 NA NA NA NA NA NA 408 423 0 NA NA NA NA NA NA 1757 741 380 NA NA NA NA NA NA 702 678 409 NA NA NA NA NA
1709762400.0 10024.2 NA 306 486 0 NA NA NA NA NA NA 402 665 0 NA NA NA NA NA NA 1493 1621 376 NA NA NA NA NA NA 698 1724 416 NA NA NA NA NA
1709762400.0 10024.3 NA 309 284 0 NA NA NA NA NA NA 398 405 0 NA NA NA NA NA NA 1656 742 327 NA NA NA NA NA NA 628 665 356 NA NA NA NA NA
1709762400.0 10024.4 NA 308 479 0 NA NA NA NA NA NA 399 651 0 NA NA NA NA NA NA 1473 1572 377 NA NA NA NA NA NA 590 1384 440 NA NA NA NA NA
1709762400.0 10025.0 NA 299 475 0 156 176 NA NA NA NA 410 677 0 227 254 NA NA NA NA 1435 1504 380 305 461 NA NA NA NA 579 1819 453 394 459 NA NA NA
1709762400.0 10026.0 NA 311 475 0 155 178 NA NA NA NA 415 674 0 223 262 NA NA NA NA 1524 1935 393 355 505 NA NA NA NA 614 1916 421 929 519 NA NA NA
1709762400.0 1003.0 NA 395 0 NA NA NA NA NA NA NA 643 0 NA NA NA NA NA NA NA 2381 274 NA NA NA NA NA NA NA 1315 303 NA NA NA NA NA NA
1709762400.0 10042.0 NA 297 475 0 189 177 NA NA NA NA 389 639 0 295 258 NA NA NA NA 1474 1537 403 327 494 NA NA NA NA 807 2161 600 598 714 NA NA NA
1709762400.0 1005.0 NA 215 165 0 0 NA NA NA NA NA 360 256 0 0 NA NA NA NA NA 454 228 92 127 NA NA NA NA NA 444 246 113 199 NA NA NA NA
1709762400.0 10059.0 NA 309 482 0 159 179 NA NA NA NA 404 672 0 227 256 NA NA NA NA 1481 2177 399 305 519 NA NA NA NA 591 1577 431 356 602 NA NA NA
1709762400.0 10071.0 NA 306 457 0 159 179 NA NA NA NA 403 659 0 225 259 NA NA NA NA 1473 1615 412 317 507 NA NA NA NA 679 2025 602 605 742 NA NA NA
1709762400.0 101.0 181 NA NA NA NA NA NA NA NA 307 NA NA NA NA NA NA NA NA 665 NA NA NA NA NA NA NA NA 515 NA NA NA NA NA NA NA NA
