Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709676000.0 1.0 160 181 291 NA NA NA NA NA NA 281 249 417 NA NA NA NA NA NA 1354 308 875 NA NA NA NA NA NA 1612 377 981 NA NA NA NA NA NA
1709676000.0 10.0 NA 210 388 0 NA NA NA NA NA NA 310 547 0 NA NA NA NA NA NA 1337 2736 371 NA NA NA NA NA NA 797 1792 399 NA NA NA NA NA
1709676000.0 1000.0 NA 380 254 0 119 NA NA NA NA NA 526 342 0 183 NA NA NA NA NA 2162 748 292 237 NA NA NA NA NA 1754 1284 483 255 NA NA NA NA
1709676000.0 10001.0 NA 300 467 0 158 179 NA NA NA NA 397 686 0 222 263 NA NA NA NA 1443 1432 396 323 494 NA NA NA NA 606 1474 623 644 711 NA NA NA
1709676000.0 10002.0 NA 300 483 0 159 180 NA NA NA NA 397 675 0 225 269 NA NA NA NA 1441 1468 386 312 505 NA NA NA NA 718 1723 629 408 730 NA NA NA
1709676000.0 10003.0 NA 301 474 0 160 181 NA NA NA NA 412 683 0 226 266 NA NA NA NA 1440 1495 381 317 507 NA NA NA NA 588 1485 432 417 726 NA NA NA
1709676000.0 10004.0 NA 300 480 0 158 178 NA NA NA NA 412 655 0 227 256 NA NA NA NA 1453 1431 381 319 494 NA NA NA NA 773 1743 562 491 726 NA NA NA
1709676000.0 10005.0 NA 299 480 0 158 179 NA NA NA NA 395 679 0 224 261 NA NA NA NA 1441 1460 383 322 495 NA NA NA NA 676 1833 598 457 644 NA NA NA
1709676000.0 10006.0 NA 299 463 0 157 175 NA NA NA NA 410 648 0 222 260 NA NA NA NA 1439 1447 381 317 482 NA NA NA NA 576 1724 527 413 785 NA NA NA
1709676000.0 10007.0 NA 304 481 0 188 177 NA NA NA NA 401 677 0 306 261 NA NA NA NA 1487 1547 377 357 483 NA NA NA NA 613 1668 407 855 545 NA NA NA
1709676000.0 10008.0 NA 302 469 0 187 177 NA NA NA NA 407 661 0 307 264 NA NA NA NA 1451 1488 376 336 489 NA NA NA NA 642 1493 424 627 730 NA NA NA
1709676000.0 10009.0 NA 302 482 0 188 179 NA NA NA NA 395 671 0 300 271 NA NA NA NA 1459 1497 392 334 491 NA NA NA NA 841 1919 598 542 613 NA NA NA
1709676000.0 1001.0 NA 332 195 0 0 0 0 0 0 NA 471 275 0 0 0 0 0 0 NA 2002 399 91 76 103 214 128 213 NA 1812 739 202 382 352 268 282 285
1709676000.0 1001.2 NA 549 239 0 0 0 0 NA NA NA 785 362 0 0 0 0 NA NA NA 9684 753 109 121 131 141 NA NA NA 3665 812 165 223 210 205 NA NA
1709676000.0 1001.3 NA 530 236 0 NA NA NA NA NA NA 732 358 0 NA NA NA NA NA NA 7198 738 247 NA NA NA NA NA NA 2988 692 479 NA NA NA NA NA
1709676000.0 1001.4 NA 528 186 0 0 0 NA NA NA NA 739 292 0 0 0 NA NA NA NA 7387 344 125 121 116 NA NA NA NA 2795 585 219 161 138 NA NA NA
1709676000.0 1002.0 NA 372 145 NA NA NA NA NA NA NA 503 191 NA NA NA NA NA NA NA 2394 196 NA NA NA NA NA NA NA 2332 185 NA NA NA NA NA NA
1709676000.0 1002.3 NA 514 233 0 NA NA NA NA NA NA 709 351 0 NA NA NA NA NA NA 5995 644 238 NA NA NA NA NA NA 2494 888 302 NA NA NA NA NA
1709676000.0 1002.4 NA 533 0 NA NA NA NA NA NA NA 742 0 NA NA NA NA NA NA NA 9221 384 NA NA NA NA NA NA NA 3242 441 NA NA NA NA NA NA
1709676000.0 10023.0 NA 301 470 0 158 175 NA NA NA NA 399 662 0 224 251 NA NA NA NA 1436 1461 391 315 474 NA NA NA NA 602 1794 471 406 720 NA NA NA
1709676000.0 10024.0 NA 312 498 0 190 183 NA NA NA NA 418 675 0 308 266 NA NA NA NA 1484 1643 418 336 515 NA NA NA NA 669 1706 616 439 721 NA NA NA
1709676000.0 10024.1 NA 312 309 0 NA NA NA NA NA NA 399 438 0 NA NA NA NA NA NA 1482 657 375 NA NA NA NA NA NA 648 748 472 NA NA NA NA NA
1709676000.0 10024.2 NA 312 489 0 NA NA NA NA NA NA 417 667 0 NA NA NA NA NA NA 1497 1627 391 NA NA NA NA NA NA 665 1495 439 NA NA NA NA NA
1709676000.0 10024.3 NA 312 289 0 NA NA NA NA NA NA 400 404 0 NA NA NA NA NA NA 1479 640 323 NA NA NA NA NA NA 602 953 384 NA NA NA NA NA
1709676000.0 10024.4 NA 314 487 0 NA NA NA NA NA NA 401 653 0 NA NA NA NA NA NA 1475 1574 387 NA NA NA NA NA NA 580 1409 417 NA NA NA NA NA
1709676000.0 10025.0 NA 304 488 0 160 179 NA NA NA NA 397 673 0 228 264 NA NA NA NA 1467 1507 410 317 502 NA NA NA NA 863 1915 732 446 675 NA NA NA
1709676000.0 10026.0 NA 313 504 0 163 181 NA NA NA NA 428 689 0 228 269 NA NA NA NA 1543 1924 409 346 515 NA NA NA NA 638 1709 441 463 565 NA NA NA
1709676000.0 1003.0 NA 396 0 NA NA NA NA NA NA NA 654 0 NA NA NA NA NA NA NA 2438 255 NA NA NA NA NA NA NA 2310 287 NA NA NA NA NA NA
1709676000.0 10042.0 NA 305 488 0 192 178 NA NA NA NA 411 669 0 301 256 NA NA NA NA 1466 1527 430 334 486 NA NA NA NA 684 1677 702 545 658 NA NA NA
1709676000.0 1005.0 NA 218 164 0 0 NA NA NA NA NA 381 261 0 0 NA NA NA NA NA 495 219 93 107 NA NA NA NA NA 755 324 209 201 NA NA NA NA
1709676000.0 10059.0 NA 313 494 0 162 182 NA NA NA NA 409 713 0 234 265 NA NA NA NA 1560 2339 434 350 515 NA NA NA NA 627 1838 478 857 531 NA NA NA
1709676000.0 10071.0 NA 307 491 0 161 180 NA NA NA NA 402 670 0 227 259 NA NA NA NA 1478 1620 418 322 504 NA NA NA NA 732 1908 590 553 673 NA NA NA
1709676000.0 101.0 183 NA NA NA NA NA NA NA NA 308 NA NA NA NA NA NA NA NA 690 NA NA NA NA NA NA NA NA 570 NA NA NA NA NA NA NA NA
1709676000.0 1010.0 NA 92 113 0 NA NA NA NA NA NA 156 173 0 NA NA NA NA NA NA 138 166 151 NA NA NA NA NA NA 596 189 170 NA NA NA NA NA
1709676000.0 102.0 180 NA NA NA NA NA NA NA NA 289 NA NA NA NA NA NA NA NA 662 NA NA NA NA NA NA NA NA 644 NA NA NA NA NA NA NA NA
1709676000.0 1020.0 NA 101 89 0 98 NA NA NA NA NA 171 158 0 168 NA NA NA NA NA 162 118 69 159 NA NA NA NA NA 325 153 170 231 NA NA NA NA
1709676000.0 10224.0 NA 459 714 0 182 NA NA NA NA NA 633 971 0 259 NA NA NA NA NA 2767 2933 441 509 NA NA NA NA NA 1322 1998 502 600 NA NA NA NA
1709676000.0 10224.15 NA 487 730 0 198 NA NA NA NA NA 632 1074 0 288 NA NA NA NA NA 2756 2971 438 613 NA NA NA NA NA 1189 2386 492 823 NA NA NA NA
1709676000.0 10225.0 NA 482 715 0 181 NA NA NA NA NA 674 1018 0 265 NA NA NA NA NA 2766 2775 416 503 NA NA NA NA NA 1156 2055 448 631 NA NA NA NA
1709676000.0 103.0 136 170 351 NA NA NA NA NA NA 228 246 494 NA NA NA NA NA NA 623 227 1324 NA NA NA NA NA NA 836 499 1841 NA NA NA NA NA NA
1709676000.0 1030.0 NA 277 106 0 0 NA NA NA NA NA 451 169 0 0 NA NA NA NA NA 4635 168 62 62 NA NA NA NA NA 1855 214 83 92 NA NA NA NA
1709676000.0 1040.0 NA 501 91 0 NA NA NA NA NA NA 712 147 0 NA NA NA NA NA NA 8784 131 105 NA NA NA NA NA NA 3025 168 130 NA NA NA NA NA
1709676000.0 1040.1 NA 132 91 0 NA NA NA NA NA NA 207 146 0 NA NA NA NA NA NA 344 132 106 NA NA NA NA NA NA 527 236 152 NA NA NA NA NA
1709676000.0 1041.0 NA 132 96 0 NA NA NA NA NA NA 206 158 0 NA NA NA NA NA NA 238 139 74 NA NA NA NA NA NA 326 228 173 NA NA NA NA NA
1709676000.0 1042.0 NA 124 93 0 NA NA NA NA NA NA 209 154 0 NA NA NA NA NA NA 382 143 73 NA NA NA NA NA NA 830 189 195 NA NA NA NA NA
1709676000.0 10424.0 NA 264 477 0 NA NA NA NA NA NA 356 666 0 NA NA NA NA NA NA 355 1643 407 NA NA NA NA NA NA 529 2400 502 NA NA NA NA NA
1709676000.0 1043.0 NA 106 96 0 NA NA NA NA NA NA 176 161 0 NA NA NA NA NA NA 241 135 68 NA NA NA NA NA NA 335 160 155 NA NA NA NA NA
1709676000.0 1044.0 NA 109 108 0 NA NA NA NA NA NA 180 172 0 NA NA NA NA NA NA 242 164 74 NA NA NA NA NA NA 357 172 109 NA NA NA NA NA
1709676000.0 1045.0 NA 108 102 0 NA NA NA NA NA NA 178 163 0 NA NA NA NA NA NA 245 157 68 NA NA NA NA NA NA 364 209 169 NA NA NA NA NA
1709676000.0 105.0 162 184 92 NA NA NA NA NA NA 284 264 148 NA NA NA NA NA NA 1220 299 139 NA NA NA NA NA NA 1074 352 477 NA NA NA NA NA NA
1709676000.0 1052.0 NA 220 167 0 NA NA NA NA NA NA 369 263 0 NA NA NA NA NA NA 490 215 72 NA NA NA NA NA NA 635 306 197 NA NA NA NA NA
1709676000.0 1052.1 NA 151 0 NA NA NA NA NA NA NA 249 0 NA NA NA NA NA NA NA 195 70 NA NA NA NA NA NA NA 250 112 NA NA NA NA NA NA
1709676000.0 106.0 127 0 0 NA NA NA NA NA NA 213 0 0 NA NA NA NA NA NA 517 130 1199 NA NA NA NA NA NA 636 312 1731 NA NA NA NA NA NA
1709676000.0 1060.1 NA 172 NA NA NA NA NA NA NA NA 266 NA NA NA NA NA NA NA NA 556 NA NA NA NA NA NA NA NA 540 NA NA NA NA NA NA NA
1709676000.0 1060.2 NA 178 NA NA NA NA NA NA NA NA 267 NA NA NA NA NA NA NA NA 465 NA NA NA NA NA NA NA NA 401 NA NA NA NA NA NA NA
1709676000.0 107.0 172 187 368 NA NA NA NA NA NA 283 259 513 NA NA NA NA NA NA 1543 321 1432 NA NA NA NA NA NA 1336 853 1918 NA NA NA NA NA NA
1709676000.0 108.0 171 189 371 NA NA NA NA NA NA 292 268 502 NA NA NA NA NA NA 1960 324 1530 NA NA NA NA NA NA 1131 290 1799 NA NA NA NA NA NA
1709676000.0 10801.0 NA 289 476 0 158 181 NA NA NA NA 389 680 0 223 260 NA NA NA NA 1416 1461 384 319 500 NA NA NA NA 837 1803 595 458 637 NA NA NA
1709676000.0 10802.0 NA 293 464 0 159 182 NA NA NA NA 402 682 0 231 267 NA NA NA NA 1445 1526 403 323 512 NA NA NA NA 590 1555 504 554 587 NA NA NA
1709676000.0 10803.0 NA 295 483 0 158 185 NA NA NA NA 393 683 0 227 277 NA NA NA NA 1416 1490 412 328 516 NA NA NA NA 711 1548 623 666 685 NA NA NA
1709676000.0 10804.0 NA 291 476 0 158 183 NA NA NA NA 396 680 0 231 264 NA NA NA NA 1414 1445 390 319 505 NA NA NA NA 663 1558 642 514 666 NA NA NA
1709676000.0 10804.31 NA 292 475 0 158 181 NA NA NA NA 392 673 0 226 261 NA NA NA NA 1407 1566 393 313 527 NA NA NA NA 610 2461 470 372 825 NA NA NA
1709676000.0 10805.0 NA 292 477 0 158 181 NA NA NA NA 391 658 0 220 266 NA NA NA NA 1410 1478 391 318 505 NA NA NA NA 795 1871 600 454 713 NA NA NA
1709676000.0 10805.31 NA 294 424 0 157 180 NA NA NA NA 394 671 0 223 264 NA NA NA NA 1401 1544 392 319 499 NA NA NA NA 590 2434 509 414 558 NA NA NA
1709676000.0 10806.0 NA 292 478 0 158 176 NA NA NA NA 391 678 0 228 258 NA NA NA NA 1408 1456 389 318 495 NA NA NA NA 909 1910 582 477 1015 NA NA NA
1709676000.0 10807.0 NA 295 464 0 186 182 NA NA NA NA 401 680 0 299 269 NA NA NA NA 1458 1549 389 326 493 NA NA NA NA 604 1608 418 476 540 NA NA NA
1709676000.0 10808.0 NA 294 470 0 186 181 NA NA NA NA 373 659 0 298 273 NA NA NA NA 1410 1487 389 327 504 NA NA NA NA 573 1472 453 504 742 NA NA NA
1709676000.0 10809.0 NA 295 481 0 187 184 NA NA NA NA 395 686 0 298 268 NA NA NA NA 1417 1522 400 328 524 NA NA NA NA 719 1828 622 524 916 NA NA NA
1709676000.0 10823.0 NA 292 467 0 157 178 NA NA NA NA 386 648 0 225 263 NA NA NA NA 1397 1460 392 313 505 NA NA NA NA 556 1759 456 409 817 NA NA NA
1709676000.0 10824.0 NA 301 481 0 190 185 NA NA NA NA 410 691 0 313 269 NA NA NA NA 1461 1710 449 383 530 NA NA NA NA 560 1640 599 704 577 NA NA NA
1709676000.0 10824.1 NA 302 309 0 NA NA NA NA NA NA 396 440 0 NA NA NA NA NA NA 1462 636 366 NA NA NA NA NA NA 647 721 433 NA NA NA NA NA
1709676000.0 10824.6 NA 302 495 0 190 185 NA NA NA NA 400 684 0 303 274 NA NA NA NA 1461 1634 426 336 537 NA NA NA NA 927 2011 633 534 1020 NA NA NA
1709676000.0 10824.8 NA 303 496 0 160 185 NA NA NA NA 417 700 0 233 275 NA NA NA NA 1461 1636 426 324 534 NA NA NA NA 772 1936 759 500 925 NA NA NA
1709676000.0 10825.0 NA 299 490 0 160 184 NA NA NA NA 411 666 0 227 272 NA NA NA NA 1427 1531 409 318 518 NA NA NA NA 758 1854 517 480 866 NA NA NA
1709676000.0 10826.0 NA 301 497 0 161 186 NA NA NA NA 399 674 0 231 264 NA NA NA NA 1462 1756 425 321 523 NA NA NA NA 858 1935 638 434 673 NA NA NA
1709676000.0 10842.0 NA 298 475 0 190 183 NA NA NA NA 399 686 0 301 263 NA NA NA NA 1419 1555 411 338 506 NA NA NA NA 593 1779 458 688 752 NA NA NA
1709676000.0 10859.0 NA 311 497 0 164 184 NA NA NA NA 420 696 0 224 270 NA NA NA NA 1463 2323 465 314 551 NA NA NA NA 599 2178 612 369 763 NA NA NA
1709676000.0 10871.0 NA 303 494 0 163 183 NA NA NA NA 408 696 0 236 268 NA NA NA NA 1449 1702 424 320 525 NA NA NA NA 758 1932 642 509 663 NA NA NA
1709676000.0 109.0 176 189 370 NA NA NA NA NA NA 286 267 509 NA NA NA NA NA NA 2085 327 1445 NA NA NA NA NA NA 1158 336 1313 NA NA NA NA NA NA
1709676000.0 11.0 NA 202 378 0 133 NA NA NA NA NA 288 535 0 196 NA NA NA NA NA 1070 1571 393 251 NA NA NA NA NA 590 1618 457 330 NA NA NA NA
1709676000.0 110.0 137 182 356 NA NA NA NA NA NA 224 262 505 NA NA NA NA NA NA 569 309 1402 NA NA NA NA NA NA 571 578 1898 NA NA NA NA NA NA
