Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1710108000.0 10025.0 NA 300 483 0 156 176 NA 395 667 0 221 257 NA 1498 1635 437 330 545 NA 679 2612 753 423 838
1710108000.0 10224.15 NA 486 725 0 195 NA NA 632 1019 0 277 NA NA 2940 3153 453 658 NA NA 1365 2348 513 1015 NA
1710108000.0 10225.0 NA 483 729 0 177 NA NA 662 999 0 269 NA NA 2794 2861 425 555 NA NA 1292 2254 464 920 NA
1710108000.0 107.0 170 185 365 NA NA NA 281 265 487 NA NA NA 1551 322 1473 NA NA NA 913 373 1918 NA NA NA
1710108000.0 10804.31 NA 288 459 0 155 179 NA 388 647 0 224 255 NA 1458 1620 416 325 550 NA 808 2942 559 383 907
1710108000.0 10809.0 NA 290 478 0 185 181 NA 379 654 0 294 269 NA 1435 1568 411 354 542 NA 969 2093 550 848 701
1710108000.0 10824.0 NA 299 492 0 186 182 NA 388 695 0 300 266 NA 1496 1756 450 336 565 NA 704 2231 563 396 851
1710108000.0 10859.0 NA 309 504 0 160 183 NA 404 707 0 230 261 NA 1548 2426 471 328 574 NA 647 2159 790 399 1001
1710108000.0 110.0 129 180 351 NA NA NA 221 247 494 NA NA NA 580 306 1445 NA NA NA 669 326 2002 NA NA NA
1710108000.0 111.0 155 183 350 NA NA NA 270 253 504 NA NA NA 1125 282 1483 NA NA NA 894 365 2010 NA NA NA
1710108000.0 112.0 166 184 358 NA NA NA 282 255 494 NA NA NA 1328 320 1428 NA NA NA 934 853 1840 NA NA NA
1710108000.0 119.0 164 182 361 NA NA NA 278 256 500 NA NA NA 1158 324 1459 NA NA NA 848 414 1976 NA NA NA
1710108000.0 120.0 135 179 339 NA NA NA 233 251 499 NA NA NA 530 309 1448 NA NA NA 765 390 2044 NA NA NA
1710108000.0 123.1 368 NA NA NA NA NA 552 NA NA NA NA NA 877 NA NA NA NA NA 1004 NA NA NA NA NA
1710108000.0 123.2 370 NA NA NA NA NA 546 NA NA NA NA NA 978 NA NA NA NA NA 1110 NA NA NA NA NA
1710108000.0 124.4 388 NA NA NA NA NA 514 NA NA NA NA NA 787 NA NA NA NA NA 952 NA NA NA NA NA
1710108000.0 126.0 134 179 355 NA NA NA 220 250 507 NA NA NA 961 317 1436 NA NA NA 841 677 1811 NA NA NA
1710108000.0 127.0 132 162 352 NA NA NA 209 256 483 NA NA NA 736 314 1435 NA NA NA 995 598 2024 NA NA NA
1710108000.0 128.0 134 180 353 NA NA NA 213 254 482 NA NA NA 499 315 1424 NA NA NA 578 814 1791 NA NA NA
1710108000.0 12834.7 NA 466 612 0 NA NA NA 607 850 0 NA NA NA 1169 2632 582 NA NA NA 1216 3328 801 NA NA
1710108000.0 129.0 130 181 350 NA NA NA 211 256 486 NA NA NA 515 313 1453 NA NA NA 965 458 1982 NA NA NA
1710108000.0 130.0 112 178 351 NA NA NA 224 250 490 NA NA NA 550 302 1450 NA NA NA 850 298 1986 NA NA NA
1710108000.0 1301.0 156 217 276 NA NA NA 249 298 451 NA NA NA 1209 342 959 NA NA NA 1262 648 1563 NA NA NA
1710108000.0 131.0 134 181 356 NA NA NA 214 257 510 NA NA NA 792 317 1451 NA NA NA 620 543 1833 NA NA NA
1710108000.0 135.1 429 0 196 169 NA NA 574 0 279 251 NA NA 927 250 626 427 NA NA 1026 527 1178 699 NA NA
1710108000.0 135.6 426 0 196 168 NA NA 571 0 287 255 NA NA 920 249 587 426 NA NA 1083 544 635 645 NA NA
1710108000.0 1356.0 168 228 449 0 211 NA 261 313 606 0 295 NA 1742 353 1534 339 617 NA 1235 475 1652 386 1042 NA
1710108000.0 136.9 NA 265 245 345 214 NA NA 400 382 485 289 NA NA 6301 1007 1234 882 NA NA 6646 1215 1604 1391 NA
1710108000.0 140.202 NA 259 NA NA NA NA NA 364 NA NA NA NA NA 1774 NA NA NA NA NA 1551 NA NA NA NA
1710108000.0 144.6 NA 371 NA NA NA NA NA 516 NA NA NA NA NA 2569 NA NA NA NA NA 2393 NA NA NA NA
1710108000.0 2500.012 NA 261 0 NA NA NA NA 383 0 NA NA NA NA 13806 158 NA NA NA NA 5938 309 NA NA NA
1710108000.0 2500.31 NA 258 0 NA NA NA NA 414 0 NA NA NA NA 5801 159 NA NA NA NA 6046 419 NA NA NA
1710108000.0 2500.315 NA 239 NA NA NA NA NA 342 NA NA NA NA NA 1194 NA NA NA NA NA 1394 NA NA NA NA
1710108000.0 2500.4 NA 210 0 NA NA NA NA 312 0 NA NA NA NA 8971 160 NA NA NA NA 7030 250 NA NA NA
1710108000.0 250202.172 NA 515 564 0 NA NA NA 734 808 0 NA NA NA 6112 2478 466 NA NA NA 2418 1983 638 NA NA
1710108000.0 25202.15 NA 419 646 0 185 NA NA 583 900 0 273 NA NA 1635 2946 357 502 NA NA 1184 2870 398 853 NA
1710108000.0 25206.0 NA 420 693 0 170 NA NA 583 883 0 255 NA NA 1642 2577 358 426 NA NA 1174 2331 402 652 NA
1710108000.0 25209.0 NA 432 634 0 172 NA NA 593 841 0 255 NA NA 1597 2918 363 441 NA NA 988 2349 414 703 NA
1710108000.0 4.17 NA 102 375 0 262 NA NA 162 516 0 349 NA NA 158 2471 304 947 NA NA 334 2416 509 1124 NA
1710108000.0 4.28 NA 133 359 0 NA NA NA 200 517 0 NA NA NA 233 2823 1504 NA NA NA 558 3978 1842 NA NA
1710108000.0 4.29 NA 106 368 0 265 NA NA 168 511 0 351 NA NA 167 2790 308 968 NA NA 283 2688 427 1031 NA
1710108000.0 4001.0 NA 258 451 NA NA NA NA 370 632 NA NA NA NA 604 2078 NA NA NA NA 855 2226 NA NA NA
1710108000.0 4006.0 135 250 436 NA NA NA 224 357 595 NA NA NA 685 582 1857 NA NA NA 829 744 2156 NA NA NA
1710108000.0 4007.0 129 0 0 NA NA NA 211 0 0 NA NA NA 547 137 1275 NA NA NA 804 282 1931 NA NA NA
1710108000.0 4008.0 140 197 381 NA NA NA 231 281 540 NA NA NA 750 262 1447 NA NA NA 1081 402 2029 NA NA NA
