Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1710108000.0 1.0 157 171 279 NA NA NA NA 267 241 403 NA NA NA NA 1296 308 896 NA NA NA NA 1262 432 1307 NA NA NA NA
1710108000.0 1001.2 NA 524 228 0 0 0 0 NA 772 355 0 0 0 0 NA 9383 725 101 115 127 141 NA 3733 721 160 258 307 388
1710108000.0 10225.0 NA 467 687 0 165 NA NA NA 614 1013 0 251 NA NA NA 2756 2724 446 489 NA NA NA 1515 2439 804 712 NA NA
1710108000.0 103.0 121 0 0 NA NA NA NA 201 0 0 NA NA NA NA 545 115 1149 NA NA NA NA 896 230 1348 NA NA NA NA
1710108000.0 106.0 123 0 0 NA NA NA NA 204 0 0 NA NA NA NA 536 119 1176 NA NA NA NA 653 385 1659 NA NA NA NA
1710108000.0 109.0 164 179 345 NA NA NA NA 271 258 501 NA NA NA NA 1905 320 1492 NA NA NA NA 1190 386 1741 NA NA NA NA
1710108000.0 110.0 127 173 340 NA NA NA NA 212 243 470 NA NA NA NA 558 292 1326 NA NA NA NA 609 428 1903 NA NA NA NA
1710108000.0 11024.6 NA 544 761 0 172 NA NA NA 724 1109 0 262 NA NA NA 3588 3851 466 512 NA NA NA 1953 3492 753 735 NA NA
1710108000.0 112.0 155 176 332 NA NA NA NA 263 245 492 NA NA NA NA 1279 300 1379 NA NA NA NA 775 357 1758 NA NA NA NA
1710108000.0 11224.6 NA 249 463 0 NA NA NA NA 331 652 0 NA NA NA NA 373 1691 420 NA NA NA NA 467 2446 483 NA NA NA
1710108000.0 113.0 166 178 353 NA NA NA NA 283 255 489 NA NA NA NA 1333 314 1371 NA NA NA NA 1089 444 1842 NA NA NA NA
1710108000.0 115.0 161 172 345 NA NA NA NA 268 259 493 NA NA NA NA 1656 323 1438 NA NA NA NA 1036 393 1760 NA NA NA NA
1710108000.0 11634.7 NA 266 490 0 NA NA NA NA 345 717 0 NA NA NA NA 398 1752 424 NA NA NA NA 472 1807 487 NA NA NA
1710108000.0 11650.914 138 255 441 0 172 NA NA 209 337 707 0 255 NA NA 1383 400 1705 437 317 NA NA 1036 444 2498 710 411 NA NA
1710108000.0 11834.0 NA 577 926 0 NA NA NA NA 828 1287 0 NA NA NA NA 3142 5742 446 NA NA NA NA 1611 3679 505 NA NA NA
1710108000.0 11834.24 NA 201 449 0 NA NA NA NA 296 670 0 NA NA NA NA 239 1477 401 NA NA NA NA 343 1815 486 NA NA NA
1710108000.0 11846.19 NA 624 938 0 NA NA NA NA 828 1315 0 NA NA NA NA 3252 5268 437 NA NA NA NA 1637 3520 499 NA NA NA
1710108000.0 119.0 155 165 340 NA NA NA NA 267 247 500 NA NA NA NA 1099 316 1346 NA NA NA NA 1370 542 1694 NA NA NA NA
