Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709676000.0 1.0 163 180 290 NA NA NA NA NA NA 278 245 429 NA NA NA NA NA NA 1270 298 847 NA NA NA NA NA NA 1000 299 887 NA NA NA NA NA NA
1709676000.0 10.0 NA 216 392 0 NA NA NA NA NA NA 305 567 0 NA NA NA NA NA NA 1264 2775 360 NA NA NA NA NA NA 697 1812 391 NA NA NA NA NA
1709676000.0 1000.0 NA 374 259 0 113 NA NA NA NA NA 506 343 0 181 NA NA NA NA NA 2149 719 277 253 NA NA NA NA NA 1851 1020 336 675 NA NA NA NA
1709676000.0 10001.0 NA 293 473 0 156 178 NA NA NA NA 386 647 0 218 261 NA NA NA NA 1453 1418 373 309 488 NA NA NA NA 729 1533 451 414 698 NA NA NA
1709676000.0 10002.0 NA 298 466 0 157 176 NA NA NA NA 385 656 0 220 262 NA NA NA NA 1524 1522 400 331 500 NA NA NA NA 1145 1998 622 752 715 NA NA NA
1709676000.0 10003.0 NA 299 466 0 156 179 NA NA NA NA 392 667 0 225 269 NA NA NA NA 1431 1472 403 326 521 NA NA NA NA 593 1441 645 581 782 NA NA NA
1709676000.0 10004.0 NA 297 459 0 156 175 NA NA NA NA 398 653 0 223 261 NA NA NA NA 1544 1438 417 306 499 NA NA NA NA 788 1460 864 427 720 NA NA NA
1709676000.0 10005.0 NA 297 476 0 156 176 NA NA NA NA 382 667 0 220 264 NA NA NA NA 1426 1401 379 301 472 NA NA NA NA 584 1480 488 369 521 NA NA NA
1709676000.0 10006.0 NA 298 470 0 155 172 NA NA NA NA 385 659 0 217 250 NA NA NA NA 1430 1447 373 302 456 NA NA NA NA 574 1970 444 419 667 NA NA NA
1709676000.0 10007.0 NA 300 474 0 187 176 NA NA NA NA 398 642 0 298 254 NA NA NA NA 1455 1497 370 316 478 NA NA NA NA 596 1777 413 524 790 NA NA NA
1709676000.0 10008.0 NA 300 463 0 187 176 NA NA NA NA 389 647 0 301 263 NA NA NA NA 1525 1461 381 342 511 NA NA NA NA 678 1452 418 551 871 NA NA NA
1709676000.0 10009.0 NA 300 477 0 185 175 NA NA NA NA 397 648 0 298 259 NA NA NA NA 1527 1554 403 335 502 NA NA NA NA 881 2194 641 593 692 NA NA NA
1709676000.0 1001.0 NA 328 191 0 0 0 0 0 0 NA 468 275 0 0 0 0 0 0 NA 1978 400 85 66 95 216 124 208 NA 1646 829 175 191 231 339 345 279
1709676000.0 1001.2 NA 544 235 0 0 0 0 NA NA NA 769 363 0 0 0 0 NA NA NA 9651 780 104 118 124 135 NA NA NA 3682 864 255 368 215 177 NA NA
1709676000.0 1001.3 NA 521 235 0 NA NA NA NA NA NA 734 356 0 NA NA NA NA NA NA 7086 736 242 NA NA NA NA NA NA 2699 864 488 NA NA NA NA NA
1709676000.0 1001.4 NA 529 185 0 0 0 NA NA NA NA 761 281 0 0 0 NA NA NA NA 7328 328 118 118 115 NA NA NA NA 2840 429 221 217 146 NA NA NA
