Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709935200.0 1.0 162 177 289 NA NA NA NA NA NA 330 309 481 NA NA NA NA NA NA 1207 316 889 NA NA NA NA NA NA 1248 493 949 NA NA NA NA NA NA
1709935200.0 10.0 NA 215 391 0 NA NA NA NA NA NA 360 620 0 NA NA NA NA NA NA 1249 2666 363 NA NA NA NA NA NA 542 1845 408 NA NA NA NA NA
1709935200.0 1000.0 NA 333 226 0 111 NA NA NA NA NA 572 391 0 234 NA NA NA NA NA 2278 761 322 256 NA NA NA NA NA 2129 1092 485 465 NA NA NA NA
1709935200.0 10001.0 NA 299 447 0 155 177 NA NA NA NA 460 742 0 278 320 NA NA NA NA 1440 1476 393 306 481 NA NA NA NA 621 1963 460 384 562 NA NA NA
1709935200.0 10002.0 NA 290 452 0 153 177 NA NA NA NA 442 707 0 281 316 NA NA NA NA 1443 1496 368 309 490 NA NA NA NA 624 1535 398 524 570 NA NA NA
1709935200.0 10003.0 NA 278 452 0 151 173 NA NA NA NA 460 721 0 275 315 NA NA NA NA 1463 1536 402 330 511 NA NA NA NA 864 2229 620 476 691 NA NA NA
1709935200.0 10004.0 NA 296 451 0 153 175 NA NA NA NA 451 704 0 280 320 NA NA NA NA 1430 1441 370 311 485 NA NA NA NA 584 1662 407 437 662 NA NA NA
1709935200.0 10005.0 NA 279 453 0 152 175 NA NA NA NA 459 740 0 281 319 NA NA NA NA 1446 1469 366 314 490 NA NA NA NA 597 1619 404 496 648 NA NA NA
1709935200.0 10006.0 NA 287 447 0 152 170 NA NA NA NA 462 696 0 281 309 NA NA NA NA 1437 1446 368 321 465 NA NA NA NA 575 1499 412 430 604 NA NA NA
1709935200.0 10007.0 NA 298 451 0 181 174 NA NA NA NA 449 738 0 354 317 NA NA NA NA 1444 1482 386 321 476 NA NA NA NA 589 1476 421 476 589 NA NA NA
1709935200.0 10008.0 NA 292 463 0 185 174 NA NA NA NA 459 723 0 357 317 NA NA NA NA 1443 1448 392 332 489 NA NA NA NA 589 1410 442 486 668 NA NA NA
1709935200.0 10009.0 NA 281 454 0 182 167 NA NA NA NA 449 720 0 356 319 NA NA NA NA 1468 1516 375 313 481 NA NA NA NA 600 1635 403 401 594 NA NA NA
1709935200.0 1001.0 NA 327 189 0 0 0 0 0 0 NA 522 337 0 0 0 0 0 0 NA 1973 395 81 63 86 207 113 200 NA 2160 959 222 249 146 525 196 271
1709935200.0 1001.2 NA 545 235 0 0 0 0 NA NA NA 833 422 0 0 0 0 NA NA NA 9403 732 96 114 116 128 NA NA NA 3832 1099 142 494 185 166 NA NA
1709935200.0 1001.3 NA 504 228 0 NA NA NA NA NA NA 808 424 0 NA NA NA NA NA NA 7366 777 241 NA NA NA NA NA NA 3258 731 360 NA NA NA NA NA
1709935200.0 1001.4 NA 533 184 0 0 0 NA NA NA NA 801 347 0 0 0 NA NA NA NA 7267 338 114 113 113 NA NA NA NA 2708 534 156 160 164 NA NA NA
1709935200.0 1002.0 NA 369 134 NA NA NA NA NA NA NA 559 169 NA NA NA NA NA NA NA 2451 205 NA NA NA NA NA NA NA 2178 265 NA NA NA NA NA NA
1709935200.0 1002.3 NA 512 229 0 NA NA NA NA NA NA 773 402 0 NA NA NA NA NA NA 5614 605 236 NA NA NA NA NA NA 2241 618 376 NA NA NA NA NA
1709935200.0 1002.4 NA 528 0 NA NA NA NA NA NA NA 791 0 NA NA NA NA NA NA NA 8651 370 NA NA NA NA NA NA NA 3141 445 NA NA NA NA NA NA
1709935200.0 10023.0 NA 282 447 0 149 161 NA NA NA NA 463 700 0 278 309 NA NA NA NA 1467 1469 410 333 518 NA NA NA NA 876 1862 664 489 910 NA NA NA
1709935200.0 10024.0 NA 293 430 0 183 167 NA NA NA NA 460 749 0 361 323 NA NA NA NA 1503 1743 439 339 570 NA NA NA NA 748 2797 724 519 951 NA NA NA
1709935200.0 10024.1 NA 309 306 0 NA NA NA NA NA NA 459 481 0 NA NA NA NA NA NA 1576 670 384 NA NA NA NA NA NA 686 791 473 NA NA NA NA NA
1709935200.0 10024.2 NA 311 482 0 NA NA NA NA NA NA 457 723 0 NA NA NA NA NA NA 1561 1647 395 NA NA NA NA NA NA 775 1694 452 NA NA NA NA NA
