Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709935200.0 1.0 377 432 693 NA NA NA NA NA NA 919 1012 1677 NA NA NA NA NA NA 2252 582 1352 NA NA NA NA NA NA 2533 2523 2600 NA NA NA NA NA NA
1709935200.0 10.0 NA 464 901 0 NA NA NA NA NA NA 1069 1854 0 NA NA NA NA NA NA 2928 8041 448 NA NA NA NA NA NA 1406 3274 478 NA NA NA NA NA
1709935200.0 1000.0 NA 838 413 0 237 NA NA NA NA NA 1730 586 0 335 NA NA NA NA NA 7031 1067 362 279 NA NA NA NA NA 3716 1182 448 846 NA NA NA NA
1709935200.0 10001.0 NA 550 1031 0 313 352 NA NA NA NA 1183 2394 0 424 481 NA NA NA NA 3384 2287 564 423 592 NA NA NA NA 1257 3035 630 715 954 NA NA NA
1709935200.0 10002.0 NA 552 1028 0 313 353 NA NA NA NA 1194 2396 0 428 485 NA NA NA NA 3322 2256 566 421 587 NA NA NA NA 1128 2017 667 677 773 NA NA NA
1709935200.0 10003.0 NA 554 1032 0 313 353 NA NA NA NA 1197 2385 0 430 481 NA NA NA NA 3366 2328 559 421 599 NA NA NA NA 1415 1984 640 515 779 NA NA NA
1709935200.0 10004.0 NA 557 1028 0 312 352 NA NA NA NA 1191 2398 0 421 481 NA NA NA NA 3345 2155 571 420 583 NA NA NA NA 1224 2969 787 531 844 NA NA NA
1709935200.0 10005.0 NA 553 1020 0 312 350 NA NA NA NA 1183 2388 0 429 487 NA NA NA NA 3358 2180 551 417 587 NA NA NA NA 1400 2878 623 548 793 NA NA NA
1709935200.0 10006.0 NA 549 997 0 310 346 NA NA NA NA 1183 2385 0 423 480 NA NA NA NA 3196 2009 543 404 547 NA NA NA NA 1131 1980 594 590 847 NA NA NA
1709935200.0 10007.0 NA 563 1028 0 422 350 NA NA NA NA 1191 2389 0 1037 482 NA NA NA NA 3368 2504 574 478 576 NA NA NA NA 1402 2506 662 678 1010 NA NA NA
1709935200.0 10008.0 NA 563 1037 0 425 350 NA NA NA NA 1190 2406 0 1035 483 NA NA NA NA 3426 2583 559 468 582 NA NA NA NA 1399 3150 638 624 760 NA NA NA
1709935200.0 10009.0 NA 564 1038 0 422 352 NA NA NA NA 1193 2406 0 1040 490 NA NA NA NA 3490 2714 571 466 588 NA NA NA NA 1337 2177 723 733 797 NA NA NA
1709935200.0 1001.0 NA 793 425 0 0 0 0 0 0 NA 1736 973 0 0 0 0 0 0 NA 6317 605 133 78 108 237 150 239 NA 3183 1082 386 198 161 357 477 379
1709935200.0 1001.2 NA 818 468 0 0 0 0 NA NA NA 2316 1066 0 0 0 0 NA NA NA 58671 2304 207 150 155 157 NA NA NA 19171 1089 396 325 195 178 NA NA
1709935200.0 1001.3 NA 1016 465 0 NA NA NA NA NA NA 2303 1062 0 NA NA NA NA NA NA 41707 935 375 NA NA NA NA NA NA 14217 1323 1841 NA NA NA NA NA
1709935200.0 1001.4 NA 1014 401 0 0 0 NA NA NA NA 2307 960 0 0 0 NA NA NA NA 41257 1054 152 166 162 NA NA NA NA 13212 1764 320 1636 737 NA NA NA
1709935200.0 1002.0 NA 835 232 NA NA NA NA NA NA NA 1633 300 NA NA NA NA NA NA NA 6812 236 NA NA NA NA NA NA NA 3123 279 NA NA NA NA NA NA
1709935200.0 1002.3 NA 1018 460 0 NA NA NA NA NA NA 2282 1058 0 NA NA NA NA NA NA 25314 1254 363 NA NA NA NA NA NA 9450 1138 512 NA NA NA NA NA
1709935200.0 1002.4 NA 1029 0 NA NA NA NA NA NA NA 2312 0 NA NA NA NA NA NA NA 44438 531 NA NA NA NA NA NA NA 14687 1411 NA NA NA NA NA NA
1709935200.0 10023.0 NA 561 1023 0 313 427 NA NA NA NA 1189 2374 0 420 1060 NA NA NA NA 3368 2081 564 425 591 NA NA NA NA 1362 1975 613 618 916 NA NA NA
1709935200.0 10024.0 NA 573 1034 0 424 356 NA NA NA NA 1196 2423 0 1036 488 NA NA NA NA 3294 3603 583 461 598 NA NA NA NA 1182 2839 650 756 835 NA NA NA
1709935200.0 10024.1 NA 572 654 0 NA NA NA NA NA NA 1198 1523 0 NA NA NA NA NA NA 3373 1398 492 NA NA NA NA NA NA 1235 1210 561 NA NA NA NA NA
1709935200.0 10024.2 NA 571 1042 0 NA NA NA NA NA NA 1189 2407 0 NA NA NA NA NA NA 3268 3336 545 NA NA NA NA NA NA 1245 2293 740 NA NA NA NA NA
1709935200.0 10024.3 NA 569 626 0 NA NA NA NA NA NA 1206 1486 0 NA NA NA NA NA NA 3263 1326 397 NA NA NA NA NA NA 1241 1216 474 NA NA NA NA NA
1709935200.0 10024.4 NA 570 1036 0 NA NA NA NA NA NA 1201 2407 0 NA NA NA NA NA NA 3158 3113 521 NA NA NA NA NA NA 1163 2522 575 NA NA NA NA NA
1709935200.0 10025.0 NA 560 1040 0 315 437 NA NA NA NA 1188 2390 0 423 1062 NA NA NA NA 3294 2347 577 430 618 NA NA NA NA 1135 2304 634 578 989 NA NA NA
1709935200.0 10026.0 NA 567 1037 0 318 355 NA NA NA NA 1210 2418 0 428 494 NA NA NA NA 3288 4606 605 414 599 NA NA NA NA 1132 3093 972 560 844 NA NA NA
1709935200.0 1003.0 NA 829 0 NA NA NA NA NA NA NA 1736 0 NA NA NA NA NA NA NA 10007 318 NA NA NA NA NA NA NA 4493 342 NA NA NA NA NA NA
1709935200.0 10042.0 NA 566 1042 0 422 351 NA NA NA NA 1185 2428 0 1047 479 NA NA NA NA 3248 2391 541 437 569 NA NA NA NA 1876 2035 578 493 870 NA NA NA
1709935200.0 1005.0 NA 523 377 0 0 NA NA NA NA NA 1337 924 0 0 NA NA NA NA NA 850 293 109 130 NA NA NA NA NA 1478 1096 266 478 NA NA NA NA
1709935200.0 10059.0 NA 573 1054 0 310 356 NA NA NA NA 1212 2406 0 429 488 NA NA NA NA 3311 7477 566 434 564 NA NA NA NA 1141 3324 606 613 768 NA NA NA
1709935200.0 10071.0 NA 569 1052 0 316 355 NA NA NA NA 1186 2396 0 425 489 NA NA NA NA 3568 3036 601 429 605 NA NA NA NA 1461 2196 770 551 821 NA NA NA
