Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1710108000.0 107.0 166 181 350 279 254 492 1576 332 1498 978 419 1712
1710108000.0 110.0 130 176 348 217 251 493 588 313 1423 673 470 1912
1710108000.0 112.0 164 179 353 277 253 490 1354 329 1453 832 497 1803
1710108000.0 113.0 167 181 358 280 254 494 1408 337 1478 935 604 1693
1710108000.0 119.0 167 179 354 274 256 491 1127 326 1456 821 496 1663
1710108000.0 120.0 134 176 344 230 247 494 528 310 1383 530 505 1596
1710108000.0 126.0 130 177 343 210 251 481 992 306 1445 992 451 1737
1710108000.0 127.0 130 176 347 208 247 477 718 310 1411 647 477 1679
1710108000.0 128.0 129 177 343 208 247 478 512 307 1401 518 393 1711
1710108000.0 130.0 129 176 339 219 248 490 575 312 1425 759 408 1808
1710108000.0 131.0 131 178 342 209 251 498 812 315 1429 676 464 1690
1710108000.0 140.202 NA 251 NA NA 358 NA NA 1862 NA NA 1707 NA
1710108000.0 144.6 NA 368 NA NA 509 NA NA 2432 NA NA 2778 NA
1710108000.0 2500.0 NA 235 0 NA 346 0 NA 19310 138 NA 5828 172
1710108000.0 2500.012 NA 258 0 NA 366 0 NA 14114 155 NA 5371 295
1710108000.0 2500.315 NA 240 NA NA 338 NA NA 1122 NA NA 969 NA
1710108000.0 2500.402 NA 202 NA NA 308 NA NA 1407 NA NA 1233 NA
1710108000.0 4001.0 NA 254 446 NA 356 594 NA 595 2118 NA 840 2471
1710108000.0 4006.0 132 246 425 222 350 588 684 584 1874 919 655 1884
1710108000.0 4007.0 128 0 0 204 0 0 567 140 1258 677 590 1676
1710108000.0 4008.0 127 0 0 208 0 0 566 130 1261 714 292 1724
1710108000.0 511.0 100 0 NA 157 0 NA 6380 162 NA 7474 616 NA
1710108000.0 537.0 106 0 NA 178 0 NA 3613 150 NA 3610 220 NA
