Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709589600.0 1.0 97 151 248 NA NA NA NA NA NA 3595 3561 3743 NA NA NA NA NA NA 3304 889 2522 NA NA NA NA NA NA 1890 592 2395 NA NA NA NA NA NA
1709589600.0 10.0 NA 177 337 0 NA NA NA NA NA NA 3639 3885 0 NA NA NA NA NA NA 4759 11516 1430 NA NA NA NA NA NA 1649 6984 1473 NA NA NA NA NA
1709589600.0 1000.0 NA 324 206 0 78 NA NA NA NA NA 3848 3661 0 3490 NA NA NA NA NA 8179 2228 930 531 NA NA NA NA NA 4857 1899 966 513 NA NA NA NA
1709589600.0 10001.0 NA 252 435 0 104 133 NA NA NA NA 3727 3986 0 3540 3574 NA NA NA NA 7450 5100 1112 884 1451 NA NA NA NA 2473 4864 1150 909 1735 NA NA NA
1709589600.0 10002.0 NA 250 438 0 111 134 NA NA NA NA 3727 3986 0 3534 3575 NA NA NA NA 8010 6040 1431 877 1673 NA NA NA NA 2579 5881 1945 888 1658 NA NA NA
1709589600.0 10003.0 NA 252 441 0 111 141 NA NA NA NA 3739 3984 0 3534 3575 NA NA NA NA 6097 6166 1037 786 1562 NA NA NA NA 2034 5510 1082 842 1497 NA NA NA
1709589600.0 10004.0 NA 238 435 0 112 137 NA NA NA NA 3724 4008 0 3530 3573 NA NA NA NA 7211 5668 1538 870 1281 NA NA NA NA 2352 5150 1576 872 1267 NA NA NA
1709589600.0 10005.0 NA 252 437 0 111 137 NA NA NA NA 3736 3992 0 3538 3571 NA NA NA NA 6194 5823 1209 918 1484 NA NA NA NA 2176 5258 1245 1373 1477 NA NA NA
1709589600.0 10006.0 NA 249 429 0 109 129 NA NA NA NA 3720 3976 0 3531 3565 NA NA NA NA 5766 5645 1088 842 1399 NA NA NA NA 1873 5216 1118 840 1432 NA NA NA
1709589600.0 10007.0 NA 240 438 0 139 133 NA NA NA NA 3745 3989 0 3613 3570 NA NA NA NA 5367 5978 929 776 1357 NA NA NA NA 1785 5612 985 820 1361 NA NA NA
1709589600.0 10008.0 NA 252 431 0 135 134 NA NA NA NA 3741 3992 0 3613 3568 NA NA NA NA 6771 4001 843 592 1108 NA NA NA NA 2514 3540 889 613 1645 NA NA NA
1709589600.0 10009.0 NA 241 434 0 136 137 NA NA NA NA 3732 3992 0 3618 3576 NA NA NA NA 7516 6298 1686 919 1341 NA NA NA NA 2419 5559 2105 946 1313 NA NA NA
1709589600.0 1001.0 NA 289 178 0 0 0 0 0 0 NA 3805 3595 0 0 0 0 0 0 NA 7443 957 202 153 218 817 228 663 NA 4763 888 226 181 260 1330 257 698
1709589600.0 1001.2 NA 475 180 0 0 0 0 NA NA NA 4086 3675 0 0 0 0 NA NA NA 33717 2709 307 370 353 393 NA NA NA 10912 1602 359 528 415 434 NA NA
1709589600.0 1001.3 NA 458 192 0 NA NA NA NA NA NA 4058 3663 0 NA NA NA NA NA NA 28599 1972 708 NA NA NA NA NA NA 9152 1265 804 NA NA NA NA NA
1709589600.0 1002.0 NA 316 105 NA NA NA NA NA NA NA 3877 3476 NA NA NA NA NA NA NA 8956 465 NA NA NA NA NA NA NA 5812 367 NA NA NA NA NA NA
1709589600.0 1002.3 NA 449 175 0 NA NA NA NA NA NA 4087 3658 0 NA NA NA NA NA NA 21817 1791 312 NA NA NA NA NA NA 7986 1374 368 NA NA NA NA NA
1709589600.0 1002.4 NA 472 0 NA NA NA NA NA NA NA 4065 0 NA NA NA NA NA NA NA 38200 1508 NA NA NA NA NA NA NA 12623 1630 NA NA NA NA NA NA
1709589600.0 10023.0 NA 251 428 0 104 132 NA NA NA NA 3740 3994 0 3540 3570 NA NA NA NA 7341 5734 900 718 1012 NA NA NA NA 2420 6366 1294 1233 1296 NA NA NA
1709589600.0 10024.0 NA 251 450 0 147 142 NA NA NA NA 3754 3994 0 3606 3579 NA NA NA NA 6543 5704 1270 1125 1682 NA NA NA NA 2107 5166 1320 1140 1633 NA NA NA
1709589600.0 10024.1 NA 249 261 0 NA NA NA NA NA NA 3745 3754 0 NA NA NA NA NA NA 6339 1861 809 NA NA NA NA NA NA 2069 1494 836 NA NA NA NA NA
1709589600.0 10024.2 NA 259 431 0 NA NA NA NA NA NA 3741 3997 0 NA NA NA NA NA NA 7189 6563 706 NA NA NA NA NA NA 2331 6345 751 NA NA NA NA NA
1709589600.0 10024.3 NA 262 243 0 NA NA NA NA NA NA 3735 3764 0 NA NA NA NA NA NA 6106 1622 1021 NA NA NA NA NA NA 1986 1344 1056 NA NA NA NA NA
1709589600.0 10024.4 NA 263 443 0 NA NA NA NA NA NA 3735 4004 0 NA NA NA NA NA NA 8751 7501 1641 NA NA NA NA NA NA 2934 6316 1747 NA NA NA NA NA
1709589600.0 10024.5 NA 244 123 0 NA NA NA NA NA NA 3737 3629 0 NA NA NA NA NA NA 8043 1280 602 NA NA NA NA NA NA 2956 1295 843 NA NA NA NA NA
1709589600.0 10025.0 NA 243 444 0 112 147 NA NA NA NA 3727 3993 0 3537 3572 NA NA NA NA 6565 7517 1309 685 1577 NA NA NA NA 2195 7010 1361 722 1529 NA NA NA
1709589600.0 10026.0 NA 265 448 0 126 138 NA NA NA NA 3752 4012 0 3542 3574 NA NA NA NA 7724 7434 1225 762 1762 NA NA NA NA 2474 5697 1331 758 1787 NA NA NA
1709589600.0 1003.0 NA 344 0 NA NA NA NA NA NA NA 3985 0 NA NA NA NA NA NA NA 5503 681 NA NA NA NA NA NA NA 2766 734 NA NA NA NA NA NA
1709589600.0 1004.0 NA 232 108 0 0 0 0 NA NA NA 3733 3529 0 0 0 0 NA NA NA 2930 658 173 258 886 785 NA NA NA 2471 702 210 322 918 813 NA NA
1709589600.0 10042.0 NA 258 432 0 145 140 NA NA NA NA 3740 3984 0 3611 3568 NA NA NA NA 8394 6631 1288 940 1251 NA NA NA NA 2756 5885 1783 1401 1235 NA NA NA
1709589600.0 1005.0 NA 174 117 0 0 NA NA NA NA NA 3700 3565 0 0 NA NA NA NA NA 1496 638 421 365 NA NA NA NA NA 1425 654 932 778 NA NA NA NA
1709589600.0 10059.0 NA 264 450 0 118 139 NA NA NA NA 3754 4019 0 3542 3571 NA NA NA NA 7933 8267 1110 807 1422 NA NA NA NA 2589 5643 1138 802 1366 NA NA NA
1709589600.0 10071.0 NA 245 450 0 123 139 NA NA NA NA 3745 4019 0 3540 3572 NA NA NA NA 7885 5287 1266 774 1476 NA NA NA NA 2545 4428 1292 768 1724 NA NA NA
1709589600.0 101.0 121 NA NA NA NA NA NA NA NA 3631 NA NA NA NA NA NA NA NA 2512 NA NA NA NA NA NA NA NA 1769 NA NA NA NA NA NA NA NA
1709589600.0 1010.0 NA 49 64 0 NA NA NA NA NA NA 3478 3484 0 NA NA NA NA NA NA 228 465 606 NA NA NA NA NA NA 298 490 898 NA NA NA NA NA
1709589600.0 102.0 135 NA NA NA NA NA NA NA NA 3614 NA NA NA NA NA NA NA NA 2407 NA NA NA NA NA NA NA NA 1838 NA NA NA NA NA NA NA NA
1709589600.0 1020.0 NA 55 51 0 60 NA NA NA NA NA 3496 3466 0 3489 NA NA NA NA NA 440 298 175 616 NA NA NA NA NA 512 321 212 929 NA NA NA NA
1709589600.0 10224.0 NA 429 683 0 148 NA NA NA NA NA 3972 4320 0 3578 NA NA NA NA NA 11399 13042 1648 1557 NA NA NA NA NA 3730 7368 1690 1485 NA NA NA NA
1709589600.0 10224.15 NA 434 666 0 189 NA NA NA NA NA 3978 4294 0 3600 NA NA NA NA NA 10763 10623 1913 1910 NA NA NA NA NA 3562 6039 1997 1737 NA NA NA NA
1709589600.0 10225.0 NA 419 655 0 138 NA NA NA NA NA 3978 4262 0 3576 NA NA NA NA NA 12110 11088 1546 1443 NA NA NA NA NA 3993 6768 1582 1393 NA NA NA NA
1709589600.0 103.0 89 148 310 NA NA NA NA NA NA 3540 3559 3803 NA NA NA NA NA NA 1876 612 5437 NA NA NA NA NA NA 1576 553 5177 NA NA NA NA NA NA
1709589600.0 1030.0 NA 212 94 0 0 NA NA NA NA NA 3752 3469 0 0 NA NA NA NA NA 14280 309 141 132 NA NA NA NA NA 4804 294 177 176 NA NA NA NA
1709589600.0 1040.0 NA 427 43 0 NA NA NA NA NA NA 4031 3457 0 NA NA NA NA NA NA 27500 167 204 NA NA NA NA NA NA 9255 196 241 NA NA NA NA NA
