Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1709589600.0 10.0 NA 202 337 0 NA NA NA NA NA 3641 3892 0 NA NA NA NA NA 3663 9752 1777 NA NA NA NA NA 1334 5433 1897 NA NA NA NA
1709589600.0 10001.0 NA 255 441 0 110 159 NA NA NA 3729 3986 0 3529 3574 NA NA NA 7598 7099 1941 1164 1898 NA NA NA 2505 6755 2126 1235 1897 NA NA
1709589600.0 10002.0 NA 255 445 0 108 145 NA NA NA 3726 4004 0 3524 3569 NA NA NA 6877 6495 1800 1170 1842 NA NA NA 2136 5910 1951 1213 2395 NA NA
1709589600.0 10003.0 NA 255 444 0 108 140 NA NA NA 3724 3986 0 3530 3577 NA NA NA 6622 5202 1964 1191 1797 NA NA NA 2196 4675 2144 1815 2014 NA NA
1709589600.0 10005.0 NA 255 443 0 107 147 NA NA NA 3729 4003 0 3527 3569 NA NA NA 7009 5825 1977 1173 1906 NA NA NA 2425 5356 2455 1224 1863 NA NA
1709589600.0 10006.0 NA 254 437 0 106 136 NA NA NA 3726 3986 0 3530 3573 NA NA NA 8019 6471 2009 1156 1835 NA NA NA 2553 6007 2513 1259 1860 NA NA
1709589600.0 10007.0 NA 237 454 0 139 140 NA NA NA 3728 3992 0 3596 3583 NA NA NA 7724 6471 1935 1198 1842 NA NA NA 2588 5744 2107 1730 1882 NA NA
1709589600.0 10008.0 NA 257 451 0 137 143 NA NA NA 3739 4022 0 3604 3575 NA NA NA 7012 6472 1856 1314 1883 NA NA NA 2160 5867 2046 1934 1871 NA NA
1709589600.0 10009.0 NA 259 445 0 138 146 NA NA NA 3757 4014 0 3598 3579 NA NA NA 7980 5771 1878 1195 1911 NA NA NA 2596 5358 2044 1231 1857 NA NA
1709589600.0 1001.2 NA 485 185 0 0 0 0 0 NA 4118 3666 0 0 0 0 0 NA 36328 3132 465 441 393 445 333 NA 12104 1994 1037 562 451 489 365
1709589600.0 10023.0 NA 257 439 0 107 141 NA NA NA 3750 4002 0 3535 3574 NA NA NA 6775 6355 2066 1136 1984 NA NA NA 2300 5939 2571 1191 2406 NA NA
1709589600.0 10024.0 NA 267 458 0 139 150 NA NA NA 3765 3985 0 3596 3578 NA NA NA 6699 7374 2031 1166 1891 NA NA NA 2281 6084 2091 1274 1783 NA NA
