Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709762400.0 1.0 103 146 256 NA NA NA NA NA NA 3586 3555 3741 NA NA NA NA NA NA 2873 830 2439 NA NA NA NA NA NA 1701 571 2334 NA NA NA NA NA NA
1709762400.0 10.0 NA 159 339 0 NA NA NA NA NA NA 3636 3880 0 NA NA NA NA NA NA 4540 10447 1362 NA NA NA NA NA NA 1618 5966 1411 NA NA NA NA NA
1709762400.0 1000.0 NA 323 202 0 81 NA NA NA NA NA 3850 3664 0 3474 NA NA NA NA NA 8707 2311 1077 712 NA NA NA NA NA 5184 1989 1131 681 NA NA NA NA
1709762400.0 10001.0 NA 242 441 0 107 140 NA NA NA NA 3722 3994 0 3516 3574 NA NA NA NA 6211 5151 1112 719 765 NA NA NA NA 2106 4752 1143 720 773 NA NA NA
1709762400.0 10002.0 NA 255 446 0 125 141 NA NA NA NA 3734 3984 0 3519 3565 NA NA NA NA 5658 6215 1274 895 1478 NA NA NA NA 1878 6175 1331 898 1413 NA NA NA
1709762400.0 10003.0 NA 253 430 0 108 157 NA NA NA NA 3743 3986 0 3523 3573 NA NA NA NA 7920 6675 1463 1017 1816 NA NA NA NA 2636 7218 1937 1053 1749 NA NA NA
1709762400.0 10004.0 NA 243 432 0 107 139 NA NA NA NA 3728 3975 0 3525 3567 NA NA NA NA 6832 6584 1271 913 1582 NA NA NA NA 2935 6387 1353 924 2733 NA NA NA
1709762400.0 10005.0 NA 250 442 0 136 144 NA NA NA NA 3735 3994 0 3527 3576 NA NA NA NA 6123 5259 1420 932 1189 NA NA NA NA 2013 4739 1500 966 1156 NA NA NA
1709762400.0 10006.0 NA 238 436 0 106 134 NA NA NA NA 3740 3986 0 3528 3564 NA NA NA NA 8017 6441 1569 996 1533 NA NA NA NA 2713 5972 1617 1023 2144 NA NA NA
1709762400.0 10007.0 NA 241 446 0 140 159 NA NA NA NA 3750 3996 0 3600 3567 NA NA NA NA 6586 4856 1378 751 1447 NA NA NA NA 2157 4355 1431 781 1413 NA NA NA
1709762400.0 10008.0 NA 256 441 0 138 141 NA NA NA NA 3732 3983 0 3594 3572 NA NA NA NA 4487 4637 819 699 796 NA NA NA NA 1964 4069 850 719 768 NA NA NA
1709762400.0 10009.0 NA 252 446 0 136 146 NA NA NA NA 3732 3994 0 3599 3569 NA NA NA NA 6924 6263 1406 926 1458 NA NA NA NA 2268 5739 1467 941 1407 NA NA NA
1709762400.0 1001.0 NA 284 147 0 0 0 0 0 0 NA 3805 3568 0 0 0 0 0 0 NA 8116 1220 196 194 280 991 388 849 NA 5076 1785 408 225 307 1032 446 880
1709762400.0 1001.2 NA 482 180 0 0 0 0 NA NA NA 4130 3662 0 0 0 0 NA NA NA 37684 2741 308 355 321 363 NA NA NA 12422 1711 339 959 351 387 NA NA
1709762400.0 1001.3 NA 467 183 0 NA NA NA NA NA NA 4102 3666 0 NA NA NA NA NA NA 29212 2483 641 NA NA NA NA NA NA 10311 1805 696 NA NA NA NA NA
1709762400.0 1001.4 NA 475 135 0 0 0 NA NA NA NA 4081 3592 0 0 0 NA NA NA NA 26681 841 323 265 309 NA NA NA NA 9049 902 370 296 348 NA NA NA
1709762400.0 1002.0 NA 319 95 NA NA NA NA NA NA NA 3882 3473 NA NA NA NA NA NA NA 8855 571 NA NA NA NA NA NA NA 6181 441 NA NA NA NA NA NA
1709762400.0 1002.3 NA 459 206 0 NA NA NA NA NA NA 4085 3644 0 NA NA NA NA NA NA 16980 1494 595 NA NA NA NA NA NA 7011 1117 656 NA NA NA NA NA
1709762400.0 1002.4 NA 512 0 NA NA NA NA NA NA NA 4099 0 NA NA NA NA NA NA NA 30253 1056 NA NA NA NA NA NA NA 10336 1086 NA NA NA NA NA NA
1709762400.0 10023.0 NA 244 434 0 106 136 NA NA NA NA 3730 3994 0 3529 3564 NA NA NA NA 7756 5496 1413 878 1435 NA NA NA NA 2617 5965 1461 922 1421 NA NA NA
1709762400.0 10024.0 NA 257 462 0 139 147 NA NA NA NA 3750 4019 0 3609 3567 NA NA NA NA 5981 6581 1567 863 1578 NA NA NA NA 1937 5534 1605 858 1723 NA NA NA
1709762400.0 10024.1 NA 257 274 0 NA NA NA NA NA NA 3748 3757 0 NA NA NA NA NA NA 6547 2316 1078 NA NA NA NA NA NA 2138 1795 1112 NA NA NA NA NA
1709762400.0 10024.2 NA 261 443 0 NA NA NA NA NA NA 3736 3982 0 NA NA NA NA NA NA 7136 5929 1579 NA NA NA NA NA NA 2337 4935 1627 NA NA NA NA NA
1709762400.0 10024.3 NA 267 251 0 NA NA NA NA NA NA 3747 3717 0 NA NA NA NA NA NA 5354 1875 950 NA NA NA NA NA NA 1791 1612 976 NA NA NA NA NA
1709762400.0 10024.4 NA 268 443 0 NA NA NA NA NA NA 3750 3989 0 NA NA NA NA NA NA 6462 5653 1423 NA NA NA NA NA NA 2590 4674 1468 NA NA NA NA NA
1709762400.0 10025.0 NA 254 438 0 108 142 NA NA NA NA 3737 4006 0 3533 3567 NA NA NA NA 6695 6219 1756 1038 1462 NA NA NA NA 2544 7124 1837 1245 1389 NA NA NA
1709762400.0 10026.0 NA 252 457 0 126 148 NA NA NA NA 3736 4031 0 3527 3576 NA NA NA NA 7184 7839 1344 802 1445 NA NA NA NA 2390 5777 1377 819 1347 NA NA NA
1709762400.0 1003.0 NA 349 0 NA NA NA NA NA NA NA 4007 0 NA NA NA NA NA NA NA 4953 812 NA NA NA NA NA NA NA 2749 848 NA NA NA NA NA NA
1709762400.0 10042.0 NA 258 445 0 146 155 NA NA NA NA 3737 3976 0 3597 3576 NA NA NA NA 5961 6218 1523 934 1427 NA NA NA NA 2437 5471 1554 937 1379 NA NA NA
1709762400.0 1005.0 NA 179 114 0 0 NA NA NA NA NA 3699 3560 0 0 NA NA NA NA NA 1693 788 336 314 NA NA NA NA NA 1636 835 400 378 NA NA NA NA
1709762400.0 10059.0 NA 266 451 0 110 145 NA NA NA NA 3756 4007 0 3528 3574 NA NA NA NA 6171 10744 1631 945 1591 NA NA NA NA 3048 7287 1812 1128 1498 NA NA NA
1709762400.0 10071.0 NA 249 452 0 128 149 NA NA NA NA 3737 4007 0 3531 3576 NA NA NA NA 8039 5629 1836 912 1692 NA NA NA NA 2581 4710 2116 911 1613 NA NA NA
1709762400.0 101.0 137 NA NA NA NA NA NA NA NA 3622 NA NA NA NA NA NA NA NA 2845 NA NA NA NA NA NA NA NA 2078 NA NA NA NA NA NA NA NA
1709762400.0 1010.0 NA 54 82 0 NA NA NA NA NA NA 3475 3473 0 NA NA NA NA NA NA 405 695 443 NA NA NA NA NA NA 467 830 488 NA NA NA NA NA
1709762400.0 102.0 123 NA NA NA NA NA NA NA NA 3607 NA NA NA NA NA NA NA NA 2766 NA NA NA NA NA NA NA NA 2175 NA NA NA NA NA NA NA NA
1709762400.0 1020.0 NA 59 56 0 54 NA NA NA NA NA 3492 3453 0 3487 NA NA NA NA NA 569 418 229 502 NA NA NA NA NA 651 511 293 578 NA NA NA NA
1709762400.0 10224.0 NA 441 683 0 149 NA NA NA NA NA 4014 4349 0 3578 NA NA NA NA NA 12147 11293 1554 1454 NA NA NA NA NA 3937 6586 1601 1351 NA NA NA NA
1709762400.0 10224.15 NA 450 682 0 176 NA NA NA NA NA 3992 4390 0 3581 NA NA NA NA NA 11477 10246 1553 1898 NA NA NA NA NA 3771 5966 1593 1683 NA NA NA NA
1709762400.0 10225.0 NA 420 667 0 155 NA NA NA NA NA 4014 4358 0 3570 NA NA NA NA NA 10211 9079 1581 1341 NA NA NA NA NA 3316 5662 1620 1266 NA NA NA NA
1709762400.0 103.0 85 0 0 NA NA NA NA NA NA 3521 0 0 NA NA NA NA NA NA 1951 346 5143 NA NA NA NA NA NA 1646 356 5088 NA NA NA NA NA NA
1709762400.0 1030.0 NA 217 69 0 0 NA NA NA NA NA 3799 3469 0 0 NA NA NA NA NA 15810 525 215 154 NA NA NA NA NA 4979 498 298 185 NA NA NA NA
1709762400.0 1040.0 NA 432 53 0 NA NA NA NA NA NA 4060 3444 0 NA NA NA NA NA NA 26629 327 244 NA NA NA NA NA NA 8599 359 276 NA NA NA NA NA
1709762400.0 1040.1 NA 90 57 0 NA NA NA NA NA NA 3529 3446 0 NA NA NA NA NA NA 1010 444 276 NA NA NA NA NA NA 1076 508 312 NA NA NA NA NA
1709762400.0 1041.0 NA 83 48 0 NA NA NA NA NA NA 3531 3455 0 NA NA NA NA NA NA 796 504 188 NA NA NA NA NA NA 843 552 220 NA NA NA NA NA
1709762400.0 1042.0 NA 102 72 0 NA NA NA NA NA NA 3524 3450 0 NA NA NA NA NA NA 1173 514 227 NA NA NA NA NA NA 1249 525 254 NA NA NA NA NA
1709762400.0 10424.0 NA 215 434 0 NA NA NA NA NA NA 3688 4000 0 NA NA NA NA NA NA 1199 7178 1473 NA NA NA NA NA NA 1085 6105 2701 NA NA NA NA NA
1709762400.0 1043.0 NA 67 48 0 NA NA NA NA NA NA 3498 3459 0 NA NA NA NA NA NA 964 469 164 NA NA NA NA NA NA 917 519 192 NA NA NA NA NA
1709762400.0 1044.0 NA 65 69 0 NA NA NA NA NA NA 3494 3469 0 NA NA NA NA NA NA 857 629 237 NA NA NA NA NA NA 786 668 265 NA NA NA NA NA
1709762400.0 1045.0 NA 66 56 0 NA NA NA NA NA NA 3499 3461 0 NA NA NA NA NA NA 922 559 192 NA NA NA NA NA NA 863 530 227 NA NA NA NA NA
1709762400.0 105.0 105 148 43 NA NA NA NA NA NA 3590 3558 3441 NA NA NA NA NA NA 3626 869 273 NA NA NA NA NA NA 1923 609 302 NA NA NA NA NA NA
1709762400.0 1052.0 NA 187 115 0 NA NA NA NA NA NA 3696 3564 0 NA NA NA NA NA NA 1622 879 215 NA NA NA NA NA NA 1525 995 244 NA NA NA NA NA
1709762400.0 1052.1 NA 120 0 NA NA NA NA NA NA NA 3578 0 NA NA NA NA NA NA NA 797 216 NA NA NA NA NA NA NA 958 253 NA NA NA NA NA NA
1709762400.0 106.0 85 0 0 NA NA NA NA NA NA 3520 0 0 NA NA NA NA NA NA 1922 344 5240 NA NA NA NA NA NA 1968 351 5118 NA NA NA NA NA NA
1709762400.0 1060.1 NA 133 NA NA NA NA NA NA NA NA 3604 NA NA NA NA NA NA NA NA 1940 NA NA NA NA NA NA NA NA 1386 NA NA NA NA NA NA NA
1709762400.0 1060.2 NA 132 NA NA NA NA NA NA NA NA 3607 NA NA NA NA NA NA NA NA 1859 NA NA NA NA NA NA NA NA 1569 NA NA NA NA NA NA NA
1709762400.0 107.0 118 185 327 NA NA NA NA NA NA 3590 3556 3843 NA NA NA NA NA NA 4637 774 4244 NA NA NA NA NA NA 2131 522 3738 NA NA NA NA NA NA
1709762400.0 108.0 119 184 332 NA NA NA NA NA NA 3594 3567 3831 NA NA NA NA NA NA 4350 626 4009 NA NA NA NA NA NA 2038 423 3486 NA NA NA NA NA NA
1709762400.0 10801.0 NA 243 471 0 109 145 NA NA NA NA 3731 3972 0 3523 3579 NA NA NA NA 6537 3599 1080 654 748 NA NA NA NA 2211 3250 1105 665 743 NA NA NA
1709762400.0 10802.0 NA 229 436 0 106 138 NA NA NA NA 3726 3999 0 3519 3572 NA NA NA NA 7747 6278 1789 1024 1523 NA NA NA NA 2549 5714 1872 1190 1470 NA NA NA
1709762400.0 10803.0 NA 247 437 0 108 152 NA NA NA NA 3722 3994 0 3523 3584 NA NA NA NA 6483 5964 1444 943 1336 NA NA NA NA 2085 5292 1487 972 1311 NA NA NA
1709762400.0 10804.0 NA 242 439 0 109 151 NA NA NA NA 3710 3988 0 3529 3579 NA NA NA NA 6669 5381 1253 872 1388 NA NA NA NA 2207 4939 1293 890 1351 NA NA NA
