Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1710108000.0 1.0 154 170 274 NA NA NA NA 259 236 381 NA NA NA NA 1109 293 845 NA NA NA NA 745 365 917 NA NA NA NA
1710108000.0 1002.0 NA 359 135 NA NA NA NA NA 510 169 NA NA NA NA NA 2364 189 NA NA NA NA NA 2158 268 NA NA NA NA
1710108000.0 1004.0 NA 267 148 0 0 0 0 NA 404 206 0 0 0 0 NA 796 221 69 96 207 206 NA 1238 512 273 267 366 325
1710108000.0 101.0 160 NA NA NA NA NA NA 292 NA NA NA NA NA NA 721 NA NA NA NA NA NA 697 NA NA NA NA NA NA
1710108000.0 102.0 164 NA NA NA NA NA NA 271 NA NA NA NA NA NA 678 NA NA NA NA NA NA 840 NA NA NA NA NA NA
1710108000.0 103.0 121 0 0 NA NA NA NA 198 0 0 NA NA NA NA 536 118 1140 NA NA NA NA 617 203 1483 NA NA NA NA
1710108000.0 1052.1 NA 143 0 NA NA NA NA NA 233 0 NA NA NA NA NA 210 72 NA NA NA NA NA 838 145 NA NA NA NA
1710108000.0 106.0 123 0 0 NA NA NA NA 198 0 0 NA NA NA NA 545 117 1148 NA NA NA NA 853 207 1419 NA NA NA NA
1710108000.0 1060.1 NA 154 NA NA NA NA NA NA 243 NA NA NA NA NA NA 529 NA NA NA NA NA NA 569 NA NA NA NA NA
1710108000.0 1060.2 NA 149 NA NA NA NA NA NA 246 NA NA NA NA NA NA 458 NA NA NA NA NA NA 553 NA NA NA NA NA
1710108000.0 110.0 129 171 341 NA NA NA NA 207 243 469 NA NA NA NA 574 277 1358 NA NA NA NA 943 269 1823 NA NA NA NA
1710108000.0 11024.15 NA 566 800 0 187 NA NA NA 732 1094 0 263 NA NA NA 3478 3654 635 564 NA NA NA 1703 2299 882 661 NA NA
1710108000.0 111.0 151 177 351 NA NA NA NA 259 244 474 NA NA NA NA 1016 262 1346 NA NA NA NA 774 369 1748 NA NA NA NA
1710108000.0 115.0 165 177 352 NA NA NA NA 273 246 485 NA NA NA NA 1622 311 1391 NA NA NA NA 959 287 1676 NA NA NA NA
1710108000.0 11634.1 NA 272 281 0 NA NA NA NA 353 402 0 NA NA NA NA 395 641 1054 NA NA NA NA 335 848 1165 NA NA NA
1710108000.0 11634.911 118 262 497 0 156 NA NA 232 339 702 0 221 NA NA 2519 1165 2304 1008 455 NA NA 1365 713 1859 1130 677 NA NA
1710108000.0 11650.911 109 260 488 0 177 NA NA 222 333 694 0 265 NA NA 1779 1152 2232 1131 773 NA NA 1409 742 2163 1347 692 NA NA
1710108000.0 11723.17 NA 276 512 0 NA NA NA NA 361 711 0 NA NA NA NA 429 2031 663 NA NA NA NA 627 2050 794 NA NA NA
1710108000.0 119.0 158 175 349 NA NA NA NA 269 243 473 NA NA NA NA 1106 304 1384 NA NA NA NA 931 630 1661 NA NA NA NA
1710108000.0 120.0 128 172 339 NA NA NA NA 208 241 465 NA NA NA NA 522 288 1304 NA NA NA NA 729 399 1730 NA NA NA NA
1710108000.0 12034.0 NA 258 497 0 NA NA NA NA 349 692 0 NA NA NA NA 410 1685 613 NA NA NA NA 461 2064 933 NA NA NA
1710108000.0 122.0 121 0 0 NA NA NA NA 197 0 0 NA NA NA NA 536 116 1178 NA NA NA NA 583 315 1672 NA NA NA NA
1710108000.0 123.1 400 NA NA NA NA NA NA 523 NA NA NA NA NA NA 769 NA NA NA NA NA NA 749 NA NA NA NA NA NA
1710108000.0 123.2 398 NA NA NA NA NA NA 523 NA NA NA NA NA NA 871 NA NA NA NA NA NA 739 NA NA NA NA NA NA
1710108000.0 123.3 307 NA NA NA NA NA NA 425 NA NA NA NA NA NA 681 NA NA NA NA NA NA 730 NA NA NA NA NA NA
1710108000.0 124.1 384 NA NA NA NA NA NA 473 NA NA NA NA NA NA 666 NA NA NA NA NA NA 661 NA NA NA NA NA NA
1710108000.0 124.2 379 NA NA NA NA NA NA 527 NA NA NA NA NA NA 720 NA NA NA NA NA NA 688 NA NA NA NA NA NA
1710108000.0 124.4 365 NA NA NA NA NA NA 486 NA NA NA NA NA NA 676 NA NA NA NA NA NA 699 NA NA NA NA NA NA
1710108000.0 124.5 370 NA NA NA NA NA NA 488 NA NA NA NA NA NA 671 NA NA NA NA NA NA 652 NA NA NA NA NA NA
1710108000.0 124.6 315 NA NA NA NA NA NA 416 NA NA NA NA NA NA 684 NA NA NA NA NA NA 894 NA NA NA NA NA NA
