Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709503200.0 1.0 158 177 288 NA NA NA NA NA NA 268 242 418 NA NA NA NA NA NA 1106 293 878 NA NA NA NA NA NA 882 614 1078 NA NA NA NA NA NA
1709503200.0 10.0 NA 214 392 0 NA NA NA NA NA NA 299 550 0 NA NA NA NA NA NA 1220 2639 366 NA NA NA NA NA NA 527 1816 399 NA NA NA NA NA
1709503200.0 1000.0 NA 374 250 0 115 NA NA NA NA NA 518 325 0 171 NA NA NA NA NA 2247 743 297 259 NA NA NA NA NA 1844 1084 402 375 NA NA NA NA
1709503200.0 10001.0 NA 296 420 0 153 175 NA NA NA NA 388 665 0 221 249 NA NA NA NA 1378 1503 390 357 503 NA NA NA NA 577 1458 469 625 540 NA NA NA
1709503200.0 10002.0 NA 291 421 0 154 175 NA NA NA NA 370 657 0 211 256 NA NA NA NA 1451 1518 394 324 500 NA NA NA NA 691 1447 449 378 503 NA NA NA
1709503200.0 10003.0 NA 297 461 0 154 178 NA NA NA NA 394 666 0 216 252 NA NA NA NA 1428 1606 414 327 507 NA NA NA NA 580 1738 493 465 531 NA NA NA
1709503200.0 10004.0 NA 290 452 0 155 174 NA NA NA NA 375 649 0 220 260 NA NA NA NA 1432 1488 429 314 499 NA NA NA NA 567 1639 649 380 525 NA NA NA
1709503200.0 10005.0 NA 294 421 0 154 172 NA NA NA NA 379 656 0 218 257 NA NA NA NA 1464 1476 385 327 546 NA NA NA NA 706 1437 436 412 700 NA NA NA
1709503200.0 10006.0 NA 294 459 0 154 169 NA NA NA NA 373 669 0 213 247 NA NA NA NA 1433 1483 422 320 475 NA NA NA NA 581 1482 642 372 514 NA NA NA
1709503200.0 10007.0 NA 298 463 0 183 168 NA NA NA NA 380 648 0 288 256 NA NA NA NA 1447 1512 379 354 539 NA NA NA NA 610 1468 413 556 726 NA NA NA
1709503200.0 10008.0 NA 299 475 0 186 172 NA NA NA NA 395 662 0 293 255 NA NA NA NA 1439 1485 388 317 491 NA NA NA NA 718 1467 434 361 536 NA NA NA
1709503200.0 10009.0 NA 300 475 0 185 175 NA NA NA NA 394 672 0 287 259 NA NA NA NA 1470 1572 376 337 496 NA NA NA NA 603 1821 412 437 508 NA NA NA
1709503200.0 1001.0 NA 328 192 0 0 0 0 0 0 NA 463 274 0 0 0 0 0 0 NA 1952 413 88 71 93 213 132 209 NA 2943 847 195 184 153 346 386 253
1709503200.0 1001.2 NA 534 235 0 0 0 0 NA NA NA 774 349 0 0 0 0 NA NA NA 9994 768 108 114 129 135 NA NA NA 3786 1081 159 204 300 182 NA NA
1709503200.0 1001.3 NA 523 235 0 NA NA NA NA NA NA 735 352 0 NA NA NA NA NA NA 7117 764 243 NA NA NA NA NA NA 2863 975 400 NA NA NA NA NA
1709503200.0 1001.4 NA 532 184 0 0 0 NA NA NA NA 757 280 0 0 0 NA NA NA NA 7308 347 126 117 131 NA NA NA NA 2688 492 175 142 174 NA NA NA
1709503200.0 1002.0 NA 368 141 NA NA NA NA NA NA NA 505 175 NA NA NA NA NA NA NA 2364 207 NA NA NA NA NA NA NA 2319 334 NA NA NA NA NA NA
1709503200.0 1002.3 NA 507 224 0 NA NA NA NA NA NA 721 334 0 NA NA NA NA NA NA 5794 659 249 NA NA NA NA NA NA 2282 921 402 NA NA NA NA NA
1709503200.0 1002.4 NA 520 0 NA NA NA NA NA NA NA 727 0 NA NA NA NA NA NA NA 9130 382 NA NA NA NA NA NA NA 3409 452 NA NA NA NA NA NA
1709503200.0 10023.0 NA 297 470 0 154 171 NA NA NA NA 400 653 0 210 253 NA NA NA NA 1430 1519 421 338 475 NA NA NA NA 594 1760 492 412 532 NA NA NA
1709503200.0 10024.0 NA 307 452 0 187 178 NA NA NA NA 399 680 0 301 256 NA NA NA NA 1545 1766 417 352 550 NA NA NA NA 690 1735 453 465 615 NA NA NA
1709503200.0 10024.1 NA 309 303 0 NA NA NA NA NA NA 400 421 0 NA NA NA NA NA NA 1390 660 380 NA NA NA NA NA NA 559 644 516 NA NA NA NA NA
1709503200.0 10024.2 NA 309 484 0 NA NA NA NA NA NA 406 654 0 NA NA NA NA NA NA 1388 1650 384 NA NA NA NA NA NA 558 1625 502 NA NA NA NA NA
1709503200.0 10024.3 NA 308 279 0 NA NA NA NA NA NA 397 405 0 NA NA NA NA NA NA 1395 635 313 NA NA NA NA NA NA 580 742 354 NA NA NA NA NA
1709503200.0 10024.4 NA 309 478 0 NA NA NA NA NA NA 394 643 0 NA NA NA NA NA NA 1380 1537 384 NA NA NA NA NA NA 554 1362 474 NA NA NA NA NA
1709503200.0 10025.0 NA 301 472 0 155 167 NA NA NA NA 402 659 0 215 262 NA NA NA NA 1436 1529 420 315 522 NA NA NA NA 595 1526 468 370 601 NA NA NA
1709503200.0 10026.0 NA 291 479 0 159 169 NA NA NA NA 406 676 0 220 249 NA NA NA NA 1563 1963 419 315 532 NA NA NA NA 1043 2013 455 397 609 NA NA NA
1709503200.0 1003.0 NA 380 0 NA NA NA NA NA NA NA 658 0 NA NA NA NA NA NA NA 2492 260 NA NA NA NA NA NA NA 1851 398 NA NA NA NA NA NA
1709503200.0 1004.0 NA 266 151 0 0 0 0 NA NA NA 397 216 0 0 0 0 NA NA NA 843 244 69 99 253 240 NA NA NA 1181 587 132 288 469 292 NA NA
1709503200.0 10042.0 NA 301 479 0 187 175 NA NA NA NA 384 642 0 287 253 NA NA NA NA 1450 1548 428 345 503 NA NA NA NA 815 1860 603 548 679 NA NA NA
1709503200.0 1005.0 NA 206 156 0 0 NA NA NA NA NA 355 251 0 0 NA NA NA NA NA 527 240 94 110 NA NA NA NA NA 736 508 178 237 NA NA NA NA
1709503200.0 10059.0 NA 308 489 0 159 179 NA NA NA NA 395 681 0 224 254 NA NA NA NA 1550 2355 435 346 532 NA NA NA NA 833 2462 506 778 629 NA NA NA
1709503200.0 10071.0 NA 306 472 0 157 178 NA NA NA NA 410 660 0 222 252 NA NA NA NA 1479 1791 454 317 562 NA NA NA NA 609 2176 617 373 714 NA NA NA
1709503200.0 101.0 162 NA NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA NA 716 NA NA NA NA NA NA NA NA 630 NA NA NA NA NA NA NA NA
1709503200.0 1010.0 NA 89 102 0 NA NA NA NA NA NA 148 162 0 NA NA NA NA NA NA 143 181 159 NA NA NA NA NA NA 268 262 270 NA NA NA NA NA
1709503200.0 102.0 162 NA NA NA NA NA NA NA NA 282 NA NA NA NA NA NA NA NA 673 NA NA NA NA NA NA NA NA 726 NA NA NA NA NA NA NA NA
1709503200.0 1020.0 NA 97 80 0 89 NA NA NA NA NA 164 145 0 162 NA NA NA NA NA 167 134 73 175 NA NA NA NA NA 309 242 679 600 NA NA NA NA
1709503200.0 10224.0 NA 485 732 0 178 NA NA NA NA NA 641 1032 0 259 NA NA NA NA NA 2740 2942 436 542 NA NA NA NA NA 1430 2143 499 762 NA NA NA NA
1709503200.0 10224.15 NA 484 699 0 194 NA NA NA NA NA 641 961 0 283 NA NA NA NA NA 2887 2992 461 614 NA NA NA NA NA 1285 2616 778 665 NA NA NA NA
1709503200.0 10225.0 NA 474 714 0 171 NA NA NA NA NA 628 983 0 251 NA NA NA NA NA 2708 2679 419 515 NA NA NA NA NA 1149 2131 540 859 NA NA NA NA
1709503200.0 103.0 124 0 0 NA NA NA NA NA NA 204 0 0 NA NA NA NA NA NA 530 119 1158 NA NA NA NA NA NA 796 157 1380 NA NA NA NA NA NA
1709503200.0 1030.0 NA 264 104 0 0 NA NA NA NA NA 400 163 0 0 NA NA NA NA NA 4759 168 65 63 NA NA NA NA NA 1722 220 143 94 NA NA NA NA
1709503200.0 1040.0 NA 476 87 0 NA NA NA NA NA NA 697 139 0 NA NA NA NA NA NA 8090 132 100 NA NA NA NA NA NA 2910 211 170 NA NA NA NA NA
1709503200.0 1040.1 NA 124 85 0 NA NA NA NA NA NA 199 140 0 NA NA NA NA NA NA 374 149 102 NA NA NA NA NA NA 733 733 128 NA NA NA NA NA
1709503200.0 1041.0 NA 122 93 0 NA NA NA NA NA NA 198 151 0 NA NA NA NA NA NA 246 138 77 NA NA NA NA NA NA 456 173 122 NA NA NA NA NA
1709503200.0 1042.0 NA 127 87 0 NA NA NA NA NA NA 201 147 0 NA NA NA NA NA NA 396 154 81 NA NA NA NA NA NA 777 234 342 NA NA NA NA NA
1709503200.0 10424.0 NA 260 467 0 NA NA NA NA NA NA 336 665 0 NA NA NA NA NA NA 369 1658 418 NA NA NA NA NA NA 414 2396 476 NA NA NA NA NA
1709503200.0 1043.0 NA 105 89 0 NA NA NA NA NA NA 178 156 0 NA NA NA NA NA NA 282 147 70 NA NA NA NA NA NA 330 245 101 NA NA NA NA NA
