Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1710025200.0 1.0 68 159 135 NA NA 87 182 167 NA NA 1003 332 324 NA NA 1031 384 361 NA NA
1710025200.0 1000.0 NA 197 105 0 48 NA 236 130 0 64 NA 1927 334 305 99 NA 2012 923 332 125
1710025200.0 1001.0 NA 189 47 0 NA NA 214 62 0 NA NA 1632 36 32 NA NA 1808 59 58 NA
1710025200.0 1002.0 NA 190 64 NA NA NA 218 82 NA NA NA 1681 139 NA NA NA 1735 156 NA NA
1710025200.0 101.0 103 NA NA NA NA 124 NA NA NA NA 578 NA NA NA NA 602 NA NA NA NA
1710025200.0 102.0 101 NA NA NA NA 123 NA NA NA NA 490 NA NA NA NA 512 NA NA NA NA
1710025200.0 103.0 62 0 0 NA NA 78 0 0 NA NA 366 280 211 NA NA 392 336 242 NA NA
1710025200.0 105.0 67 170 50 NA NA 87 200 63 NA NA 1028 366 27 NA NA 1061 423 43 NA NA
1710025200.0 106.0 63 0 0 NA NA 78 0 0 NA NA 368 276 215 NA NA 388 321 249 NA NA
1710025200.0 107.0 69 172 193 NA NA 88 202 221 NA NA 1687 394 456 NA NA 1723 455 498 NA NA
1710025200.0 108.0 68 172 194 NA NA 87 202 221 NA NA 1794 389 460 NA NA 1821 416 505 NA NA
1710025200.0 109.0 69 173 194 NA NA 88 204 222 NA NA 2460 409 490 NA NA 2548 447 525 NA NA
1710025200.0 110.0 64 169 190 NA NA 81 199 217 NA NA 477 362 394 NA NA 494 421 434 NA NA
1710025200.0 111.0 68 170 192 NA NA 87 201 220 NA NA 1062 345 383 NA NA 1087 411 430 NA NA
1710025200.0 112.0 68 171 192 NA NA 88 201 220 NA NA 1727 373 458 NA NA 1790 411 498 NA NA
1710025200.0 113.0 70 171 184 NA NA 90 204 221 NA NA 2130 384 459 NA NA 2159 413 484 NA NA
1710025200.0 114.0 71 171 193 NA NA 90 204 222 NA NA 2499 380 475 NA NA 2532 411 499 NA NA
1710025200.0 115.0 70 172 195 NA NA 90 204 223 NA NA 2183 394 499 NA NA 2278 631 533 NA NA
1710025200.0 116.0 67 171 194 NA NA 90 204 222 NA NA 2300 379 464 NA NA 2349 411 491 NA NA
1710025200.0 117.0 71 173 196 NA NA 90 205 223 NA NA 2875 413 520 NA NA 2980 453 564 NA NA
1710025200.0 118.0 71 174 196 NA NA 91 206 224 NA NA 2741 429 534 NA NA 2839 463 566 NA NA
1710025200.0 119.0 68 169 193 NA NA 87 201 220 NA NA 1555 372 439 NA NA 1580 403 495 NA NA
1710025200.0 120.0 62 169 190 NA NA 75 199 217 NA NA 371 359 393 NA NA 388 417 433 NA NA
1710025200.0 1200.0 91 206 0 NA NA 121 230 0 NA NA 175 594 85 NA NA 215 659 105 NA NA
1710025200.0 1201.0 237 NA NA NA NA 276 NA NA NA NA 688 NA NA NA NA 741 NA NA NA NA
1710025200.0 121.0 71 174 196 NA NA 91 205 224 NA NA 2792 435 554 NA NA 2900 467 586 NA NA
1710025200.0 122.0 66 170 191 NA NA 85 200 218 NA NA 476 300 319 NA NA 493 369 357 NA NA
1710025200.0 123.1 234 NA NA NA NA 274 NA NA NA NA 628 NA NA NA NA 680 NA NA NA NA
1710025200.0 123.2 239 NA NA NA NA 276 NA NA NA NA 767 NA NA NA NA 828 NA NA NA NA
1710025200.0 123.3 220 NA NA NA NA 259 NA NA NA NA 490 NA NA NA NA 522 NA NA NA NA
1710025200.0 124.1 227 NA NA NA NA 266 NA NA NA NA 497 NA NA NA NA 540 NA NA NA NA
1710025200.0 124.2 233 NA NA NA NA 272 NA NA NA NA 585 NA NA NA NA 651 NA NA NA NA
1710025200.0 124.4 227 NA NA NA NA 266 NA NA NA NA 502 NA NA NA NA 541 NA NA NA NA
1710025200.0 124.5 228 NA NA NA NA 267 NA NA NA NA 514 NA NA NA NA 556 NA NA NA NA
1710025200.0 124.6 220 NA NA NA NA 259 NA NA NA NA 499 NA NA NA NA 531 NA NA NA NA
1710025200.0 125.0 68 171 194 NA NA 88 201 220 NA NA 1793 386 443 NA NA 1826 442 480 NA NA
1710025200.0 126.0 63 170 190 NA NA 81 200 218 NA NA 690 367 396 NA NA 723 423 442 NA NA
1710025200.0 127.0 62 169 190 NA NA 76 199 218 NA NA 547 361 403 NA NA 568 423 441 NA NA
1710025200.0 128.0 62 169 189 NA NA 75 199 217 NA NA 349 359 384 NA NA 368 408 420 NA NA
1710025200.0 129.0 62 169 189 NA NA 76 199 217 NA NA 357 358 383 NA NA 374 415 419 NA NA
1710025200.0 130.0 63 169 190 NA NA 76 199 217 NA NA 408 361 389 NA NA 428 424 425 NA NA
1710025200.0 1301.0 75 162 139 NA NA 94 189 174 NA NA 686 326 318 NA NA 742 446 413 NA NA
1710025200.0 1302.0 79 166 145 NA NA 99 190 178 NA NA 3525 388 472 NA NA 3598 439 541 NA NA
1710025200.0 1303.0 81 171 149 NA NA 102 193 177 NA NA 9240 525 634 NA NA 10916 575 699 NA NA
1710025200.0 1307.0 68 0 0 0 0 82 0 0 0 0 382 263 179 58 346 434 363 251 73 374
1710025200.0 131.0 65 170 190 NA NA 82 200 218 NA NA 775 364 401 NA NA 802 425 455 NA NA
1710025200.0 132.0 70 173 196 NA NA 88 205 223 NA NA 2182 420 495 NA NA 2215 478 530 NA NA
1710025200.0 133.0 72 169 197 NA NA 91 207 226 NA NA 3586 450 628 NA NA 3673 487 679 NA NA
1710025200.0 1332.0 77 177 201 0 NA 97 206 229 0 NA 2126 386 456 641 NA 3629 575 566 658 NA
1710025200.0 1334.0 75 177 201 0 NA 96 205 229 0 NA 2392 373 438 575 NA 2474 424 472 596 NA
1710025200.0 134.0 NA 187 41 0 NA NA 220 58 0 NA NA 1934 33 33 NA NA 2208 56 52 NA
1710025200.0 1340.0 70 0 0 0 NA 86 0 0 0 NA 436 269 223 588 NA 494 343 264 611 NA
1710025200.0 1343.0 78 177 195 0 NA 98 208 230 0 NA 2450 418 549 653 NA 2516 465 608 678 NA
1710025200.0 1344.0 80 175 198 0 NA 102 206 229 0 NA 5632 398 475 610 NA 7254 520 553 628 NA
1710025200.0 1345.0 79 176 202 0 NA 99 208 230 0 NA 2993 414 492 637 NA 4455 907 542 655 NA
