Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1710025200.0 1.0 75 98 139 NA NA NA NA NA 96 146 183 NA NA NA NA NA 1322 239 443 NA NA NA NA NA 1345 258 466 NA NA NA NA NA
1710025200.0 10.0 NA 108 229 0 NA NA NA NA NA 146 256 0 NA NA NA NA NA 1556 1409 391 NA NA NA NA NA 1595 1497 403 NA NA NA NA
1710025200.0 1000.0 NA 252 151 0 59 NA NA NA NA 283 181 0 78 NA NA NA NA 1779 406 334 99 NA NA NA NA 1838 501 351 115 NA NA NA
1710025200.0 1001.0 NA 223 191 0 0 0 0 0 NA 249 218 0 0 0 0 0 NA 1246 239 4 38 261 24 256 NA 1304 259 10 43 267 34 267
1710025200.0 1002.0 NA 246 80 NA NA NA NA NA NA 271 99 NA NA NA NA NA NA 1547 116 NA NA NA NA NA NA 1616 122 NA NA NA NA NA
1710025200.0 1003.0 NA 209 0 NA NA NA NA NA NA 250 0 NA NA NA NA NA NA 2005 219 NA NA NA NA NA NA 2065 230 NA NA NA NA NA
1710025200.0 10224.0 NA 149 232 0 NA NA NA NA NA 192 273 0 NA NA NA NA NA 1870 1626 196 NA NA NA NA NA 2762 2386 211 NA NA NA NA
1710025200.0 10225.0 NA 150 233 0 NA NA NA NA NA 194 276 0 NA NA NA NA NA 1925 1568 189 NA NA NA NA NA 2912 2227 204 NA NA NA NA
1710025200.0 107.0 75 101 223 NA NA NA NA NA 97 148 254 NA NA NA NA NA 2452 254 325 NA NA NA NA NA 2494 274 360 NA NA NA NA NA
1710025200.0 108.0 79 103 227 NA NA NA NA NA 99 148 254 NA NA NA NA NA 3228 264 384 NA NA NA NA NA 3276 297 424 NA NA NA NA NA
1710025200.0 109.0 79 105 225 NA NA NA NA NA 100 148 254 NA NA NA NA NA 3789 270 415 NA NA NA NA NA 3858 300 450 NA NA NA NA NA
1710025200.0 11.0 NA 103 236 0 73 NA NA NA NA 155 264 0 90 NA NA NA NA 1213 597 391 26 NA NA NA NA 1241 647 412 88 NA NA NA
1710025200.0 1102.0 NA 106 235 141 87 NA NA NA NA 146 262 178 112 NA NA NA NA 1581 1846 1486 114 NA NA NA NA 1657 1885 1555 118 NA NA NA
1710025200.0 111.0 76 101 222 NA NA NA NA NA 96 148 254 NA NA NA NA NA 1502 197 297 NA NA NA NA NA 1527 222 329 NA NA NA NA NA
