Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1710025200.0 1.0 126 110 247 NA NA NA NA 184 366 288 NA NA NA NA 1519 401 834 NA NA NA NA 933 473 1041 NA NA NA NA
1710025200.0 10001.0 NA 234 701 108 0 NA NA NA 486 808 135 0 NA NA NA 1218 1972 322 1595 NA NA NA 1735 3284 385 1653 NA NA
1710025200.0 10002.0 NA 254 699 109 0 NA NA NA 483 795 134 0 NA NA NA 1264 2017 333 1646 NA NA NA 3564 2766 590 2180 NA NA
1710025200.0 10003.0 NA 257 703 109 0 NA NA NA 476 796 135 0 NA NA NA 1246 2031 334 1654 NA NA NA 2056 3078 444 2100 NA NA
1710025200.0 10004.0 NA 249 704 108 0 NA NA NA 480 828 135 0 NA NA NA 1225 1960 322 1607 NA NA NA 1446 2721 414 1743 NA NA
1710025200.0 10005.0 NA 251 701 108 0 NA NA NA 489 815 135 0 NA NA NA 1212 1977 320 1614 NA NA NA 1583 2802 364 1851 NA NA
1710025200.0 10006.0 NA 250 691 107 0 NA NA NA 480 818 133 0 NA NA NA 1192 1954 323 1626 NA NA NA 1536 2747 413 2112 NA NA
1710025200.0 10007.0 NA 252 702 119 0 NA NA NA 481 822 145 0 NA NA NA 1251 2029 352 1647 NA NA NA 2209 2905 632 2167 NA NA
1710025200.0 10008.0 NA 251 705 119 0 NA NA NA 488 817 145 0 NA NA NA 1251 2042 341 1672 NA NA NA 1558 3288 397 1967 NA NA
1710025200.0 10009.0 NA 239 704 119 0 NA NA NA 480 827 145 0 NA NA NA 1291 2055 357 1633 NA NA NA 2050 3445 514 1933 NA NA
1710025200.0 1002.0 NA 452 84 NA NA NA NA NA 503 122 NA NA NA NA NA 2605 402 NA NA NA NA NA 2504 456 NA NA NA NA
1710025200.0 10023.0 NA 251 696 107 0 NA NA NA 488 827 135 0 NA NA NA 1233 1976 318 1628 NA NA NA 1488 2848 349 1926 NA NA
1710025200.0 10024.0 NA 261 721 120 0 NA NA NA 477 845 146 0 NA NA NA 1375 2277 358 1736 NA NA NA 2156 3348 796 2073 NA NA
1710025200.0 10024.1 NA 274 294 0 NA NA NA NA 480 358 0 NA NA NA NA 1401 746 301 NA NA NA NA 1566 893 407 NA NA NA
1710025200.0 10024.2 NA 277 716 0 NA NA NA NA 481 834 0 NA NA NA NA 1404 2244 1634 NA NA NA NA 1657 3379 1762 NA NA NA
1710025200.0 10024.3 NA 275 269 0 NA NA NA NA 481 327 0 NA NA NA NA 1431 731 250 NA NA NA NA 1921 1055 349 NA NA NA
1710025200.0 10024.4 NA 274 723 0 NA NA NA NA 478 847 0 NA NA NA NA 1414 2240 1650 NA NA NA NA 1579 2916 1809 NA NA NA
1710025200.0 10024.5 NA 275 293 0 NA NA NA NA 480 378 0 NA NA NA NA 1414 750 289 NA NA NA NA 1770 908 459 NA NA NA
1710025200.0 10024.6 NA 277 715 0 NA NA NA NA 488 840 0 NA NA NA NA 1348 2210 1622 NA NA NA NA 1673 2968 1787 NA NA NA
1710025200.0 10025.0 NA 260 709 109 0 NA NA NA 481 828 135 0 NA NA NA 1321 2124 333 1657 NA NA NA 2420 2797 519 1876 NA NA
1710025200.0 10026.0 NA 278 728 120 0 NA NA NA 481 843 145 0 NA NA NA 1450 2362 358 1671 NA NA NA 1720 3058 687 1988 NA NA
1710025200.0 1003.0 NA 333 0 NA NA NA NA NA 426 0 NA NA NA NA NA 2722 422 NA NA NA NA NA 1826 631 NA NA NA NA
1710025200.0 1004.0 NA 339 176 0 0 0 0 NA 400 213 0 0 0 0 NA 822 275 58 73 196 195 NA 1919 896 292 265 278 231
1710025200.0 10042.0 NA 244 710 120 0 NA NA NA 477 832 145 0 NA NA NA 1308 2132 367 1792 NA NA NA 2018 2905 548 2075 NA NA
1710025200.0 10059.0 NA 287 731 119 0 NA NA NA 481 849 144 0 NA NA NA 1546 2696 360 1671 NA NA NA 3575 3495 655 1997 NA NA
1710025200.0 10071.0 NA 248 711 110 0 NA NA NA 484 834 136 0 NA NA NA 1334 2177 328 1646 NA NA NA 2101 3277 427 2069 NA NA
1710025200.0 101.0 110 NA NA NA NA NA NA 149 NA NA NA NA NA NA 812 NA NA NA NA NA NA 1029 NA NA NA NA NA NA
1710025200.0 1010.0 NA 45 93 0 NA NA NA NA 68 120 0 NA NA NA NA 86 163 77 NA NA NA NA 413 358 177 NA NA NA
1710025200.0 102.0 110 NA NA NA NA NA NA 149 NA NA NA NA NA NA 654 NA NA NA NA NA NA 1005 NA NA NA NA NA NA
1710025200.0 1020.0 NA 61 NA NA NA NA NA NA 105 NA NA NA NA NA NA 199 NA NA NA NA NA NA 459 NA NA NA NA NA
1710025200.0 10224.0 NA 449 979 0 NA NA NA NA 595 1166 0 NA NA NA NA 3669 4518 1699 NA NA NA NA 3876 4363 2167 NA NA NA
1710025200.0 10225.0 NA 411 921 0 NA NA NA NA 593 1142 0 NA NA NA NA 3716 4274 1680 NA NA NA NA 4144 4614 1828 NA NA NA
1710025200.0 103.0 68 0 0 NA NA NA NA 90 0 0 NA NA NA NA 640 177 1188 NA NA NA NA 554 473 1816 NA NA NA NA
1710025200.0 10424.0 NA 273 721 0 NA NA NA NA 474 845 0 NA NA NA NA 1372 2225 1662 NA NA NA NA 1737 3054 2101 NA NA NA
1710025200.0 105.0 124 102 46 NA NA NA NA 184 367 65 NA NA NA NA 1479 400 104 NA NA NA NA 720 492 193 NA NA NA NA
1710025200.0 106.0 68 0 0 NA NA NA NA 90 0 0 NA NA NA NA 609 175 1199 NA NA NA NA 609 212 1820 NA NA NA NA
1710025200.0 10823.0 91 249 700 108 0 NA NA 123 478 796 135 0 NA NA 1575 1261 2001 328 1694 NA NA 952 1843 2696 528 2000 NA NA
1710025200.0 10824.0 101 276 725 121 0 NA NA 134 479 845 146 0 NA NA 4360 1401 2303 356 1688 NA NA 2141 1795 2731 532 1993 NA NA
1710025200.0 10825.0 96 264 714 110 0 NA NA 128 471 808 135 0 NA NA 3381 1357 2145 327 1653 NA NA 1536 1655 3066 380 1852 NA NA
1710025200.0 10826.0 103 263 728 120 0 NA NA 135 475 852 145 0 NA NA 5399 1440 2509 360 1639 NA NA 2354 1741 3439 414 2034 NA NA
1710025200.0 10842.0 83 247 697 120 0 NA NA 110 477 827 146 0 NA NA 1022 1070 1953 357 1643 NA NA 956 1430 2848 662 2044 NA NA
1710025200.0 110.0 87 110 468 NA NA NA NA 124 367 542 NA NA NA NA 783 384 1375 NA NA NA NA 532 453 2631 NA NA NA NA
1710025200.0 11224.0 100 274 728 0 NA NA NA 135 477 849 0 NA NA NA 3709 1435 2308 1664 NA NA NA 1899 1549 3165 1975 NA NA NA
1710025200.0 11623.0 71 252 705 108 0 NA NA 110 475 801 135 0 NA NA 1498 1356 2211 358 1732 NA NA 1250 2045 2985 534 1899 NA NA
1710025200.0 11624.0 96 279 737 120 0 NA NA 121 476 856 144 0 NA NA 3496 1541 2515 483 1897 NA NA 1511 1852 3415 864 2302 NA NA
1710025200.0 11625.0 92 262 723 103 0 NA NA 114 478 834 136 0 NA NA 2718 1465 2376 369 1804 NA NA 1140 1504 2817 983 1995 NA NA
1710025200.0 11626.0 99 270 721 119 0 NA NA 123 479 858 144 0 NA NA 5937 1755 2717 502 1773 NA NA 2429 1899 3066 615 2020 NA NA
1710025200.0 11642.0 81 253 686 120 0 NA NA 104 471 806 145 0 NA NA 1357 1221 2095 439 1726 NA NA 1889 2303 3491 871 1845 NA NA
1710025200.0 120.0 88 110 466 NA NA NA NA 137 367 527 NA NA NA NA 735 378 1347 NA NA NA NA 622 618 1764 NA NA NA NA
1710025200.0 12024.0 96 277 731 0 NA NA NA 121 486 858 0 NA NA NA 3807 1567 2551 1773 NA NA NA 1590 1590 3239 2304 NA NA NA
1710025200.0 122.0 62 106 455 NA NA NA NA 107 359 540 NA NA NA NA 749 273 1343 NA NA NA NA 773 415 2373 NA NA NA NA
1710025200.0 123.1 394 NA NA NA NA NA NA 524 NA NA NA NA NA NA 968 NA NA NA NA NA NA 1211 NA NA NA NA NA NA
1710025200.0 123.2 403 NA NA NA NA NA NA 509 NA NA NA NA NA NA 1046 NA NA NA NA NA NA 947 NA NA NA NA NA NA
1710025200.0 123.3 313 NA NA NA NA NA NA 501 NA NA NA NA NA NA 842 NA NA NA NA NA NA 1255 NA NA NA NA NA NA
1710025200.0 124.1 378 NA NA NA NA NA NA 509 NA NA NA NA NA NA 834 NA NA NA NA NA NA 870 NA NA NA NA NA NA
1710025200.0 124.2 394 NA NA NA NA NA NA 509 NA NA NA NA NA NA 957 NA NA NA NA NA NA 897 NA NA NA NA NA NA
1710025200.0 124.4 382 NA NA NA NA NA NA 501 NA NA NA NA NA NA 844 NA NA NA NA NA NA 848 NA NA NA NA NA NA
1710025200.0 124.5 382 NA NA NA NA NA NA 509 NA NA NA NA NA NA 851 NA NA NA NA NA NA 845 NA NA NA NA NA NA
1710025200.0 124.6 308 NA NA NA NA NA NA 501 NA NA NA NA NA NA 843 NA NA NA NA NA NA 1198 NA NA NA NA NA NA
1710025200.0 126.0 95 108 469 NA NA NA NA 148 359 546 NA NA NA NA 1220 384 1368 NA NA NA NA 771 443 1773 NA NA NA NA
1710025200.0 127.0 87 109 471 NA NA NA NA 124 359 530 NA NA NA NA 1111 390 1360 NA NA NA NA 625 685 1754 NA NA NA NA
1710025200.0 128.0 83 111 461 NA NA NA NA 114 359 528 NA NA NA NA 707 395 1346 NA NA NA NA 583 490 2124 NA NA NA NA
1710025200.0 129.0 87 109 463 NA NA NA NA 130 359 542 NA NA NA NA 858 375 1363 NA NA NA NA 862 423 2442 NA NA NA NA
1710025200.0 130.0 89 110 465 NA NA NA NA 132 367 545 NA NA NA NA 1996 389 1379 NA NA NA NA 2163 570 2225 NA NA NA NA
1710025200.0 1301.0 117 125 260 NA NA NA NA 151 377 339 NA NA NA NA 1343 437 1020 NA NA NA NA 960 752 1461 NA NA NA NA
1710025200.0 1306.0 NA 114 588 0 NA NA NA NA 381 682 0 NA NA NA NA 416 1440 555 NA NA NA NA 923 2063 742 NA NA NA
1710025200.0 1307.0 NA 124 211 64 0 NA NA NA 379 259 86 0 NA NA NA 430 538 113 197 NA NA NA 519 742 169 518 NA NA
1710025200.0 1308.0 NA 123 206 64 0 NA NA NA 371 256 85 0 NA NA NA 388 474 116 202 NA NA NA 626 704 280 402 NA NA
1710025200.0 1309.0 NA 139 594 0 NA NA NA NA 373 684 0 NA NA NA NA 464 1675 580 NA NA NA NA 686 2565 1230 NA NA NA
1710025200.0 131.0 92 113 475 NA NA NA NA 141 367 528 NA NA NA NA 1279 384 1371 NA NA NA NA 778 652 1800 NA NA NA NA
1710025200.0 1310.0 NA 135 602 0 NA NA NA NA 394 682 0 NA NA NA NA 484 1575 575 NA NA NA NA 780 3054 642 NA NA NA
1710025200.0 1311.0 NA 129 526 0 75 NA NA NA 381 595 0 104 NA NA NA 414 1031 573 188 NA NA NA 464 1713 676 460 NA NA
1710025200.0 1312.0 NA 130 603 0 NA NA NA NA 381 684 0 NA NA NA NA 518 1613 563 NA NA NA NA 890 2018 601 NA NA NA
1710025200.0 1313.0 NA 139 603 0 NA NA NA NA 381 681 0 NA NA NA NA 414 1900 563 NA NA NA NA 551 2754 604 NA NA NA
1710025200.0 1314.0 NA 135 598 0 NA NA NA NA 373 685 0 NA NA NA NA 452 1586 589 NA NA NA NA 699 2563 985 NA NA NA
1710025200.0 1315.0 NA 125 591 0 NA NA NA NA 381 672 0 NA NA NA NA 419 1456 550 NA NA NA NA 1143 2079 652 NA NA NA
1710025200.0 1316.0 NA 128 596 0 NA NA NA NA 381 678 0 NA NA NA NA 411 1478 550 NA NA NA NA 485 2135 599 NA NA NA
1710025200.0 1318.0 NA 126 595 0 NA NA NA NA 373 675 0 NA NA NA NA 405 1461 539 NA NA NA NA 607 2005 592 NA NA NA
1710025200.0 1320.0 NA 129 592 0 NA NA NA NA 373 660 0 NA NA NA NA 445 1491 571 NA NA NA NA 609 2972 1069 NA NA NA
1710025200.0 1321.0 NA 128 591 0 NA NA NA NA 381 667 0 NA NA NA NA 438 1463 541 NA NA NA NA 646 1581 600 NA NA NA
1710025200.0 1323.0 NA 126 572 0 NA NA NA NA 373 681 0 NA NA NA NA 408 1441 543 NA NA NA NA 387 2549 592 NA NA NA
1710025200.0 1324.0 NA 139 606 0 NA NA NA NA 373 683 0 NA NA NA NA 493 1576 563 NA NA NA NA 450 1583 601 NA NA NA
1710025200.0 1325.0 NA 141 598 0 84 NA NA NA 381 681 0 115 NA NA NA 481 1680 585 227 NA NA NA 592 2953 845 920 NA NA
1710025200.0 1325.1 NA 140 247 0 NA NA NA NA 381 295 0 NA NA NA NA 524 613 248 NA NA NA NA 609 708 305 NA NA NA
1710025200.0 1325.2 NA 140 596 0 NA NA NA NA 381 668 0 NA NA NA NA 521 1658 572 NA NA NA NA 763 1813 691 NA NA NA
1710025200.0 1325.3 NA 140 236 0 NA NA NA NA 381 288 0 NA NA NA NA 510 594 236 NA NA NA NA 646 700 387 NA NA NA
1710025200.0 1325.4 NA 140 610 0 NA NA NA NA 381 672 0 NA NA NA NA 490 1677 572 NA NA NA NA 668 2571 634 NA NA NA
1710025200.0 1325.5 NA 230 0 NA NA NA NA NA 285 0 NA NA NA NA NA 4225 115 NA NA NA NA NA 4587 322 NA NA NA NA
1710025200.0 1325.51 NA 209 0 NA NA NA NA NA 246 0 NA NA NA NA NA 1360 115 NA NA NA NA NA 1637 228 NA NA NA NA
1710025200.0 1325.6 NA 195 NA NA NA NA NA NA 240 NA NA NA NA NA NA 2114 NA NA NA NA NA NA 2262 NA NA NA NA NA
1710025200.0 1325.7 NA 195 0 NA NA NA NA NA 238 0 NA NA NA NA NA 2088 102 NA NA NA NA NA 2378 172 NA NA NA NA
1710025200.0 1325.8 NA 198 0 NA NA NA NA NA 236 0 NA NA NA NA NA 2223 103 NA NA NA NA NA 2512 281 NA NA NA NA
1710025200.0 1325.9 NA 190 0 NA NA NA NA NA 225 0 NA NA NA NA NA 1639 100 NA NA NA NA NA 880 140 NA NA NA NA
1710025200.0 1326.0 NA 132 579 0 NA NA NA NA 381 682 0 NA NA NA NA 418 1534 577 NA NA NA NA 372 2931 1111 NA NA NA
1710025200.0 1327.0 NA 133 602 0 NA NA NA NA 381 677 0 NA NA NA NA 448 1548 577 NA NA NA NA 626 2753 1098 NA NA NA
1710025200.0 1329.0 NA 131 597 0 NA NA NA NA 373 677 0 NA NA NA NA 451 1496 564 NA NA NA NA 901 2320 663 NA NA NA
1710025200.0 1329.1 NA 211 0 NA NA NA NA NA 256 0 NA NA NA NA NA 1731 98 NA NA NA NA NA 1435 139 NA NA NA NA
1710025200.0 1330.0 NA 133 601 0 NA NA NA NA 381 672 0 NA NA NA NA 453 1541 567 NA NA NA NA 699 2471 637 NA NA NA
1710025200.0 1331.0 NA 132 601 0 NA NA NA NA 381 677 0 NA NA NA NA 463 1480 560 NA NA NA NA 462 1516 615 NA NA NA
1710025200.0 1332.0 NA 132 607 0 NA NA NA NA 373 682 0 NA NA NA NA 483 1598 570 NA NA NA NA 683 2082 705 NA NA NA
1710025200.0 1333.0 NA 134 598 0 NA NA NA NA 373 684 0 NA NA NA NA 445 1510 571 NA NA NA NA 608 2035 991 NA NA NA
1710025200.0 1334.0 NA 138 608 0 NA NA NA NA 381 688 0 NA NA NA NA 474 1573 565 NA NA NA NA 762 1598 603 NA NA NA
1710025200.0 1335.0 NA 135 591 0 NA NA NA NA 373 678 0 NA NA NA NA 440 1530 574 NA NA NA NA 852 2584 739 NA NA NA
1710025200.0 1336.0 NA 120 606 0 NA NA NA NA 381 671 0 NA NA NA NA 534 1937 573 NA NA NA NA 1185 1685 652 NA NA NA
1710025200.0 1337.0 NA 143 617 0 NA NA NA NA 381 699 0 NA NA NA NA 554 1950 579 NA NA NA NA 766 2509 660 NA NA NA
1710025200.0 1338.0 NA 140 610 0 NA NA NA NA 373 682 0 NA NA NA NA 480 1632 583 NA NA NA NA 993 1908 1378 NA NA NA
1710025200.0 134.0 NA 451 55 0 NA NA NA NA 515 76 0 NA NA NA NA 2878 108 65 NA NA NA NA 2852 209 115 NA NA NA
