Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1709632800.0 1.0 118 177 257 NA NA NA NA NA NA 277 241 416 NA NA NA NA NA NA 1270 312 882 NA NA NA NA NA NA 1134 621 1109 NA NA NA NA NA NA
1709632800.0 10.0 NA 215 391 0 NA NA NA NA NA NA 316 528 0 NA NA NA NA NA NA 1291 2674 370 NA NA NA NA NA NA 609 1709 530 NA NA NA NA NA
1709632800.0 1000.0 NA 372 243 0 116 NA NA NA NA NA 522 345 0 181 NA NA NA NA NA 2170 743 276 238 NA NA NA NA NA 1853 1315 327 343 NA NA NA NA
1709632800.0 10001.0 NA 299 457 0 154 178 NA NA NA NA 387 660 0 224 262 NA NA NA NA 1522 1422 380 311 493 NA NA NA NA 624 1476 462 434 586 NA NA NA
1709632800.0 10002.0 NA 295 458 0 155 177 NA NA NA NA 385 655 0 220 256 NA NA NA NA 1533 1480 388 316 494 NA NA NA NA 908 1674 546 452 602 NA NA NA
1709632800.0 10003.0 NA 299 466 0 156 178 NA NA NA NA 407 664 0 221 265 NA NA NA NA 1531 1440 389 313 492 NA NA NA NA 618 1412 536 439 586 NA NA NA
1709632800.0 10004.0 NA 297 468 0 155 175 NA NA NA NA 380 658 0 221 259 NA NA NA NA 1526 1476 384 315 481 NA NA NA NA 641 1916 558 543 618 NA NA NA
1709632800.0 10005.0 NA 297 460 0 155 174 NA NA NA NA 394 665 0 222 264 NA NA NA NA 1516 1456 368 309 499 NA NA NA NA 621 1458 391 381 693 NA NA NA
1709632800.0 10006.0 NA 297 469 0 154 171 NA NA NA NA 388 658 0 221 261 NA NA NA NA 1517 1408 392 310 465 NA NA NA NA 596 1390 674 419 612 NA NA NA
1709632800.0 10007.0 NA 299 465 0 184 173 NA NA NA NA 385 644 0 296 261 NA NA NA NA 1534 1464 396 327 478 NA NA NA NA 1072 1682 668 563 597 NA NA NA
1709632800.0 10008.0 NA 293 477 0 186 175 NA NA NA NA 396 651 0 298 260 NA NA NA NA 1534 1495 391 322 486 NA NA NA NA 603 1756 616 619 598 NA NA NA
1709632800.0 10009.0 NA 296 464 0 186 176 NA NA NA NA 390 657 0 303 256 NA NA NA NA 1551 1480 392 322 488 NA NA NA NA 698 1436 531 604 605 NA NA NA
1709632800.0 1001.0 NA 329 193 0 0 0 0 0 0 NA 462 275 0 0 0 0 0 0 NA 1893 394 81 67 91 205 119 202 NA 2243 638 121 253 196 297 233 240
1709632800.0 1001.2 NA 544 236 0 0 0 0 NA NA NA 762 352 0 0 0 0 NA NA NA 9354 731 103 120 123 133 NA NA NA 3611 857 248 545 265 171 NA NA
1709632800.0 1001.3 NA 522 235 0 NA NA NA NA NA NA 739 348 0 NA NA NA NA NA NA 7362 748 233 NA NA NA NA NA NA 2730 787 289 NA NA NA NA NA
1709632800.0 1001.4 NA 528 184 0 0 0 NA NA NA NA 773 292 0 0 0 NA NA NA NA 7602 349 116 112 126 NA NA NA NA 2826 504 144 133 162 NA NA NA
1709632800.0 1002.0 NA 369 128 NA NA NA NA NA NA NA 495 186 NA NA NA NA NA NA NA 2380 207 NA NA NA NA NA NA NA 2250 296 NA NA NA NA NA NA
1709632800.0 1002.3 NA 503 227 0 NA NA NA NA NA NA 719 345 0 NA NA NA NA NA NA 5647 656 257 NA NA NA NA NA NA 2502 972 399 NA NA NA NA NA
1709632800.0 1002.4 NA 529 0 NA NA NA NA NA NA NA 759 0 NA NA NA NA NA NA NA 8719 396 NA NA NA NA NA NA NA 3089 562 NA NA NA NA NA NA
1709632800.0 10023.0 NA 294 453 0 154 171 NA NA NA NA 378 666 0 223 246 NA NA NA NA 1546 1451 394 315 466 NA NA NA NA 683 1616 564 497 603 NA NA NA
1709632800.0 10024.0 NA 308 480 0 188 177 NA NA NA NA 393 673 0 298 265 NA NA NA NA 1565 1635 432 325 506 NA NA NA NA 623 1473 706 606 626 NA NA NA
1709632800.0 10024.1 NA 307 305 0 NA NA NA NA NA NA 393 412 0 NA NA NA NA NA NA 1627 657 410 NA NA NA NA NA NA 685 881 521 NA NA NA NA NA
1709632800.0 10024.2 NA 310 484 0 NA NA NA NA NA NA 407 645 0 NA NA NA NA NA NA 1569 1643 397 NA NA NA NA NA NA 685 1656 421 NA NA NA NA NA
1709632800.0 10024.3 NA 308 284 0 NA NA NA NA NA NA 408 413 0 NA NA NA NA NA NA 1630 656 326 NA NA NA NA NA NA 734 776 374 NA NA NA NA NA
1709632800.0 10024.4 NA 310 482 0 NA NA NA NA NA NA 398 653 0 NA NA NA NA NA NA 1575 1593 381 NA NA NA NA NA NA 680 1490 427 NA NA NA NA NA
1709632800.0 10025.0 NA 300 480 0 156 178 NA NA NA NA 390 670 0 227 253 NA NA NA NA 1533 1477 415 314 492 NA NA NA NA 606 1417 610 561 592 NA NA NA
1709632800.0 10026.0 NA 305 488 0 157 179 NA NA NA NA 398 678 0 221 261 NA NA NA NA 1594 1839 439 334 507 NA NA NA NA 1021 1756 769 685 580 NA NA NA
1709632800.0 1003.0 NA 382 0 NA NA NA NA NA NA NA 655 0 NA NA NA NA NA NA NA 2606 256 NA NA NA NA NA NA NA 2280 306 NA NA NA NA NA NA
1709632800.0 1004.0 NA 279 151 0 0 0 0 NA NA NA 406 219 0 0 0 0 NA NA NA 816 239 71 93 199 237 NA NA NA 1204 832 334 317 224 315 NA NA
1709632800.0 10042.0 NA 300 470 0 187 176 NA NA NA NA 397 654 0 305 257 NA NA NA NA 1562 1489 396 327 486 NA NA NA NA 697 1408 417 436 574 NA NA NA
