Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1710025200.0 134.708 NA 57 260 0 NA 79 307 0 NA 123 3747 321 NA 189 4825 491
1710025200.0 134.709 NA 59 271 0 NA 81 309 0 NA 123 4000 316 NA 207 5129 534
1710025200.0 134.902 NA 58 263 0 NA 81 297 0 NA 139 3734 317 NA 221 4579 500
1710025200.0 134.907 NA 100 276 0 NA 142 315 0 NA 407 3733 327 NA 604 4675 464
1710025200.0 135.11 249 0 134 NA 307 0 160 NA 763 192 445 NA 5122 273 776 NA
1710025200.0 136.722 NA 181 300 0 NA 234 347 0 NA 2753 6420 709 NA 3284 6550 743
1710025200.0 136.723 NA 185 283 0 NA 231 334 0 NA 2668 6155 724 NA 3200 6317 747
1710025200.0 136.724 NA 184 298 0 NA 234 352 0 NA 3767 7195 635 NA 4309 7434 664
1710025200.0 136.725 NA 187 299 0 NA 234 357 0 NA 2592 6255 715 NA 3121 6396 732
1710025200.0 136.726 NA 183 287 0 NA 232 336 0 NA 2901 6495 728 NA 3428 6634 746
1710025200.0 136.727 NA 213 293 0 NA 286 342 0 NA 2742 6100 732 NA 3263 6225 761
1710025200.0 136.728 NA 213 293 0 NA 279 344 0 NA 3006 6596 715 NA 3559 6773 739
1710025200.0 136.729 NA 185 282 0 NA 228 330 0 NA 2482 6322 707 NA 2996 6478 725
1710025200.0 136.73 NA 186 304 0 NA 225 359 0 NA 2675 6371 712 NA 3202 6527 739
1710025200.0 136.731 NA 186 314 0 NA 235 359 0 NA 2794 6522 729 NA 3325 6699 751
1710025200.0 136.734 NA 185 282 0 NA 230 335 0 NA 2690 6335 717 NA 3212 6503 742
1710025200.0 250202.0 NA 258 325 0 NA 342 364 0 NA 11811 2912 1168 NA 12577 3006 1189
1710025200.0 250403.0 253 0 134 NA 313 0 157 NA 807 175 454 NA 5330 240 807 NA
1710025200.0 250405.0 250 0 134 NA 311 0 160 NA 746 176 433 NA 5343 252 807 NA
1710025200.0 250406.0 250 0 134 NA 312 0 155 NA 652 179 375 NA 4451 337 811 NA
1710025200.0 250407.0 237 0 135 NA 294 0 157 NA 607 149 422 NA 4191 216 763 NA
1710025200.0 25210.0 76 243 352 0 157 285 404 0 2779 1706 2519 1246 4371 2293 3121 1281
1710025200.0 25211.0 68 237 347 0 157 282 411 0 2307 2228 3094 1183 3803 2957 3790 1205
1710025200.0 25212.0 71 234 344 0 157 281 403 0 2476 2065 2782 1156 4417 2873 3616 1204
1710025200.0 25213.0 73 237 364 0 157 279 411 0 3521 2194 2921 1110 5468 3056 3493 1139
1710025200.0 280.0 94 103 223 0 169 148 254 0 3703 271 331 304 4204 893 579 584
1710025200.0 39.0 NA 105 231 0 NA 146 258 0 NA 1613 2797 363 NA 1969 3477 490
1710025200.0 4.42 NA 54 259 0 NA 75 303 0 NA 118 4283 301 NA 224 5126 472
1710025200.0 4.68 NA 62 259 0 NA 83 296 0 NA 108 4355 310 NA 184 5185 579
1710025200.0 4.72 NA 53 255 0 NA 73 297 0 NA 119 4018 307 NA 198 4732 440
1710025200.0 4.74 NA 54 256 0 NA 74 299 0 NA 120 4069 305 NA 202 4834 466
