Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1710025200.0 1325.516 NA 211 0 NA 274 0 NA 1694 139 NA 2128 284
1710025200.0 523.0 37 63 0 67 99 0 2549 216 123 3227 394 539
1710025200.0 526.0 20 60 0 67 91 0 4518 193 114 33712 356 584
1710025200.0 537.0 62 0 NA 91 0 NA 3529 109 NA 3666 234 NA
1710025200.0 538.0 41 0 NA 90 0 NA 4703 110 NA 33125 457 NA
1710025200.0 546.0 56 71 NA 87 127 NA 306 244 NA 820 842 NA
1710025200.0 551.0 19 60 0 62 90 0 2280 277 109 1949 246 271
1710025200.0 571.0 39 0 NA 79 0 NA 470 121 NA 1385 1230 NA
1710025200.0 573.0 55 0 NA 80 0 NA 774 119 NA 800 247 NA
1710025200.0 576.0 53 0 NA 79 0 NA 196 114 NA 530 702 NA
